activity_id,assay_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,standard_relation,published_value,published_units,published_relation,pchembl_value,activity_comment,data_validity_comment,confidence_score,ligand_efficiency,document_chembl_id,record_id,target_chembl_id
186615,CHEMBL859322,CHEMBL340330,EC50,3981.07,nM,=,,,,5.40,,,,,CHEMBL1148468,247527,CHEMBL2095198
187840,CHEMBL859322,CHEMBL128767,EC50,100000.0,nM,<,,,,,,,,,CHEMBL1148468,247530,CHEMBL2095198
191466,CHEMBL859322,CHEMBL130849,EC50,10000.0,nM,=,,,,5.00,,,,,CHEMBL1148468,247532,CHEMBL2095198
196122,CHEMBL859322,CHEMBL131352,EC50,5011.87,nM,=,,,,5.30,,,,,CHEMBL1148468,247533,CHEMBL2095198
197205,CHEMBL859322,CHEMBL128831,EC50,10000.0,nM,=,,,,5.00,,,,,CHEMBL1148468,247534,CHEMBL2095198
198266,CHEMBL859322,CHEMBL128096,EC50,1000.0,nM,=,,,,6.00,,,,,CHEMBL1148468,247536,CHEMBL2095198
199629,CHEMBL859322,CHEMBL128862,EC50,2511.89,nM,=,,,,5.60,,,,,CHEMBL1148468,247529,CHEMBL2095198
200832,CHEMBL859322,CHEMBL127612,EC50,100000.0,nM,<,,,,,,,,,CHEMBL1148468,247538,CHEMBL2095198
202146,CHEMBL859322,CHEMBL131453,EC50,31622.78,nM,=,,,,4.50,,,,,CHEMBL1148468,247520,CHEMBL2095198
203307,CHEMBL859322,CHEMBL128062,EC50,5011.87,nM,=,,,,5.30,,,,,CHEMBL1148468,247525,CHEMBL2095198
206911,CHEMBL859322,CHEMBL335172,EC50,1995.26,nM,=,,,,5.70,,,,,CHEMBL1148468,247523,CHEMBL2095198
206913,CHEMBL859322,CHEMBL1788243,EC50,10000.0,nM,=,,,,5.00,,,,,CHEMBL1148468,247524,CHEMBL2095198
208071,CHEMBL859322,CHEMBL132277,EC50,19952.62,nM,=,,,,4.70,,,,,CHEMBL1148468,247531,CHEMBL2095198
208072,CHEMBL859322,CHEMBL339992,EC50,3981.07,nM,=,,,,5.40,,,,,CHEMBL1148468,247526,CHEMBL2095198
209242,CHEMBL859322,CHEMBL131993,EC50,100000.0,nM,<,,,,,,,,,CHEMBL1148468,247521,CHEMBL2095198
210418,CHEMBL859322,CHEMBL421903,EC50,794.33,nM,=,,,,6.10,,,,,CHEMBL1148468,247519,CHEMBL2095198
213925,CHEMBL859322,CHEMBL129080,EC50,3162.28,nM,=,,,,5.50,,,,,CHEMBL1148468,247528,CHEMBL2095198
215026,CHEMBL859322,CHEMBL127164,EC50,6309.57,nM,=,,,,5.20,,,,,CHEMBL1148468,247539,CHEMBL2095198
221049,CHEMBL859322,CHEMBL131347,EC50,2511.89,nM,=,,,,5.60,,,,,CHEMBL1148468,247540,CHEMBL2095198
221051,CHEMBL859322,CHEMBL130622,EC50,100000.0,nM,<,,,,,,,,,CHEMBL1148468,247537,CHEMBL2095198
