activity_id,assay_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,standard_relation,published_value,published_units,published_relation,pchembl_value,activity_comment,data_validity_comment,confidence_score,ligand_efficiency,document_chembl_id,record_id,target_chembl_id
2392387,CHEMBL957857,CHEMBL495936,Km,97.0,nM,=,,,,,,,,,CHEMBL1140936,728017,CHEMBL3004
2392388,CHEMBL957857,CHEMBL508538,Km,320.0,nM,=,,,,,,,,,CHEMBL1140936,728107,CHEMBL3004
2392389,CHEMBL957857,CHEMBL1543,Km,5000000.0,nM,=,,,,,,,,,CHEMBL1140936,728106,CHEMBL3004
2392390,CHEMBL957857,CHEMBL509919,Km,12000.0,nM,=,,,,,,,,,CHEMBL1140936,728021,CHEMBL3004
2392391,CHEMBL957857,CHEMBL1372,Km,93000.0,nM,=,,,,,,,,,CHEMBL1140936,728020,CHEMBL3004
10996785,CHEMBL2076531,CHEMBL2074718,Km,50.0,nM,=,,,,,substrate [Km=0.05uM],,,,CHEMBL2074368,1669558,CHEMBL3004
10996792,CHEMBL2076061,CHEMBL495936,Km,97.0,nM,=,,,,,substrate [Km=0.097uM],,,,CHEMBL2074072,1669563,CHEMBL3004
10996793,CHEMBL2076371,CHEMBL495936,Km,98.0,nM,=,,,,,substrate [Km=0.098uM],,,,CHEMBL2073844,1669559,CHEMBL3004
10996795,CHEMBL2075719,CHEMBL495936,Km,125.0,nM,=,,,,,substrate [Km=0.125uM],,,,CHEMBL2073916,1669565,CHEMBL3004
10996798,CHEMBL2076368,CHEMBL495936,Km,135.0,nM,=,,,,,substrate [Km=0.135uM],,,,CHEMBL2073913,1669567,CHEMBL3004
10996803,CHEMBL2075727,CHEMBL2074719,Km,189.0,nM,=,,,,,substrate [Km=0.189uM],,,,CHEMBL2073841,1669571,CHEMBL3004
10996816,CHEMBL2075732,CHEMBL2074751,Km,370.0,nM,=,,,,,substrate [Km=0.37uM],,,,CHEMBL2074453,1669752,CHEMBL3004
10996835,CHEMBL2075717,CHEMBL494753,Km,730.0,nM,=,,,,,substrate [Km=0.73uM],,,,CHEMBL2074020,1672795,CHEMBL3004
10996837,CHEMBL2075715,CHEMBL2074753,Km,750.0,nM,=,,,,,substrate [Km=0.75uM],,,,CHEMBL2074211,1669763,CHEMBL3004
10996840,CHEMBL2075730,CHEMBL2074754,Km,,,,,,,,substrate [Km=0.8-1uM],,,,CHEMBL2074377,1669765,CHEMBL3004
10996850,CHEMBL2075731,CHEMBL2074755,Km,1140.0,nM,=,,,,,substrate [Km=1.14uM],,,,CHEMBL2074453,1669770,CHEMBL3004
10996854,CHEMBL2076372,CHEMBL213947,Km,1200.0,nM,=,,,,,substrate [Km=1.2uM],,,,CHEMBL2074115,1669773,CHEMBL3004
10996856,CHEMBL2078380,CHEMBL178,Km,1400.0,nM,=,,,,,substrate [Km=1.4uM],,,,CHEMBL2074422,1669775,CHEMBL3004
10996857,CHEMBL2077888,CHEMBL2074756,Km,1400.0,nM,=,,,,,substrate [Km=1.4uM],,,,CHEMBL2074012,1669776,CHEMBL3004
10996862,CHEMBL2076061,CHEMBL1697724,Km,1500.0,nM,=,,,,,substrate [Km=1.5uM],,,,CHEMBL2074072,1669780,CHEMBL3004
10996864,CHEMBL2075725,CHEMBL2074757,Km,1600.0,nM,=,,,,,substrate [Km=1.6uM],,,,CHEMBL2074203,1669782,CHEMBL3004
10996917,CHEMBL2075729,CHEMBL509919,Km,12000.0,nM,=,,,,,substrate [Km=12uM],,,,CHEMBL2073939,1670039,CHEMBL3004
11000108,CHEMBL2076368,CHEMBL2074786,Km,155000.0,nM,=,,,,,substrate [Km=155uM],,,,CHEMBL2073913,1670072,CHEMBL3004
11000174,CHEMBL2075728,CHEMBL1697724,Km,2500.0,nM,=,,,,,substrate [Km=2.5uM],,,,CHEMBL2074383,1668944,CHEMBL3004
11000199,CHEMBL2075724,CHEMBL34259,Km,2150000.0,nM,=,,,,,substrate [Km=2150uM],,,,CHEMBL2073963,1670369,CHEMBL3004
11000238,CHEMBL2076531,CHEMBL1973733,Km,268000.0,nM,=,,,,,substrate [Km=268uM],,,,CHEMBL2074368,1670391,CHEMBL3004
11000278,CHEMBL2076061,CHEMBL213947,Km,3600.0,nM,=,,,,,substrate [Km=3.6uM],,,,CHEMBL2074072,1670420,CHEMBL3004
11000561,CHEMBL2075726,CHEMBL463,Km,372000.0,nM,=,,,,,substrate [Km=372uM],,,,CHEMBL2074311,1670631,CHEMBL3004
11000572,CHEMBL2075716,CHEMBL2074826,Km,39000.0,nM,=,,,,,substrate [Km=39uM],,,,CHEMBL2073804,1670638,CHEMBL3004
11000590,CHEMBL2076371,CHEMBL1697724,Km,4800.0,nM,=,,,,,substrate [Km=4.8uM],,,,CHEMBL2073844,1670127,CHEMBL3004
11000608,CHEMBL2076372,CHEMBL2074781,Km,43000.0,nM,=,,,,,substrate [Km=43uM],,,,CHEMBL2074115,1669987,CHEMBL3004
11000687,CHEMBL2075721,CHEMBL259898,Km,5000.0,nM,=,,,,,substrate [Km=5uM],,,,CHEMBL2073968,1672344,CHEMBL3004
11000688,CHEMBL2075720,CHEMBL2074782,Km,5000.0,nM,=,,,,,substrate [Km=5uM],,,,CHEMBL2074303,1670712,CHEMBL3004
11001033,CHEMBL2077888,CHEMBL34259,Km,930000.0,nM,=,,,,,substrate [Km=930uM],,,,CHEMBL2074012,1670993,CHEMBL3004
11001034,CHEMBL2076061,CHEMBL2074781,Km,93000.0,nM,=,,,,,substrate [Km=93uM],,,,CHEMBL2074072,1670995,CHEMBL3004
15450653,CHEMBL3537700,CHEMBL1644,Km,3900000.0,nM,=,,,,,,,,,CHEMBL3526024,2469697,CHEMBL3004
15450656,CHEMBL3537703,CHEMBL1644,Vmax,12.4,nmol/min,=,,,,,,,,,CHEMBL3526024,2469697,CHEMBL3004
