activity_id,assay_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,standard_relation,published_value,published_units,published_relation,pchembl_value,activity_comment,data_validity_comment,confidence_score,ligand_efficiency,document_chembl_id,record_id,target_chembl_id,smiles
10996868,CHEMBL2078533,CHEMBL259898,Km,1900.0,nM,=,,,,,substrate [Km=1.9uM],,,,CHEMBL2073968,1672344,CHEMBL1743128,C[C@]12CC[C@H](OS(=O)(=O)O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
10996928,CHEMBL2078532,CHEMBL34259,Km,1300000.0,nM,=,,,,,substrate [Km=1300uM],,,,CHEMBL2074199,1670048,CHEMBL1743128,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
11000130,CHEMBL2075982,CHEMBL1622,Km,170000.0,nM,=,,,,,substrate [Km=170uM],,,,CHEMBL2074469,1670262,CHEMBL1743128,Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2[nH]1
11000288,CHEMBL2077477,CHEMBL1697724,Km,30300.0,nM,=,,,,,substrate [Km=30.3uM],,,,CHEMBL2074175,1670427,CHEMBL1743128,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O
11000609,CHEMBL2077477,CHEMBL316966,Km,44500.0,nM,=,,,,,substrate [Km=44.5uM],,,,CHEMBL2074175,1670006,CHEMBL1743128,Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2COP(=O)(O)O[C@H]2[C@H]1O
11000721,CHEMBL2075982,CHEMBL1679,Km,640000.0,nM,=,,,,,substrate [Km=640uM],,,,CHEMBL2074469,1668842,CHEMBL1743128,Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2C=O
11000794,CHEMBL2077477,CHEMBL395336,Km,9690.0,nM,=,,,,,substrate [Km=9.69uM],,,,CHEMBL2074175,1668825,CHEMBL1743128,Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@H]3[C@H]2O)c(=O)[nH]1
11001055,CHEMBL2075983,CHEMBL495,Km,2100.0,nM,=,,,,,substrate [Km2.1uM],,,,CHEMBL2073947,1670550,CHEMBL1743128,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O
11001061,CHEMBL2075983,CHEMBL548,Km,3400.0,nM,=,,,,,substrate [Km3.4uM],,,,CHEMBL2073947,1670579,CHEMBL1743128,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O
15450655,CHEMBL3537702,CHEMBL1644,Km,250000.0,nM,=,,,,,,,,,CHEMBL3526024,2469697,CHEMBL1743128,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1
15450658,CHEMBL3537705,CHEMBL1644,Vmax,1.2,nmol/min,=,,,,,,,,,CHEMBL3526024,2469697,CHEMBL1743128,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1
15450659,CHEMBL3528241,CHEMBL528,Km,18000.0,nM,=,,,,,,,,,CHEMBL3526024,2468967,CHEMBL1743128,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=CCS[C@H]12)c1csc(N)n1
15450660,CHEMBL3528241,CHEMBL1435,Km,81000.0,nM,=,,,,,,,,,CHEMBL3526024,2468966,CHEMBL1743128,Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1
15462570,CHEMBL3533975,CHEMBL1528022,Km,63000.0,nM,=,,,,,,,,,CHEMBL3526030,2469912,CHEMBL1743128,O=C(O)[C@H]1O[C@@H](Oc2ccc3ccc(=O)oc3c2)[C@H](O)[C@@H](O)[C@@H]1O
15462572,CHEMBL3533975,CHEMBL1528022,Vmax,920.0,pmol/min/mg,=,,,,,,,,,CHEMBL3526030,2469912,CHEMBL1743128,O=C(O)[C@H]1O[C@@H](Oc2ccc3ccc(=O)oc3c2)[C@H](O)[C@@H](O)[C@@H]1O
