activity_id,assay_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,standard_relation,published_value,published_units,published_relation,pchembl_value,activity_comment,data_validity_comment,confidence_score,ligand_efficiency,document_chembl_id,record_id,target_chembl_id,smiles
2357419,CHEMBL1006006,CHEMBL15177,IC50,10000.0,nM,=,,,,5.00,,,,"{'bei': '9.71', 'le': '0.20', 'lle': '-1.48', 'sei': '7.09'}",CHEMBL1150338,766582,CHEMBL5748,CN(C)C(=O)CCSC(SCCC(=O)O)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1
2359303,CHEMBL975399,CHEMBL510556,IC50,21500.0,nM,=,,,,4.67,,,,"{'bei': '13.02', 'le': '0.27', 'lle': '0.63', 'sei': '5.89'}",CHEMBL1140042,721841,CHEMBL5748,O=C(O)c1ccc(Nc2nc3sc4c(c3c(=O)s2)CCCC4)cc1
2359318,CHEMBL975399,CHEMBL160,IC50,13600.0,nM,=,,,,4.87,,,,"{'bei': '4.05', 'le': None, 'lle': None, 'sei': None}",CHEMBL1140042,746978,CHEMBL5748,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C
2359319,CHEMBL975399,CHEMBL89768,IC50,20700.0,nM,=,,,,4.68,,,,"{'bei': '9.09', 'le': '0.19', 'lle': '-1.80', 'sei': '6.64'}",CHEMBL1140042,746977,CHEMBL5748,CN(C)C(=O)CCSC(SCCC(=O)[O-])c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1.[Na+]
2359320,CHEMBL975399,CHEMBL6,IC50,235000.0,nM,=,,,,,,Outside typical range,,,CHEMBL1140042,746976,CHEMBL5748,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
2359321,CHEMBL975399,CHEMBL6966,IC50,200000.0,nM,>,,,,,,Outside typical range,,,CHEMBL1140042,721845,CHEMBL5748,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC
2359322,CHEMBL975399,CHEMBL452312,IC50,200000.0,nM,>,,,,,,Outside typical range,,,CHEMBL1140042,721842,CHEMBL5748,CCOC(=O)c1c(NC(=S)Nc2ccc(C(=O)O)cc2)sc2c1CCCC2
2392348,CHEMBL957853,CHEMBL488910,IC50,50000.0,nM,>,,,,,,,,,CHEMBL1140935,727919,CHEMBL5748,COc1ccc2c3c([nH]c2c1)[C@H](CC(C)C)N1C(=O)[C@H](CCC(=O)OC(C)(C)C)NC(=O)[C@@H]1C3
2392349,CHEMBL957853,CHEMBL495936,IC50,150.0,nM,<,,,,,,,,,CHEMBL1140935,728016,CHEMBL5748,CCCCC/C=C\C/C=C\C=C\C=C\[C@@H](SC[C@@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O)[C@@H](O)CCCC(=O)O
2392350,CHEMBL957853,CHEMBL15177,IC50,1000.0,nM,>,,,,,,,,,CHEMBL1140935,728015,CHEMBL5748,CN(C)C(=O)CCSC(SCCC(=O)O)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1
2392351,CHEMBL957853,CHEMBL500094,IC50,50000.0,nM,>,,,,,,,,,CHEMBL1140935,727932,CHEMBL5748,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccc(C)c(NC(=O)c4cnc5ccccc5c4)c3)cc1)CC2
2392352,CHEMBL957853,CHEMBL456361,IC50,20000.0,nM,>,,,,,,,,,CHEMBL1140935,727928,CHEMBL5748,COC(=O)c1ccc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1NC(=O)c1cccnc1
