activity_id,assay_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,standard_relation,published_value,published_units,published_relation,pchembl_value,activity_comment,data_validity_comment,confidence_score,ligand_efficiency,document_chembl_id,record_id,target_chembl_id,smiles
186615,CHEMBL859322,CHEMBL340330,EC50,3981.07,nM,=,,,,5.4,,,,,CHEMBL1148468,247527,CHEMBL2095198,CC(Cl)(Cl)C(NC(=O)c1cccc(F)c1)N/C(=N/c1cccnc1)NC#N
191466,CHEMBL859322,CHEMBL130849,EC50,10000.0,nM,=,,,,5.0,,,,,CHEMBL1148468,247532,CHEMBL2095198,C=CC(C)(C)CC(NC(=O)c1ccc(Cl)cc1)N/C(=N/c1cccnc1)NC#N
196122,CHEMBL859322,CHEMBL131352,EC50,5011.87,nM,=,,,,5.3,,,,,CHEMBL1148468,247533,CHEMBL2095198,CCC(CC)(CCC#N)C(NC(=O)c1ccc(Cl)cc1)N/C(=N/c1cccnc1)NC#N
197205,CHEMBL859322,CHEMBL128831,EC50,10000.0,nM,=,,,,5.0,,,,,CHEMBL1148468,247534,CHEMBL2095198,CC(Cl)(Cl)C(NC(=O)c1ccc(Br)cc1)N/C(=N/c1cccnc1)NC#N
198266,CHEMBL859322,CHEMBL128096,EC50,1000.0,nM,=,,,,6.0,,,,,CHEMBL1148468,247536,CHEMBL2095198,N#CN/C(=N\C(NC(=O)c1ccc(Cl)cc1)C(Cl)(Cl)Cl)Nc1cccnc1
199629,CHEMBL859322,CHEMBL128862,EC50,2511.89,nM,=,,,,5.6,,,,,CHEMBL1148468,247529,CHEMBL2095198,Cc1ccc(C(=O)NC(/N=C(\NC#N)Nc2cccnc2)C(C)(Cl)Cl)cc1
202146,CHEMBL859322,CHEMBL131453,EC50,31622.78,nM,=,,,,4.5,,,,,CHEMBL1148468,247520,CHEMBL2095198,CC(C)(C)C(NC(=O)c1ccc(Cl)cc1)N/C(=N/c1cccnc1)N[N+](=O)[O-]
203307,CHEMBL859322,CHEMBL128062,EC50,5011.87,nM,=,,,,5.3,,,,,CHEMBL1148468,247525,CHEMBL2095198,Cc1cccc(C(=O)NC(/N=C(\NC#N)Nc2cccnc2)C(C)(Cl)Cl)c1
206911,CHEMBL859322,CHEMBL335172,EC50,1995.26,nM,=,,,,5.7,,,,,CHEMBL1148468,247523,CHEMBL2095198,CC(Cl)(Cl)C(NC(=O)c1ccc(Cl)cc1)N/C(=N/c1cccnc1)NC#N
206913,CHEMBL859322,CHEMBL1788243,EC50,10000.0,nM,=,,,,5.0,,,,,CHEMBL1148468,247524,CHEMBL2095198,CC(Cl)(Cl)[C@H](NC(=O)c1ccc(Cl)cc1)N/C(=N/c1cccnc1)NC#N
