activity_id,assay_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,standard_relation,published_value,published_units,published_relation,pchembl_value,activity_comment,data_validity_comment,confidence_score,ligand_efficiency,document_chembl_id,record_id,target_chembl_id,smiles
2164552,CHEMBL928176,CHEMBL262629,Vmax,102.0,microM/s,=,,,,,,,,,CHEMBL1144813,708551,CHEMBL4051,Cc1ccc(Nc2nc(-c3sc(NC(=O)c4ccc(Cl)cc4)nc3C)cs2)cc1
2164554,CHEMBL928176,CHEMBL260775,Vmax,122.0,microM/s,=,,,,,,,,,CHEMBL1144813,708559,CHEMBL4051,COc1ccc(Cl)cc1Nc1nc(-c2sc(NC(=O)c3ccccc3)nc2C)cs1
2164556,CHEMBL928176,CHEMBL260774,Vmax,114.0,microM/s,=,,,,,,,,,CHEMBL1144813,708558,CHEMBL4051,CCCCCCC(=O)Nc1nc(C)c(-c2csc(Nc3cc(OC)ccc3OC)n2)s1
2164558,CHEMBL928176,CHEMBL411307,Vmax,113.0,microM/s,=,,,,,,,,,CHEMBL1144813,708557,CHEMBL4051,COc1ccccc1Nc1nc(-c2sc(NC(=O)C(C)(C)C)nc2C)cs1
2164560,CHEMBL928176,CHEMBL258536,Vmax,119.0,microM/s,=,,,,,,,,,CHEMBL1144813,708556,CHEMBL4051,Cc1nc(NC(=O)c2ccc([N+](=O)[O-])cc2)sc1-c1csc(Nc2ccc(Cl)cc2)n1
2164562,CHEMBL928176,CHEMBL258750,Vmax,126.0,microM/s,=,,,,,,,,,CHEMBL1144813,708555,CHEMBL4051,Cc1nc(NC(=O)c2ccc(Cl)cc2)sc1-c1csc(Nc2ccc(Cl)cc2)n1
2164564,CHEMBL928176,CHEMBL258749,Vmax,97.0,microM/s,=,,,,,,,,,CHEMBL1144813,708554,CHEMBL4051,CCOc1ccccc1Nc1nc(-c2sc(NC(=O)C(C)(C)C)nc2C)cs1
2164566,CHEMBL928176,CHEMBL262627,Vmax,127.0,microM/s,=,,,,,,,,,CHEMBL1144813,708553,CHEMBL4051,COc1ccc(Cl)cc1Nc1nc(-c2sc(NC(=O)C(C)(C)C)nc2C)cs1
2164568,CHEMBL928176,CHEMBL262886,Vmax,112.0,microM/s,=,,,,,,,,,CHEMBL1144813,708552,CHEMBL4051,COc1ccc(OC)c(Nc2nc(-c3sc(NC(=O)c4ccc(Cl)cc4)nc3C)cs2)c1
3280870,CHEMBL1110141,CHEMBL1099214,Vmax,2.6,microM/s,=,,,,,,,,,CHEMBL1158533,909927,CHEMBL4051,CCOC(=O)c1cc(-c2sc(NC(=O)C(C)(C)C)nc2C)nn1Cc1ccccc1
