activity_id,assay_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,standard_relation,published_value,published_units,published_relation,pchembl_value,activity_comment,data_validity_comment,confidence_score,ligand_efficiency,document_chembl_id,record_id,target_chembl_id,smiles
1513314,CHEMBL827234,CHEMBL365363,Km,4000.0,nM,=,,,,,,,,,CHEMBL1145253,392239,CHEMBL4302,COCOc1ccc2c(c1)[C@@H]1OC(=O)O[C@]13CCC(C)=C(COC2)C3(C)C
1513440,CHEMBL828626,CHEMBL365363,Vmax,41.0,uM,=,,,,,,,,,CHEMBL1145253,392239,CHEMBL4302,COCOc1ccc2c(c1)[C@@H]1OC(=O)O[C@]13CCC(C)=C(COC2)C3(C)C
1513444,CHEMBL827234,CHEMBL195059,Km,50000.0,nM,=,,,,,,,,,CHEMBL1145253,392240,CHEMBL4302,CC1=C2CC(=O)c3ccccc3[C@@H]3OC(=O)O[C@@]3(CC1)C2(C)C
1513445,CHEMBL828626,CHEMBL195059,Vmax,48.0,uM,=,,,,,,,,,CHEMBL1145253,392240,CHEMBL4302,CC1=C2CC(=O)c3ccccc3[C@@H]3OC(=O)O[C@@]3(CC1)C2(C)C
1513515,CHEMBL827234,CHEMBL372266,Km,8000.0,nM,=,,,,,,,,,CHEMBL1145253,394065,CHEMBL4302,COCOc1cccc2c1[C@@H]1OC(=O)O[C@]13CCC(C)=C(COC2)C3(C)C
1513516,CHEMBL828626,CHEMBL372266,Vmax,45.0,uM,=,,,,,,,,,CHEMBL1145253,394065,CHEMBL4302,COCOc1cccc2c1[C@@H]1OC(=O)O[C@]13CCC(C)=C(COC2)C3(C)C
1513578,CHEMBL827234,CHEMBL370277,Km,12000.0,nM,=,,,,,,,,,CHEMBL1145253,392263,CHEMBL4302,COCOc1ccc2c(c1)[C@@H]1OC(=O)O[C@]13CCC(C)=C(CC2=O)C3(C)C
1513579,CHEMBL828626,CHEMBL370277,Vmax,47.0,uM,=,,,,,,,,,CHEMBL1145253,392263,CHEMBL4302,COCOc1ccc2c(c1)[C@@H]1OC(=O)O[C@]13CCC(C)=C(CC2=O)C3(C)C
1513710,CHEMBL827234,CHEMBL365103,Km,35000.0,nM,=,,,,,,,,,CHEMBL1145253,392307,CHEMBL4302,C=C1C2(C)CC[C@]3(OC(=O)O[C@H]3c3c(OCOC)cccc3C2=O)C1(C)C
1513711,CHEMBL828626,CHEMBL365103,Vmax,39.0,uM,=,,,,,,,,,CHEMBL1145253,392307,CHEMBL4302,C=C1C2(C)CC[C@]3(OC(=O)O[C@H]3c3c(OCOC)cccc3C2=O)C1(C)C
1513715,CHEMBL827234,CHEMBL428647,Km,700.0,nM,=,,,,,,,,,CHEMBL1145253,392308,CHEMBL4302,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O
1513716,CHEMBL828626,CHEMBL428647,Vmax,35.0,uM,=,,,,,,,,,CHEMBL1145253,392308,CHEMBL4302,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O
1513718,CHEMBL827234,CHEMBL6966,Km,2000.0,nM,=,,,,,,,,,CHEMBL1145253,392331,CHEMBL4302,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC
1513719,CHEMBL828626,CHEMBL6966,Vmax,65.0,uM,=,,,,,,,,,CHEMBL1145253,392331,CHEMBL4302,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC
1515151,CHEMBL827234,CHEMBL195269,Km,40000.0,nM,=,,,,,,,,,CHEMBL1145253,392300,CHEMBL4302,CC1=C2COc3ccccc3[C@@H]3OC(=O)O[C@@]3(CC1)C2(C)C
1515152,CHEMBL828626,CHEMBL195269,Vmax,23.0,uM,=,,,,,,,,,CHEMBL1145253,392300,CHEMBL4302,CC1=C2COc3ccccc3[C@@H]3OC(=O)O[C@@]3(CC1)C2(C)C
1515156,CHEMBL827234,CHEMBL192446,Km,11000.0,nM,=,,,,,,,,,CHEMBL1145253,392301,CHEMBL4302,COCOc1ccc2c(c1)[C@@H]1OC(=O)O[C@]13CCC(C)=C(CO2)C3(C)C
1515157,CHEMBL828626,CHEMBL192446,Vmax,35.0,uM,=,,,,,,,,,CHEMBL1145253,392301,CHEMBL4302,COCOc1ccc2c(c1)[C@@H]1OC(=O)O[C@]13CCC(C)=C(CO2)C3(C)C
1515288,CHEMBL827234,CHEMBL192186,Km,28000.0,nM,=,,,,,,,,,CHEMBL1145253,392532,CHEMBL4302,COCOc1cccc2c1[C@@H]1OC(=O)O[C@]13CCC(C)=C(CO2)C3(C)C
1515289,CHEMBL828626,CHEMBL192186,Vmax,40.0,uM,=,,,,,,,,,CHEMBL1145253,392532,CHEMBL4302,COCOc1cccc2c1[C@@H]1OC(=O)O[C@]13CCC(C)=C(CO2)C3(C)C
1515293,CHEMBL827234,CHEMBL363157,Km,20000.0,nM,=,,,,,,,,,CHEMBL1145253,392261,CHEMBL4302,CC1=C2COCc3ccccc3[C@@H]3OC(=O)O[C@@]3(CC1)C2(C)C
1515294,CHEMBL828626,CHEMBL363157,Vmax,23.0,uM,=,,,,,,,,,CHEMBL1145253,392261,CHEMBL4302,CC1=C2COCc3ccccc3[C@@H]3OC(=O)O[C@@]3(CC1)C2(C)C
2512161,CHEMBL974428,CHEMBL450642,Km,87.0,nM,=,,,,,,,,,CHEMBL1138514,735121,CHEMBL4302,C[N+](C)=c1ccc2c(-c3ccc(C(=S)N4CCCCC4)s3)c3cc4c5c(c3sc-2c1)CCCN5CCC4.F[P-](F)(F)(F)(F)F
2512162,CHEMBL974428,CHEMBL492602,Km,350.0,nM,=,,,,,,,,,CHEMBL1138514,735119,CHEMBL4302,CN(C)c1ccc2c(-c3ccc(C(=S)N4CCCCC4)s3)c3ccc(=[N+](C)C)cc-3[se]c2c1.F[P-](F)(F)(F)(F)F
2512163,CHEMBL974428,CHEMBL495469,Km,360.0,nM,=,,,,,,,,,CHEMBL1138514,735044,CHEMBL4302,CN(C)c1ccc2c(-c3ccc(C(=S)N4CCCCC4)s3)c3ccc(=[N+](C)C)cc-3sc2c1.F[P-](F)(F)(F)(F)F
2512164,CHEMBL974428,CHEMBL522826,Km,410.0,nM,=,,,,,,,,,CHEMBL1138514,735120,CHEMBL4302,CN(C)c1ccc2c(-c3ccc(C(=S)N4CCCCC4)s3)c3ccc(=[N+](C)C)cc-3[te]c2c1.F[P-](F)(F)(F)(F)F
