activity_id,assay_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,standard_relation,published_value,published_units,published_relation,pchembl_value,activity_comment,data_validity_comment,confidence_score,ligand_efficiency,document_chembl_id,record_id,target_chembl_id,smiles
11000480,CHEMBL2076226,CHEMBL772,IC50,10200.0,nM,=,,,,4.99,inhibitor [IC50 = 10.2 u M (Hill coefficient = 4.7)],,,,CHEMBL2074066,1671175,CHEMBL6020,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC
11000482,CHEMBL2076226,CHEMBL437765,IC50,12200.0,nM,=,,,,4.91,inhibitor [IC50 = 12.2 u M (Hill coefficient = 1.6)],,,,CHEMBL2074066,1671177,CHEMBL6020,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(cc(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C
11000484,CHEMBL2076242,CHEMBL83,IC50,15400.0,nM,=,,,,4.81,inhibitor [IC50 = 15.4 u M (Hill coefficient = 4.1)],,,,CHEMBL2074066,1671179,CHEMBL6020,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1
11000485,CHEMBL2076226,CHEMBL103,IC50,17300.0,nM,=,,,,4.76,inhibitor [IC50 = 17.3 u M (Hill coefficient = 1.0)],,,,CHEMBL2074066,1671180,CHEMBL6020,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
11000491,CHEMBL2076226,CHEMBL83,IC50,23300.0,nM,=,,,,4.63,inhibitor [IC50 = 23.3 u M (Hill coefficient = 5.1)],,,,CHEMBL2074066,1671179,CHEMBL6020,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1
11000492,CHEMBL2076242,CHEMBL428647,IC50,26800.0,nM,=,,,,4.57,inhibitor [IC50 = 26.8 u M (Hill coefficient = 4.2)],,,,CHEMBL2074066,1671184,CHEMBL6020,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O
11000494,CHEMBL2076226,CHEMBL1292,IC50,28700.0,nM,=,,,,4.54,inhibitor [IC50 = 28.7 u M (Hill coefficient = 1.4)],,,,CHEMBL2074066,1671185,CHEMBL6020,CC(C)/N=c1\cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1
11000495,CHEMBL2076226,CHEMBL428647,IC50,28900.0,nM,=,,,,4.54,inhibitor [IC50 = 28.9 u M (Hill coefficient = 3.0)],,,,CHEMBL2074066,1671184,CHEMBL6020,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O
11000496,CHEMBL2076242,CHEMBL71,IC50,30900.0,nM,=,,,,4.51,inhibitor [IC50 = 30.9 u M (Hill coefficient = 11.0)],,,,CHEMBL2074066,1671186,CHEMBL6020,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
11000497,CHEMBL2076226,CHEMBL71,IC50,33500.0,nM,=,,,,4.47,inhibitor [IC50 = 33.5 u M (Hill coefficient = 5.1)],,,,CHEMBL2074066,1671186,CHEMBL6020,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
11000498,CHEMBL2076226,CHEMBL159,IC50,62000.0,nM,=,,,,4.21,inhibitor [IC50 = 62.0 u M (Hill coefficient = 1.9)],,,,CHEMBL2074066,1671176,CHEMBL6020,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1
11000499,CHEMBL2076226,CHEMBL157101,IC50,65400.0,nM,=,,,,4.18,inhibitor [IC50 = 65.4 u M (Hill coefficient = 2.6)],,,,CHEMBL2074066,1671187,CHEMBL6020,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
11000500,CHEMBL2076226,CHEMBL408,IC50,66400.0,nM,=,,,,4.18,inhibitor [IC50 = 66.4 u M (Hill coefficient = 2.1)],,,,CHEMBL2074066,1671188,CHEMBL6020,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2
11000501,CHEMBL2076226,CHEMBL223643,IC50,7200.0,nM,=,,,,5.14,inhibitor [IC50 = 7.2 u M (Hill coefficient = 1.0)],,,,CHEMBL2074066,1671189,CHEMBL6020,CC(C)[C@@H]1NC(=O)[C@H](C)OC(=O)[C@@H](C(C)C)NC(=O)[C@@H](C(C)C)OC(=O)[C@H](C(C)C)NC(=O)[C@H](C)OC(=O)[C@@H](C(C)C)NC(=O)[C@@H](C(C)C)OC(=O)[C@H](C(C)C)NC(=O)[C@H](C)OC(=O)[C@@H](C(C)C)NC(=O)[C@@H](C(C)C)OC1=O
11000502,CHEMBL2076242,CHEMBL160,IC50,7500.0,nM,=,,,,5.12,inhibitor [IC50 = 7.5 u M (Hill coefficient = 1.5)],,,,CHEMBL2074066,1671190,CHEMBL6020,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C
11000503,CHEMBL2076226,CHEMBL160,IC50,7800.0,nM,=,,,,5.11,inhibitor [IC50 = 7.8 u M (Hill coefficient = 1.1)],,,,CHEMBL2074066,1671190,CHEMBL6020,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C
11000504,CHEMBL2076242,CHEMBL6966,IC50,79100.0,nM,=,,,,4.1,inhibitor [IC50 = 79.1 u M (Hill coefficient = 2.7)],,,,CHEMBL2074066,1671181,CHEMBL6020,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC
11002383,CHEMBL2077352,CHEMBL411070,Ki,11000.0,nM,=,,,,4.96,inhibitor [Ki=11uM],,,,CHEMBL2073959,1672965,CHEMBL6020,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C
11002828,CHEMBL2075453,CHEMBL472,Ki,27500.0,nM,=,,,,4.56,inhibitor [Ki=27.5uM],,,,CHEMBL2073959,1669160,CHEMBL6020,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
11002844,CHEMBL2077352,CHEMBL185878,Ki,28000.0,nM,=,,,,4.55,inhibitor [Ki=28uM],,,,CHEMBL2073959,1669170,CHEMBL6020,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
11002884,CHEMBL2075452,CHEMBL437765,Ki,31000.0,nM,=,,,,4.51,inhibitor [Ki=31uM],,,,CHEMBL2073959,1669199,CHEMBL6020,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(cc(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C
11003278,CHEMBL2077352,CHEMBL1552,Ki,7000.0,nM,=,,,,5.16,inhibitor [Ki=7uM],,,,CHEMBL2073959,1669509,CHEMBL6020,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
11003316,CHEMBL2075454,CHEMBL160,Ki,9500.0,nM,=,,,,5.02,inhibitor [Ki=9.5uM],,,,CHEMBL2073959,1669526,CHEMBL6020,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C
13863451,CHEMBL3101856,CHEMBL3099716,IC50,11000.0,nM,=,,,,4.96,,,,"{'bei': '11.18', 'le': '0.21', 'lle': '-0.16', 'sei': '5.26'}",CHEMBL3098003,1956958,CHEMBL6020,CC1(C)OC(=O)N([C@H]2CC[C@H](c3cnc(N)c(-c4ncccn4)c3)CC2)[C@H]1c1ccccc1
15083160,CHEMBL3389575,CHEMBL1651956,IC50,110.0,nM,=,,,,6.96,,,,,CHEMBL3351593,2243540,CHEMBL6020,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)[C@H](C)C(=O)N(CC)[C@@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C
