activity_id,assay_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,standard_relation,published_value,published_units,published_relation,pchembl_value,activity_comment,data_validity_comment,confidence_score,ligand_efficiency,document_chembl_id,record_id,target_chembl_id,smiles,valid_smiles
13205624,CHEMBL2363735,CHEMBL472004,IC50,1682161.75,nM,=,,,,,,Outside typical range,,,CHEMBL1201861,1878348,CHEMBL1075391,O=S(=O)(O)c1ccc2cc(/N=N/c3cc(S(=O)(=O)O)c4cccnc4c3O)ccc2c1,True
13205628,CHEMBL2363735,CHEMBL412142,IC50,291068.61,nM,=,,,,,,Outside typical range,,,CHEMBL1201861,1878441,CHEMBL1075391,Cc1cnc(-c2cnc(NCCNc3ccc(C#N)cn3)nc2-c2ccc(Cl)cc2Cl)[nH]1,True
13205633,CHEMBL2363735,CHEMBL92309,IC50,447383.42,nM,=,,,,,,Outside typical range,,,CHEMBL1201861,1878448,CHEMBL1075391,COC(=O)CNC(=O)C(=O)OC,True
13205637,CHEMBL2363735,CHEMBL221137,IC50,164690.01,nM,=,,,,,,Outside typical range,,,CHEMBL1201861,1878453,CHEMBL1075391,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,True
13205639,CHEMBL2363735,CHEMBL591429,IC50,119056.48,nM,=,,,,,,Outside typical range,,,CHEMBL1201861,1878355,CHEMBL1075391,C=CCc1cccc(/C=N/NC(=O)CN2CCN(Cc3ccccc3)CC2)c1O,True
13205640,CHEMBL2363735,CHEMBL472940,IC50,416754.78,nM,=,,,,,,Outside typical range,,,CHEMBL1201861,1878469,CHEMBL1075391,Oc1ccc2ccccc2c1SSc1c(O)ccc2ccccc12,True
13205649,CHEMBL2363735,CHEMBL228043,IC50,627928.94,nM,=,,,,,,Outside typical range,,,CHEMBL1201861,1878339,CHEMBL1075391,C/C(O)=C(\C#N)C(=O)Nc1cc(Br)ccc1Br,True
13205652,CHEMBL2363735,CHEMBL477772,IC50,167776.38,nM,=,,,,,,Outside typical range,,,CHEMBL1201861,1878358,CHEMBL1075391,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,True
13205656,CHEMBL2363735,CHEMBL1431,IC50,30969681.85,nM,=,,,,,,Outside typical range,,,CHEMBL1201861,1878340,CHEMBL1075391,CN(C)C(=N)NC(=N)N,True
13205657,CHEMBL2363735,CHEMBL483849,IC50,32281771.5,nM,=,,,,,,Outside typical range,,,CHEMBL1201861,1878404,CHEMBL1075391,NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c1N,True
