target_chembl_id,pref_name,family,organism,target_type
CHEMBL5303722,ABCD1,ABC-D,Homo sapiens,NUCLEIC-ACID
CHEMBL4295940,(E3-independent) E2 ubiquitin-conjugating enzyme,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3817720,"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase",Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL612272,1-87 tumor cell line,Unknown,Homo sapiens,CELL-LINE
CHEMBL3885501,1-acylglycerol-3-phosphate O-acyltransferase ABHD5/Perilipin-5,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL3583,1-acylglycerol-3-phosphate O-acyltransferase alpha,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4772,1-acylglycerol-3-phosphate O-acyltransferase beta,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL1938222,1-phosphatidylinositol 3-phosphate 5-kinase,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3542430,11-beta-hydroxysteroid dehydrogenase,Unknown,Homo sapiens,PROTEIN FAMILY
CHEMBL4235,11-beta-hydroxysteroid dehydrogenase 1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3746,11-beta-hydroxysteroid dehydrogenase 2,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4523859,"12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor",Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL5169200,14 kDa phosphohistidine phosphatase,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL5291962,14-3-3 eta/c-RAF,Unknown,Homo sapiens,PROTEIN COMPLEX
CHEMBL3710403,14-3-3 protein beta/alpha,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3329082,14-3-3 protein epsilon,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3708585,14-3-3 protein eta,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL1293296,14-3-3 protein gamma,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL1909482,14-3-3 protein sigma,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3710408,14-3-3 protein theta,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4105899,14-3-3 protein zeta/delta,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL614508,143B,Unknown,Homo sapiens,CELL-LINE
CHEMBL1293255,15-hydroxyprostaglandin dehydrogenase [NAD+],Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4296395,16HBE14o-,Unknown,Homo sapiens,CELL-LINE
CHEMBL5305042,17-beta-hydroxysteroid dehydrogenase 13,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3712868,17-beta-hydroxysteroid dehydrogenase 14,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4295939,182 kDa tankyrase-1-binding protein,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4296396,184B5,Unknown,Homo sapiens,CELL-LINE
CHEMBL614075,1A9,Unknown,Homo sapiens,CELL-LINE
CHEMBL614509,1A9/ptx-10,Unknown,Homo sapiens,CELL-LINE
CHEMBL613858,1A9/ptx-22,Unknown,Homo sapiens,CELL-LINE
CHEMBL4296397,1BR.3.GN,Unknown,Homo sapiens,CELL-LINE
CHEMBL4523342,"2',5'-phosphodiesterase 12",Unknown,Homo sapiens,SINGLE PROTEIN
