molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL53463,IC50,83.45,nM,
CHEMBL44657,IC50,404.53,nM,
CHEMBL888,IC50,22.65,nM,
CHEMBL105,IC50,61.2,nM,
CHEMBL553025,IC50,3.024,nM,
CHEMBL512504,IC50,57832.56,nM,
CHEMBL472004,IC50,1682161.75,nM,
CHEMBL409,IC50,41044.92,nM,
CHEMBL259181,IC50,14818.67,nM,
CHEMBL608533,IC50,134.15,nM,
CHEMBL412142,IC50,291068.61,nM,
CHEMBL1171837,IC50,15803.29,nM,
CHEMBL2165191,IC50,14750.44,nM,
CHEMBL585951,IC50,888.71,nM,
CHEMBL1084546,IC50,2251.96,nM,
CHEMBL92309,IC50,447383.42,nM,
CHEMBL135561,IC50,25590.52,nM,
CHEMBL9470,IC50,707.48,nM,
CHEMBL258844,IC50,10285.48,nM,
CHEMBL221137,IC50,164690.01,nM,
CHEMBL2363137,IC50,3407.46,nM,
CHEMBL591429,IC50,119056.48,nM,
CHEMBL472940,IC50,416754.78,nM,
CHEMBL558642,IC50,6583.02,nM,
CHEMBL1190711,IC50,10208.09,nM,
CHEMBL96926,IC50,3.192,nM,
CHEMBL2107358,IC50,504.96,nM,
CHEMBL575448,IC50,116.95,nM,
CHEMBL1091644,IC50,903.52,nM,
CHEMBL1023,IC50,76829.83,nM,
CHEMBL403664,IC50,19667.88,nM,
CHEMBL228043,IC50,627928.94,nM,
CHEMBL252164,IC50,87.59,nM,
CHEMBL449158,IC50,138.29,nM,
CHEMBL477772,IC50,167776.38,nM,
CHEMBL94657,IC50,1.675,nM,
CHEMBL289228,IC50,3212.08,nM,
CHEMBL191384,IC50,9725.33,nM,
CHEMBL1431,IC50,30969681.85,nM,
CHEMBL483849,IC50,32281771.5,nM,
CHEMBL65,IC50,3.468,nM,
CHEMBL159,IC50,15.49,nM,
CHEMBL11359,IC50,3608.03,nM,
CHEMBL803,IC50,1520.53,nM,
CHEMBL3545252,IC50,11.46,nM,
CHEMBL34259,IC50,21149.62,nM,
CHEMBL38,IC50,685176.18,nM,
CHEMBL939,IC50,12340.99,nM,
CHEMBL443684,IC50,17814.06,nM,
CHEMBL98,IC50,2604.6,nM,
CHEMBL255863,IC50,84594.14,nM,
CHEMBL3349342,IC50,164525.24,nM,
CHEMBL105442,IC50,24272.94,nM,
CHEMBL1201182,IC50,320.37,nM,
CHEMBL521686,IC50,78678.11,nM,
CHEMBL506871,IC50,138388.23,nM,
CHEMBL288441,IC50,4233.33,nM,
CHEMBL848,IC50,29697.41,nM,
CHEMBL1289926,IC50,3939.11,nM,
CHEMBL2041933,IC50,260.64,nM,
CHEMBL176544,IC50,5722.0,nM,
CHEMBL603469,IC50,12506.61,nM,
CHEMBL102714,IC50,823929.53,nM,
CHEMBL109480,IC50,46853.79,nM,
CHEMBL1090090,IC50,210766.52,nM,
CHEMBL572881,IC50,31026.51,nM,
CHEMBL222102,IC50,633923.32,nM,
CHEMBL1972860,IC50,0.3653,nM,
CHEMBL1173655,IC50,34369.28,nM,
CHEMBL473417,IC50,1049189.25,nM,
CHEMBL1230020,IC50,698042.51,nM,
CHEMBL577784,IC50,4811.73,nM,
CHEMBL188678,IC50,162170.95,nM,
CHEMBL240954,IC50,483529.83,nM,
CHEMBL573107,IC50,335897.15,nM,
CHEMBL103667,IC50,179680.99,nM,
CHEMBL210618,IC50,205148.48,nM,
CHEMBL379975,IC50,39717.94,nM,
CHEMBL191334,IC50,54122.34,nM,
CHEMBL189584,IC50,79942.29,nM,
CHEMBL202721,IC50,1403.52,nM,
CHEMBL393929,IC50,18562.68,nM,
CHEMBL1079175,IC50,2332.53,nM,
CHEMBL189963,IC50,1785.82,nM,
CHEMBL1879463,IC50,420.45,nM,
CHEMBL521851,IC50,258456.14,nM,
CHEMBL1801204,IC50,26795.72,nM,
CHEMBL507361,IC50,123.02,nM,
CHEMBL477989,IC50,234129.64,nM,
CHEMBL1614701,IC50,27197.42,nM,
CHEMBL2165191,IC50,136287.69,nM,
CHEMBL255342,IC50,289868.39,nM,
CHEMBL1186585,IC50,28436.23,nM,
CHEMBL1090771,IC50,268453.85,nM,
CHEMBL2134202,IC50,10103.74,nM,
CHEMBL2137530,IC50,15944.92,nM,
CHEMBL217354,IC50,315.5,nM,
CHEMBL399530,IC50,711033.82,nM,
CHEMBL1173055,IC50,800177.04,nM,
CHEMBL5282240,IC50,20000.0,nM,
CHEMBL5270178,IC50,20000.0,nM,
CHEMBL5268484,IC50,2000.0,nM,
