molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL1790040,EC50,4138.0,nM,
CHEMBL1571123,EC50,34690.0,nM,
CHEMBL1504077,EC50,62790.0,nM,
CHEMBL1301371,EC50,21510.0,nM,
CHEMBL1510339,EC50,44230.0,nM,
CHEMBL1375884,EC50,80360.0,nM,
CHEMBL1332689,EC50,210.0,nM,
CHEMBL1363679,EC50,74540.0,nM,
CHEMBL1322995,EC50,29520.0,nM,
CHEMBL1477528,EC50,30470.0,nM,
CHEMBL1307050,EC50,23870.0,nM,
CHEMBL1548439,EC50,38130.0,nM,
CHEMBL1380929,EC50,10040.0,nM,
CHEMBL1344491,EC50,60590.0,nM,
CHEMBL1518077,EC50,17800.0,nM,
CHEMBL1341870,EC50,36850.0,nM,
CHEMBL1604350,EC50,21280.0,nM,
CHEMBL1428095,EC50,8720.0,nM,
CHEMBL1413931,EC50,11510.0,nM,
CHEMBL1539522,EC50,20500.0,nM,
