molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL221371,IC50,700.0,nM,
CHEMBL222265,IC50,2500.0,nM,
CHEMBL243813,IC50,6300.0,nM,
CHEMBL243169,IC50,1380.0,nM,
CHEMBL243168,IC50,560.0,nM,
CHEMBL243167,IC50,450.0,nM,
CHEMBL397235,IC50,350.0,nM,
CHEMBL242513,IC50,770.0,nM,
CHEMBL243814,IC50,7900.0,nM,
CHEMBL388886,IC50,4800.0,nM,
CHEMBL242512,IC50,20000.0,nM,
CHEMBL242943,IC50,20000.0,nM,
CHEMBL242942,IC50,20000.0,nM,
CHEMBL242515,IC50,20000.0,nM,
CHEMBL397685,IC50,20000.0,nM,
CHEMBL396298,IC50,410.0,nM,
CHEMBL258611,EC50,75000.0,nM,
CHEMBL272036,EC50,500.0,nM,
CHEMBL272423,EC50,1500.0,nM,
CHEMBL406597,EC50,7000.0,nM,
CHEMBL272836,EC50,150000.0,nM,
CHEMBL270559,EC50,58000.0,nM,
CHEMBL258610,EC50,120000.0,nM,
CHEMBL346292,IC50,3981.07,nM,
CHEMBL442464,IC50,109647.82,nM,
CHEMBL409234,IC50,14454.4,nM,
CHEMBL409480,IC50,44668.36,nM,
CHEMBL259690,IC50,6025.6,nM,
CHEMBL258882,IC50,6025.6,nM,
CHEMBL260113,IC50,7244.36,nM,
CHEMBL259976,IC50,12882.5,nM,
CHEMBL471170,IC50,24547.09,nM,
CHEMBL261857,IC50,11481.54,nM,
CHEMBL259789,IC50,22908.68,nM,
CHEMBL408709,IC50,21877.62,nM,
CHEMBL518645,IC50,15135.61,nM,
CHEMBL258575,IC50,36307.81,nM,
CHEMBL258574,IC50,64565.42,nM,
CHEMBL260896,IC50,47863.01,nM,
CHEMBL411951,IC50,5011.87,nM,
CHEMBL258909,IC50,23988.33,nM,
CHEMBL410897,IC50,77624.71,nM,
CHEMBL261632,IC50,263026.8,nM,
CHEMBL261618,IC50,6606.93,nM,
CHEMBL555611,IC50,7585.78,nM,
CHEMBL259077,IC50,74131.02,nM,
CHEMBL429515,IC50,85113.8,nM,
CHEMBL258456,IC50,79432.82,nM,
CHEMBL247473,IC50,2089.3,nM,
CHEMBL348475,IC50,1445.44,nM,
CHEMBL258896,IC50,3890.45,nM,
CHEMBL428402,IC50,1000.0,nM,
CHEMBL444075,IC50,5011.87,nM,
CHEMBL160,IC50,63095.73,nM,
CHEMBL488910,IC50,309.03,nM,
CHEMBL6966,IC50,524807.46,nM,
CHEMBL772,IC50,26302.68,nM,
CHEMBL103,IC50,125892.54,nM,
CHEMBL36506,IC50,66069.34,nM,
CHEMBL1484,IC50,16595.87,nM,
CHEMBL941,IC50,4897.79,nM,
CHEMBL23,IC50,851138.04,nM,
CHEMBL428402,IC50,831.76,nM,
CHEMBL428402,IC50,676.08,nM,
