molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL2074784,Km,13000.0,nM,
CHEMBL494753,Km,17000.0,nM,
CHEMBL1743143,Km,26000.0,nM,
CHEMBL2074805,Km,27000.0,nM,
CHEMBL34259,Km,5700000.0,nM,
CHEMBL34259,Km,1300000.0,nM,
CHEMBL837,Km,4000.0,nM,
CHEMBL494753,Km,6800.0,nM,
CHEMBL34259,Km,680000.0,nM,
CHEMBL2096747,Km,5320.0,nM,
CHEMBL3526697,Km,590.0,nM,
CHEMBL4071711,Vmax,119.0,%,
CHEMBL4098723,Vmax,154.0,%,
CHEMBL4082228,Vmax,185.0,%,
CHEMBL4075328,Vmax,164.0,%,
CHEMBL4068441,Vmax,115.0,%,
CHEMBL4089579,Vmax,151.0,%,
CHEMBL4059784,Vmax,178.0,%,
CHEMBL4081708,Vmax,137.0,%,
CHEMBL4071162,Vmax,137.0,%,
CHEMBL4090505,Vmax,132.0,%,
CHEMBL1499954,Vmax,137.0,%,
CHEMBL4082677,Vmax,152.0,%,
CHEMBL4082355,Vmax,150.0,%,
CHEMBL4071857,Vmax,152.0,%,
CHEMBL4097911,Vmax,140.0,%,
CHEMBL4083491,Vmax,151.0,%,
CHEMBL4099533,Vmax,40.0,%,
CHEMBL4083108,Vmax,133.0,%,
CHEMBL4077632,Vmax,144.0,%,
CHEMBL4062126,Vmax,146.0,%,
CHEMBL4096657,Vmax,134.0,%,
CHEMBL4069428,Vmax,140.0,%,
CHEMBL4088963,Vmax,154.0,%,
CHEMBL4060750,Vmax,100.0,%,
CHEMBL2158558,Vmax,145.0,%,
CHEMBL4069582,Vmax,135.0,%,
CHEMBL4085567,Vmax,142.0,%,
CHEMBL50,Vmax,177.0,%,
CHEMBL4065492,Km,9.0,nM,
CHEMBL4071857,Km,2.0,nM,
CHEMBL4065492,Vmax,155.0,%,
CHEMBL4065492,Vmax,25.0,%,
CHEMBL4072482,Vmax,123.0,%,
CHEMBL4094267,Vmax,141.0,%,
CHEMBL4075334,Vmax,145.0,%,
CHEMBL4074563,Vmax,140.0,%,
CHEMBL4069654,Vmax,140.0,%,
CHEMBL4066611,Vmax,118.0,%,
CHEMBL4070627,Vmax,157.0,%,
CHEMBL4077346,Vmax,140.0,%,
CHEMBL4081623,Vmax,140.0,%,
CHEMBL4104361,Vmax,142.0,%,
CHEMBL4076800,Vmax,141.0,%,
CHEMBL547193,Vmax,187.0,%,
CHEMBL4077318,Vmax,137.0,%,
CHEMBL4075963,Vmax,172.0,%,
CHEMBL4064296,Vmax,172.0,%,
CHEMBL4094899,Vmax,123.0,%,
CHEMBL4073213,Vmax,126.0,%,
CHEMBL4083745,Vmax,147.0,%,
CHEMBL4101737,Vmax,129.0,%,
CHEMBL4073354,Vmax,189.0,%,
CHEMBL4072305,Vmax,149.0,%,
CHEMBL4091528,Vmax,133.0,%,
CHEMBL4063711,Vmax,163.0,%,
CHEMBL4094904,Vmax,138.0,%,
CHEMBL4072298,Vmax,153.0,%,
CHEMBL4099250,Vmax,147.0,%,
CHEMBL4082782,Vmax,158.0,%,
CHEMBL4060914,Vmax,129.0,%,
CHEMBL1194993,Vmax,120.0,%,
CHEMBL4069582,Vmax,135.0,%,
CHEMBL2158558,Vmax,146.0,%,
CHEMBL4088022,Vmax,100.0,%,
CHEMBL1410991,Vmax,145.0,%,
CHEMBL1195084,Vmax,146.0,%,
CHEMBL50,Vmax,194.0,%,
CHEMBL4171017,Vmax,136.0,%,
CHEMBL4163784,Vmax,135.0,%,
CHEMBL4174458,Vmax,135.0,%,
CHEMBL4164189,Vmax,138.0,%,
CHEMBL4174412,Vmax,168.0,%,
CHEMBL4174809,Vmax,115.0,%,
CHEMBL4164155,Vmax,134.0,%,
CHEMBL4167604,Vmax,152.0,%,
CHEMBL4167856,Vmax,131.0,%,
CHEMBL4163310,Vmax,143.0,%,
CHEMBL4169043,Vmax,122.0,%,
CHEMBL4167361,Vmax,168.0,%,
CHEMBL4579169,Vmax,160.0,%,
CHEMBL4470633,Vmax,157.0,%,
CHEMBL4446794,Vmax,180.0,%,
CHEMBL4450363,Vmax,132.0,%,
CHEMBL4469532,Vmax,158.0,%,
CHEMBL4533300,Vmax,150.0,%,
CHEMBL117697,Vmax,157.0,%,
CHEMBL92985,Vmax,140.0,%,
CHEMBL118812,Vmax,147.0,%,
CHEMBL2158554,Vmax,140.0,%,
CHEMBL4442077,Vmax,60.0,%,
CHEMBL4448170,Vmax,137.0,%,
