molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL3648535,IC50,2.4,nM,
CHEMBL3651825,IC50,2.1,nM,
CHEMBL3651826,IC50,1.6,nM,
CHEMBL3648511,IC50,1.3,nM,
CHEMBL3648512,IC50,2.6,nM,
CHEMBL3648513,IC50,1.7,nM,
CHEMBL3648514,IC50,2.4,nM,
CHEMBL3648515,IC50,2.1,nM,
CHEMBL3648516,IC50,1.8,nM,
CHEMBL3648517,IC50,2.0,nM,
CHEMBL3648518,IC50,3.0,nM,
CHEMBL3648519,IC50,3.0,nM,
CHEMBL3648520,IC50,2.5,nM,
CHEMBL3639473,IC50,2.1,nM,
CHEMBL3648521,IC50,1.7,nM,
CHEMBL3648522,IC50,1.4,nM,
CHEMBL3648523,IC50,1.5,nM,
CHEMBL3648524,IC50,2.1,nM,
CHEMBL3648525,IC50,1.8,nM,
CHEMBL3648526,IC50,1.5,nM,
CHEMBL3648527,IC50,1.9,nM,
CHEMBL3648528,IC50,1.5,nM,
CHEMBL3648529,IC50,2.2,nM,
CHEMBL3648530,IC50,1.5,nM,
CHEMBL3648531,IC50,2.0,nM,
CHEMBL3648532,IC50,1.3,nM,
CHEMBL3648533,IC50,2.0,nM,
CHEMBL3648534,IC50,1.9,nM,
CHEMBL3648535,IC50,2.4,nM,
CHEMBL3648535,IC50,1.9,nM,
CHEMBL3648536,IC50,2.9,nM,
CHEMBL3648537,IC50,1.3,nM,
CHEMBL3648538,IC50,0.9,nM,
CHEMBL3648539,IC50,1.3,nM,
CHEMBL3648540,IC50,1.4,nM,
CHEMBL3648541,IC50,1.3,nM,
CHEMBL3648542,IC50,1.7,nM,
CHEMBL3648543,IC50,1.4,nM,
CHEMBL3648544,IC50,1.0,nM,
CHEMBL3648545,IC50,1.9,nM,
CHEMBL3648546,IC50,1.4,nM,
CHEMBL3648547,IC50,1.6,nM,
CHEMBL3648548,IC50,2.4,nM,
CHEMBL3648549,IC50,1.9,nM,
CHEMBL3648550,IC50,2.5,nM,
CHEMBL3648551,IC50,1.3,nM,
CHEMBL3648551,IC50,1.2,nM,
CHEMBL3648552,IC50,1.6,nM,
CHEMBL3648553,IC50,1.0,nM,
CHEMBL3648554,IC50,1.3,nM,
CHEMBL3648555,IC50,0.8,nM,
CHEMBL3648556,IC50,1.4,nM,
CHEMBL3648557,IC50,1.4,nM,
CHEMBL3648558,IC50,1.6,nM,
CHEMBL3648559,IC50,1.7,nM,
CHEMBL3648560,IC50,1.9,nM,
CHEMBL3648561,IC50,3.5,nM,
CHEMBL3648562,IC50,3.2,nM,
CHEMBL3648563,IC50,2.5,nM,
CHEMBL3648564,IC50,2.5,nM,
CHEMBL3648565,IC50,2.3,nM,
CHEMBL3648566,IC50,2.1,nM,
CHEMBL3648567,IC50,1.9,nM,
CHEMBL3648568,IC50,3.1,nM,
CHEMBL3648569,IC50,1.6,nM,
CHEMBL3648570,IC50,2.0,nM,
CHEMBL3648571,IC50,2.5,nM,
CHEMBL3648572,IC50,2.0,nM,
