molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL2093978,IC50,2900000.0,nM,
CHEMBL2094022,IC50,809000.0,nM,
CHEMBL2093977,IC50,335000.0,nM,
CHEMBL38686,IC50,7210000.0,nM,
CHEMBL2094024,IC50,436000.0,nM,
CHEMBL419823,IC50,630000.0,nM,
CHEMBL72499,IC50,151000.0,nM,
CHEMBL77575,IC50,2310000.0,nM,
CHEMBL77484,IC50,6410000.0,nM,
CHEMBL78166,IC50,382000.0,nM,
CHEMBL77626,IC50,7210000.0,nM,
CHEMBL269439,IC50,88000.0,nM,
CHEMBL308528,IC50,435000.0,nM,
CHEMBL277498,IC50,2370000.0,nM,
CHEMBL75035,IC50,140000.0,nM,
CHEMBL76768,IC50,1870000.0,nM,
CHEMBL77166,IC50,201000.0,nM,
CHEMBL77287,IC50,300000.0,nM,
CHEMBL77423,IC50,1270000.0,nM,
CHEMBL310236,IC50,109000.0,nM,
CHEMBL77111,IC50,655000.0,nM,
CHEMBL74854,IC50,920000.0,nM,
CHEMBL405620,IC50,2660000.0,nM,
CHEMBL1027,IC50,1670000.0,nM,
CHEMBL309357,IC50,39000.0,nM,
CHEMBL96,IC50,36000.0,nM,
CHEMBL432737,IC50,208000.0,nM,
CHEMBL1164505,Ki,1600.0,nM,
CHEMBL1641613,IC50,100000.0,nM,
CHEMBL75035,IC50,141253.75,nM,
CHEMBL1446457,IC50,5100.0,nM,
CHEMBL75035,IC50,71700.0,nM,
CHEMBL2415009,IC50,5480.0,nM,
CHEMBL3040189,IC50,5480.0,nM,
CHEMBL3326391,IC50,590.0,nM,
CHEMBL75035,IC50,71700.0,nM,
CHEMBL1446457,IC50,5100.0,nM,
CHEMBL75800,IC50,27000.0,nM,
CHEMBL1882801,IC50,18000.0,nM,
CHEMBL1882801,IC50,13489.63,nM,
CHEMBL1882801,IC50,4073.8,nM,
CHEMBL1882801,IC50,2884.03,nM,
CHEMBL1882801,IC50,9549.93,nM,
CHEMBL1882801,IC50,7943.28,nM,
CHEMBL1882801,IC50,13182.57,nM,
CHEMBL1882801,IC50,5128.61,nM,
CHEMBL1882801,IC50,5495.41,nM,
CHEMBL1882801,IC50,7079.46,nM,
CHEMBL1882801,IC50,1659.59,nM,
CHEMBL1882801,IC50,4897.79,nM,
CHEMBL1882801,IC50,5888.44,nM,
CHEMBL1882801,IC50,21379.62,nM,
CHEMBL1882801,IC50,13489.63,nM,
CHEMBL1882801,IC50,17378.01,nM,
CHEMBL1882801,IC50,6025.6,nM,
CHEMBL1882801,IC50,13803.84,nM,
CHEMBL1882801,IC50,13182.57,nM,
CHEMBL1882801,IC50,14791.08,nM,
CHEMBL1882801,IC50,6606.93,nM,
CHEMBL1882801,IC50,7943.28,nM,
CHEMBL1882801,IC50,5000.0,nM,
CHEMBL1882801,IC50,3000.0,nM,
CHEMBL1882801,IC50,10000.0,nM,
CHEMBL1882801,IC50,8000.0,nM,
CHEMBL1882801,IC50,13000.0,nM,
CHEMBL1882801,IC50,5000.0,nM,
CHEMBL1882801,IC50,6000.0,nM,
CHEMBL1882801,IC50,7000.0,nM,
CHEMBL1882801,IC50,2000.0,nM,
CHEMBL1882801,IC50,6000.0,nM,
CHEMBL1882801,IC50,8000.0,nM,
CHEMBL1882801,IC50,21000.0,nM,
CHEMBL1882801,IC50,14000.0,nM,
CHEMBL1882801,IC50,17000.0,nM,
CHEMBL1882801,IC50,5000.0,nM,
CHEMBL1882801,IC50,14000.0,nM,
CHEMBL1882801,IC50,13000.0,nM,
CHEMBL1882801,IC50,15000.0,nM,
CHEMBL1882801,IC50,7000.0,nM,
CHEMBL1882801,IC50,8000.0,nM,
CHEMBL1882801,IC50,18620.87,nM,
CHEMBL1882801,IC50,19054.61,nM,
CHEMBL1882801,IC50,5495.41,nM,
CHEMBL1882801,IC50,19000.0,nM,
CHEMBL1882801,IC50,19000.0,nM,
CHEMBL1882801,IC50,6000.0,nM,
CHEMBL1882801,IC50,1000000.0,nM,
CHEMBL1882801,IC50,25118.86,nM,
CHEMBL1882801,IC50,58000.0,nM,
CHEMBL1882801,IC50,1621.81,nM,
CHEMBL1882801,IC50,2000.0,nM,
CHEMBL4068983,Ki,42000.0,nM,
CHEMBL228972,Ki,15000.0,nM,
CHEMBL4066152,IC50,1000000.0,nM,
CHEMBL4072452,IC50,1000000.0,nM,
CHEMBL4101561,IC50,1000000.0,nM,
CHEMBL4075423,IC50,1000000.0,nM,
CHEMBL4077212,IC50,1000000.0,nM,
CHEMBL4076258,IC50,1000000.0,nM,
CHEMBL4075865,IC50,1000000.0,nM,
CHEMBL4075412,IC50,1000000.0,nM,
CHEMBL4072002,IC50,1000000.0,nM,
CHEMBL4102978,IC50,100000.0,nM,
CHEMBL4069676,IC50,100000.0,nM,
CHEMBL4091409,IC50,50000.0,nM,
CHEMBL4097791,IC50,50000.0,nM,
CHEMBL4070660,IC50,100000.0,nM,
CHEMBL4090080,IC50,100000.0,nM,
CHEMBL4079046,IC50,1000000.0,nM,
CHEMBL4069761,IC50,1000000.0,nM,
CHEMBL4063054,IC50,1000000.0,nM,
CHEMBL4071982,IC50,100000.0,nM,
CHEMBL4072046,IC50,50000.0,nM,
CHEMBL4097124,IC50,50000.0,nM,
CHEMBL4070193,IC50,100000.0,nM,
CHEMBL4089518,IC50,1000000.0,nM,
CHEMBL1603838,IC50,295120.92,nM,
CHEMBL1603838,IC50,290000.0,nM,
CHEMBL4080696,IC50,100000.0,nM,
CHEMBL4080696,IC50,100000.0,nM,
CHEMBL1710951,IC50,181970.09,nM,
CHEMBL1710951,IC50,180000.0,nM,
CHEMBL4078727,IC50,169824.37,nM,
CHEMBL4078727,IC50,170000.0,nM,
CHEMBL123282,IC50,91201.08,nM,
CHEMBL123282,IC50,91000.0,nM,
CHEMBL4060376,IC50,40738.03,nM,
CHEMBL4060376,IC50,44000.0,nM,
CHEMBL4060376,IC50,,,
CHEMBL4060376,IC50,7943.28,nM,
CHEMBL4060376,IC50,8000.0,nM,
CHEMBL4060376,IC50,,,
CHEMBL4060376,IC50,,,
CHEMBL4060376,IC50,,,
CHEMBL4060376,IC50,,,
CHEMBL4060376,IC50,,,
CHEMBL4060376,IC50,,,
CHEMBL4060376,IC50,,,
CHEMBL4060376,IC50,,,
CHEMBL4060376,IC50,,,
CHEMBL4060376,IC50,,,
CHEMBL4060376,IC50,,,
CHEMBL4060376,IC50,,,
CHEMBL4060376,IC50,,,
CHEMBL4060376,IC50,,,
CHEMBL4060376,IC50,,,
CHEMBL4060376,IC50,,,
CHEMBL4060376,IC50,,,
CHEMBL4060376,IC50,43651.58,nM,
CHEMBL4060376,IC50,47000.0,nM,
CHEMBL4060376,IC50,24547.09,nM,
CHEMBL4060376,IC50,22908.68,nM,
CHEMBL4060376,IC50,12882.5,nM,
CHEMBL4060376,IC50,25000.0,nM,
