molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL185179,IC50,1600.0,nM,
CHEMBL182301,IC50,300.0,nM,
CHEMBL185033,IC50,700.0,nM,
CHEMBL184982,IC50,200.0,nM,
CHEMBL367757,IC50,300.0,nM,
CHEMBL182671,IC50,300.0,nM,
CHEMBL179911,IC50,8600.0,nM,
CHEMBL182965,IC50,63000.0,nM,
CHEMBL362668,IC50,3400.0,nM,
CHEMBL182697,IC50,220.0,nM,
CHEMBL35,IC50,15000.0,nM,
CHEMBL160,IC50,1000.0,nM,
CHEMBL157101,IC50,264000.0,nM,
CHEMBL1551,IC50,3600.0,nM,
CHEMBL224867,IC50,5300.0,nM,
CHEMBL27,IC50,5500.0,nM,
CHEMBL452861,IC50,6100.0,nM,
CHEMBL453904,IC50,7300.0,nM,
CHEMBL121,IC50,5100.0,nM,
CHEMBL421,IC50,9600.0,nM,
CHEMBL41632,IC50,6900.0,nM,
CHEMBL603,IC50,6500.0,nM,
CHEMBL1078,IC50,40000.0,nM,
CHEMBL957,IC50,30000000.0,nM,
CHEMBL2103873,IC50,10000000.0,nM,
CHEMBL1513,IC50,30000.0,nM,
CHEMBL1829174,IC50,2000.0,nM,
CHEMBL4781848,IC50,66.0,nM,
CHEMBL4849233,IC50,14.0,nM,
CHEMBL4864019,IC50,14.0,nM,
CHEMBL4869726,IC50,14.0,nM,
CHEMBL4875540,IC50,14.0,nM,
CHEMBL4861143,IC50,14.0,nM,
CHEMBL4875540,IC50,58.33,nM,
CHEMBL4875540,IC50,8348.0,nM,
CHEMBL4862057,IC50,10000.0,nM,
CHEMBL4855155,IC50,109.2,nM,
CHEMBL4865557,IC50,54.0,nM,
CHEMBL4862057,IC50,10000.0,nM,
CHEMBL4855155,IC50,167.2,nM,
CHEMBL4865557,IC50,81.5,nM,
CHEMBL4849233,IC50,36.2,nM,
CHEMBL4862057,IC50,24.5,nM,
CHEMBL4858170,IC50,37.5,nM,
CHEMBL4855155,IC50,17.9,nM,
CHEMBL4865557,IC50,23.5,nM,
CHEMBL4875567,IC50,0.3,nM,
CHEMBL5089410,IC50,30000.0,nM,
CHEMBL5187690,IC50,9000.0,nM,
CHEMBL5209277,IC50,19000.0,nM,
CHEMBL5172935,IC50,20000.0,nM,
CHEMBL5187690,IC50,11000.0,nM,
CHEMBL5209277,IC50,51000.0,nM,
CHEMBL5172935,IC50,51000.0,nM,
CHEMBL5184719,IC50,238000.0,nM,
CHEMBL5209036,IC50,123000.0,nM,
CHEMBL5171320,IC50,145000.0,nM,
CHEMBL5171780,IC50,150000.0,nM,
CHEMBL5184719,IC50,17800.0,nM,
CHEMBL5209036,IC50,16200.0,nM,
CHEMBL5171320,IC50,12500.0,nM,
CHEMBL5171780,IC50,13300.0,nM,
CHEMBL140,Kd,64300.0,nM,
CHEMBL1138,Ki,25000.0,nM,
CHEMBL1513,Ki,11900.0,nM,
CHEMBL163,Ki,18400.0,nM,
CHEMBL603,IC50,1000.0,nM,
CHEMBL41632,IC50,10000.0,nM,
CHEMBL421,IC50,1000.0,nM,
CHEMBL311909,IC50,1000.0,nM,
CHEMBL603,IC50,6500.0,nM,
CHEMBL41632,IC50,6900.0,nM,
CHEMBL421,IC50,9600.0,nM,
CHEMBL311909,IC50,7100.0,nM,
CHEMBL5195524,IC50,8000.0,nM,
CHEMBL502663,IC50,6000.0,nM,
CHEMBL1087753,IC50,11000.0,nM,
CHEMBL23236,IC50,109000.0,nM,
CHEMBL359080,IC50,199000.0,nM,
CHEMBL5180658,IC50,16000.0,nM,
CHEMBL5184124,IC50,6500.0,nM,
CHEMBL5179055,IC50,16500.0,nM,
CHEMBL422042,IC50,4000.0,nM,
CHEMBL5199698,IC50,50000.0,nM,
CHEMBL5287944,Ki,5380.0,nM,
CHEMBL5279244,Ki,4210.0,nM,
CHEMBL5272039,Ki,9290.0,nM,
CHEMBL5287717,Ki,11800.0,nM,
CHEMBL5276478,Ki,2550.0,nM,
