molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL2074762,Km,11000.0,nM,
CHEMBL3138108,Km,27000.0,nM,
CHEMBL3138109,Km,33200.0,nM,
CHEMBL224867,Km,6200.0,nM,
CHEMBL224867,Km,7900.0,nM,
CHEMBL4466008,Km,48230.0,nM,
CHEMBL4445054,Km,113390.0,nM,
CHEMBL4456366,Km,45470.0,nM,
CHEMBL4450387,Km,102430.0,nM,
CHEMBL922,Km,,,
CHEMBL224867,Km,23930.0,nM,
CHEMBL4466008,Vmax,8.28,umol/mg/min,
CHEMBL4445054,Vmax,7.95,umol/mg/min,
CHEMBL4456366,Vmax,9.61,umol/mg/min,
CHEMBL4450387,Vmax,6.86,umol/mg/min,
CHEMBL922,Vmax,,,
CHEMBL224867,Vmax,10.44,umol/mg/min,
