molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL772,IC50,10200.0,nM,
CHEMBL159,IC50,114700.0,nM,
CHEMBL437765,IC50,12200.0,nM,
CHEMBL472,IC50,146500.0,nM,
CHEMBL83,IC50,15400.0,nM,
CHEMBL103,IC50,17300.0,nM,
CHEMBL6966,IC50,178900.0,nM,
CHEMBL408701,IC50,189200.0,nM,
CHEMBL437765,IC50,206500.0,nM,
CHEMBL297453,IC50,214000.0,nM,
CHEMBL103,IC50,224600.0,nM,
CHEMBL83,IC50,23300.0,nM,
CHEMBL428647,IC50,26800.0,nM,
CHEMBL472,IC50,260100.0,nM,
CHEMBL1292,IC50,28700.0,nM,
CHEMBL428647,IC50,28900.0,nM,
CHEMBL71,IC50,30900.0,nM,
CHEMBL71,IC50,33500.0,nM,
CHEMBL159,IC50,62000.0,nM,
CHEMBL157101,IC50,65400.0,nM,
CHEMBL408,IC50,66400.0,nM,
CHEMBL223643,IC50,7200.0,nM,
CHEMBL160,IC50,7500.0,nM,
CHEMBL160,IC50,7800.0,nM,
CHEMBL6966,IC50,79100.0,nM,
CHEMBL411070,Ki,11000.0,nM,
CHEMBL472,Ki,27500.0,nM,
CHEMBL185878,Ki,28000.0,nM,
CHEMBL437765,Ki,31000.0,nM,
CHEMBL1552,Ki,7000.0,nM,
CHEMBL160,Ki,9500.0,nM,
CHEMBL3099716,IC50,11000.0,nM,
CHEMBL1651956,IC50,110.0,nM,
CHEMBL3344501,IC50,1600.0,nM,
CHEMBL372795,IC50,1000000.0,nM,
CHEMBL1364,IC50,1000000.0,nM,
CHEMBL976,IC50,96800.0,nM,
CHEMBL6995,IC50,1000000.0,nM,
CHEMBL1159,IC50,348100.0,nM,
CHEMBL1257015,IC50,441000.0,nM,
CHEMBL94,IC50,1000000.0,nM,
CHEMBL673,IC50,1000000.0,nM,
CHEMBL1411979,IC50,1000000.0,nM,
CHEMBL534,IC50,738400.0,nM,
CHEMBL434,IC50,1000000.0,nM,
CHEMBL407,IC50,1000000.0,nM,
CHEMBL59,IC50,1000000.0,nM,
CHEMBL502,IC50,205700.0,nM,
CHEMBL384467,IC50,137400.0,nM,
CHEMBL771,IC50,1000000.0,nM,
CHEMBL428880,IC50,1000000.0,nM,
CHEMBL1159650,IC50,8500.0,nM,
CHEMBL49,IC50,104500.0,nM,
CHEMBL95889,IC50,1000000.0,nM,
CHEMBL1082,IC50,1000000.0,nM,
CHEMBL93,IC50,1000000.0,nM,
CHEMBL1324,IC50,119600.0,nM,
CHEMBL95,IC50,1000000.0,nM,
CHEMBL424,IC50,1000000.0,nM,
CHEMBL27,IC50,1000000.0,nM,
CHEMBL897,IC50,564800.0,nM,
CHEMBL459,IC50,1000000.0,nM,
CHEMBL34259,IC50,1000000.0,nM,
CHEMBL5315124,IC50,1000000.0,nM,
CHEMBL960,IC50,177400.0,nM,
CHEMBL64,IC50,1000000.0,nM,
CHEMBL427216,IC50,1000000.0,nM,
CHEMBL146095,IC50,22300.0,nM,
CHEMBL35,IC50,1000000.0,nM,
CHEMBL271475,IC50,1000000.0,nM,
CHEMBL1094,IC50,1000000.0,nM,
CHEMBL35505,IC50,1000000.0,nM,
CHEMBL348000,IC50,695300.0,nM,
CHEMBL513,IC50,1000000.0,nM,
CHEMBL54349,IC50,9200.0,nM,
CHEMBL184,IC50,1000000.0,nM,
CHEMBL112,IC50,1000000.0,nM,
