molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL15177,IC50,10000.0,nM,
CHEMBL510556,IC50,21500.0,nM,
CHEMBL160,IC50,13600.0,nM,
CHEMBL89768,IC50,20700.0,nM,
CHEMBL6,IC50,235000.0,nM,
CHEMBL6966,IC50,200000.0,nM,
CHEMBL452312,IC50,200000.0,nM,
CHEMBL488910,IC50,50000.0,nM,
CHEMBL495936,IC50,150.0,nM,
CHEMBL15177,IC50,1000.0,nM,
CHEMBL500094,IC50,50000.0,nM,
CHEMBL456361,IC50,20000.0,nM,
CHEMBL501349,IC50,50000.0,nM,
CHEMBL457439,IC50,20000.0,nM,
CHEMBL455275,IC50,,,
CHEMBL506278,IC50,,,
CHEMBL502503,IC50,20000.0,nM,
CHEMBL164,IC50,22000.0,nM,
CHEMBL90568,IC50,50000.0,nM,
CHEMBL214321,IC50,50000.0,nM,
CHEMBL308954,IC50,7800.0,nM,
CHEMBL2013174,IC50,12000.0,nM,
CHEMBL2074720,IC50,280.0,nM,
CHEMBL3038248,IC50,400.0,nM,
CHEMBL333687,IC50,15000.0,nM,
CHEMBL1201391,IC50,,,
CHEMBL1201373,IC50,,,
CHEMBL1790017,IC50,,,
CHEMBL1144,IC50,,,
CHEMBL503,IC50,,,
CHEMBL2074730,Ki,,,
CHEMBL1294,Ki,,,
CHEMBL6966,Ki,,,
CHEMBL1200633,IC50,18000.0,nM,
CHEMBL159,IC50,21000.0,nM,
CHEMBL1064,IC50,25000.0,nM,
CHEMBL495936,IC50,3300.0,nM,
CHEMBL15177,IC50,4000.0,nM,
CHEMBL589366,IC50,58000.0,nM,
CHEMBL15177,Ki,13100.0,nM,
CHEMBL160,Ki,21000.0,nM,
CHEMBL15177,Ki,26400.0,nM,
CHEMBL1086218,Ki,28900.0,nM,
CHEMBL772,Ki,295000.0,nM,
CHEMBL2074650,Ki,3700.0,nM,
CHEMBL160,Ki,4700.0,nM,
CHEMBL897,Ki,42200.0,nM,
CHEMBL178,Ki,49400.0,nM,
CHEMBL44657,Ki,756000.0,nM,
CHEMBL160,Ki,8110.0,nM,
CHEMBL90555,Ki,802000.0,nM,
CHEMBL553,IC50,10000.0,nM,
CHEMBL1923433,EC50,145000.0,nM,
CHEMBL3314525,EC50,71000.0,nM,
CHEMBL3314564,EC50,200000.0,nM,
CHEMBL3314565,EC50,200000.0,nM,
CHEMBL3314567,EC50,200000.0,nM,
CHEMBL3314576,EC50,140000.0,nM,
CHEMBL1923433,IC50,200000.0,nM,
CHEMBL3314525,IC50,200000.0,nM,
CHEMBL3314564,IC50,100000.0,nM,
CHEMBL3314565,IC50,59000.0,nM,
CHEMBL3314567,IC50,200000.0,nM,
CHEMBL3314576,IC50,200000.0,nM,
CHEMBL1651956,IC50,18000.0,nM,
CHEMBL3344501,IC50,140000.0,nM,
CHEMBL487805,IC50,75000.0,nM,
CHEMBL3542370,IC50,50000.0,nM,
CHEMBL1229211,IC50,90000.0,nM,
CHEMBL1229211,IC50,100000.0,nM,
CHEMBL3704745,IC50,16000.0,nM,
CHEMBL3704747,IC50,50000.0,nM,
CHEMBL3704747,IC50,50000.0,nM,
CHEMBL386389,IC50,4100.0,nM,
CHEMBL386389,IC50,3100.0,nM,
CHEMBL3704745,IC50,50000.0,nM,
CHEMBL160,IC50,20000.0,nM,
CHEMBL160,IC50,25600.0,nM,
CHEMBL3928271,IC50,15800.0,nM,
CHEMBL3948408,IC50,15400.0,nM,
CHEMBL3914655,IC50,17800.0,nM,
CHEMBL3921707,IC50,4500.0,nM,
CHEMBL3964042,IC50,7300.0,nM,
CHEMBL3263915,IC50,6300.0,nM,
CHEMBL3974624,IC50,4100.0,nM,
CHEMBL3259861,IC50,13900.0,nM,
CHEMBL3263913,IC50,11400.0,nM,
CHEMBL3263916,IC50,4800.0,nM,
CHEMBL3263914,IC50,4500.0,nM,
CHEMBL3263909,IC50,17500.0,nM,
CHEMBL3263910,IC50,14400.0,nM,
CHEMBL3263907,IC50,12200.0,nM,
CHEMBL3263904,IC50,10600.0,nM,
CHEMBL3263906,IC50,10500.0,nM,
CHEMBL3945493,IC50,8200.0,nM,
CHEMBL3263569,IC50,9000.0,nM,
CHEMBL3263570,IC50,11100.0,nM,
CHEMBL1200963,IC50,133000.0,nM,
CHEMBL846,IC50,133000.0,nM,
CHEMBL4064157,IC50,133000.0,nM,
CHEMBL1370,IC50,133000.0,nM,
CHEMBL1200792,IC50,133000.0,nM,
CHEMBL296419,IC50,133000.0,nM,
CHEMBL717,IC50,133000.0,nM,
CHEMBL1231,IC50,133000.0,nM,
CHEMBL1480,IC50,133000.0,nM,
CHEMBL772,IC50,68400.0,nM,
CHEMBL998,IC50,133000.0,nM,
CHEMBL1200969,IC50,133000.0,nM,
CHEMBL1051,IC50,133000.0,nM,
CHEMBL1726,IC50,133000.0,nM,
CHEMBL1200686,IC50,133000.0,nM,
CHEMBL1648,IC50,133000.0,nM,
CHEMBL1064,IC50,133000.0,nM,
CHEMBL655,IC50,,,
CHEMBL14376,IC50,133000.0,nM,
CHEMBL1201155,IC50,133000.0,nM,
CHEMBL503,IC50,133000.0,nM,
CHEMBL4091490,IC50,133000.0,nM,
CHEMBL922,IC50,133000.0,nM,
CHEMBL1272,IC50,72300.0,nM,
CHEMBL393220,IC50,133000.0,nM,
CHEMBL269732,IC50,40300.0,nM,
CHEMBL710,IC50,133000.0,nM,
CHEMBL1200561,IC50,133000.0,nM,
CHEMBL1201729,IC50,133000.0,nM,
CHEMBL506,IC50,133000.0,nM,
CHEMBL193,IC50,133000.0,nM,
CHEMBL1138,IC50,133000.0,nM,
CHEMBL1017,IC50,133000.0,nM,
CHEMBL444633,IC50,49800.0,nM,
CHEMBL1484,IC50,133000.0,nM,
CHEMBL1421,IC50,133000.0,nM,
CHEMBL1503,IC50,133000.0,nM,
CHEMBL502,IC50,133000.0,nM,
CHEMBL1096885,IC50,64000.0,nM,
CHEMBL1292,IC50,10400.0,nM,
CHEMBL2103735,IC50,133000.0,nM,
CHEMBL1908360,IC50,11300.0,nM,
CHEMBL1256688,IC50,133000.0,nM,
CHEMBL64391,IC50,133000.0,nM,
CHEMBL939,IC50,133000.0,nM,
CHEMBL1201016,IC50,133000.0,nM,
CHEMBL56337,IC50,84400.0,nM,
CHEMBL255044,IC50,133000.0,nM,
CHEMBL1164729,IC50,133000.0,nM,
CHEMBL1479,IC50,133000.0,nM,
CHEMBL603,IC50,58800.0,nM,
CHEMBL551978,IC50,133000.0,nM,
CHEMBL1201182,IC50,17600.0,nM,
CHEMBL633,IC50,133000.0,nM,
CHEMBL953,IC50,133000.0,nM,
CHEMBL1200930,IC50,133000.0,nM,
CHEMBL1200788,IC50,133000.0,nM,
CHEMBL547,IC50,133000.0,nM,
CHEMBL344159,IC50,133000.0,nM,
CHEMBL1201139,IC50,133000.0,nM,
CHEMBL976,IC50,133000.0,nM,
CHEMBL116,IC50,133000.0,nM,
CHEMBL623,IC50,133000.0,nM,
CHEMBL388590,IC50,41600.0,nM,
CHEMBL21333,IC50,133000.0,nM,
CHEMBL374478,IC50,53000.0,nM,
CHEMBL92,IC50,133000.0,nM,
CHEMBL941,IC50,133000.0,nM,
CHEMBL1136,IC50,133000.0,nM,
CHEMBL114,IC50,133000.0,nM,
CHEMBL409,IC50,133000.0,nM,
CHEMBL115,IC50,133000.0,nM,
CHEMBL415324,IC50,133000.0,nM,
CHEMBL932,IC50,133000.0,nM,
CHEMBL157101,IC50,133000.0,nM,
CHEMBL565,IC50,133000.0,nM,
CHEMBL729,IC50,133000.0,nM,
CHEMBL1076241,IC50,133000.0,nM,
CHEMBL160,IC50,14500.0,nM,
CHEMBL1660,IC50,16300.0,nM,
CHEMBL893,IC50,133000.0,nM,
CHEMBL1397,IC50,133000.0,nM,
CHEMBL584,IC50,133000.0,nM,
CHEMBL1200480,IC50,133000.0,nM,
CHEMBL428647,IC50,133000.0,nM,
CHEMBL672,IC50,133000.0,nM,
CHEMBL550348,IC50,133000.0,nM,
CHEMBL1276308,IC50,133000.0,nM,
CHEMBL15177,IC50,133000.0,nM,
CHEMBL477772,IC50,133000.0,nM,
CHEMBL163,IC50,133000.0,nM,
CHEMBL374975,IC50,133000.0,nM,
CHEMBL1456,IC50,133000.0,nM,
CHEMBL223643,IC50,133000.0,nM,
