molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL495936,Km,260.0,nM,
CHEMBL2074720,Km,700.0,nM,
CHEMBL3038248,Km,900.0,nM,
CHEMBL159,Km,137300.0,nM,
CHEMBL2074599,Km,14100.0,nM,
CHEMBL213947,Km,16900.0,nM,
CHEMBL213947,Km,193000.0,nM,
CHEMBL495936,Km,1000.0,nM,
CHEMBL2074825,Km,35100.0,nM,
CHEMBL44657,Km,616540.0,nM,
CHEMBL1697724,Km,7200.0,nM,
CHEMBL213947,Km,70000.0,nM,
CHEMBL463,Km,880000.0,nM,
CHEMBL1697724,Km,9400.0,nM,
CHEMBL4548482,Vmax,1230.0,pmol/min,
CHEMBL4548482,Km,97000.0,nM,
