molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL2216768,IC50,50000.0,nM,
CHEMBL2216771,IC50,160.0,nM,
CHEMBL129918,IC50,60300.0,nM,
CHEMBL2216785,IC50,85300.0,nM,
CHEMBL1231506,IC50,5400.0,nM,
CHEMBL1231507,IC50,21700.0,nM,
CHEMBL2114397,IC50,100000.0,nM,
CHEMBL1232077,IC50,100000.0,nM,
CHEMBL633,IC50,100000.0,nM,
CHEMBL75880,IC50,100000.0,nM,
CHEMBL203266,IC50,100000.0,nM,
CHEMBL2216775,IC50,100000.0,nM,
CHEMBL2216774,IC50,100000.0,nM,
CHEMBL2216776,IC50,100000.0,nM,
CHEMBL2216777,IC50,3500.0,nM,
CHEMBL2216778,IC50,3400.0,nM,
CHEMBL2216779,IC50,100000.0,nM,
CHEMBL2216780,IC50,6400.0,nM,
CHEMBL129918,IC50,510000.0,nM,
CHEMBL129918,IC50,11000.0,nM,
CHEMBL2216769,IC50,360.0,nM,
CHEMBL3431513,IC50,100000.0,nM,
CHEMBL121,IC50,100000.0,nM,
CHEMBL595,IC50,100000.0,nM,
CHEMBL3431514,IC50,226.05,nM,
CHEMBL3431515,IC50,100000.0,nM,
CHEMBL3431516,IC50,100000.0,nM,
CHEMBL3431517,IC50,93559.5,nM,
CHEMBL3431518,IC50,4934.0,nM,
CHEMBL3431519,IC50,100000.0,nM,
CHEMBL3431520,IC50,30188.8,nM,
CHEMBL3431521,IC50,53139.8,nM,
CHEMBL3431522,IC50,100000.0,nM,
CHEMBL3431523,IC50,100000.0,nM,
CHEMBL3431524,IC50,72293.2,nM,
CHEMBL3431525,IC50,100000.0,nM,
CHEMBL3431526,IC50,100000.0,nM,
CHEMBL2216779,IC50,100000.0,nM,
CHEMBL3431527,IC50,100000.0,nM,
CHEMBL3431528,IC50,100000.0,nM,
CHEMBL3431529,IC50,100000.0,nM,
CHEMBL3431530,IC50,100000.0,nM,
CHEMBL3431531,IC50,100000.0,nM,
CHEMBL3431532,IC50,628.3,nM,
CHEMBL3431533,IC50,674.25,nM,
CHEMBL3431534,IC50,100000.0,nM,
CHEMBL3431535,IC50,5934.5,nM,
CHEMBL3431460,IC50,100000.0,nM,
CHEMBL3431536,IC50,14767.6,nM,
CHEMBL3431537,IC50,13165.4,nM,
CHEMBL3431538,IC50,26782.3,nM,
CHEMBL3431539,IC50,100000.0,nM,
CHEMBL3431540,IC50,27609.3,nM,
CHEMBL3431541,IC50,45135.1,nM,
CHEMBL3431542,IC50,100000.0,nM,
CHEMBL3431543,IC50,8510.4,nM,
CHEMBL3431544,IC50,133.95,nM,
CHEMBL3431545,IC50,100000.0,nM,
CHEMBL3431546,IC50,42198.7,nM,
CHEMBL3431547,IC50,4073.3,nM,
CHEMBL3431548,IC50,989.0,nM,
CHEMBL3431549,IC50,754.7,nM,
CHEMBL3431550,IC50,3829.7,nM,
CHEMBL3431551,IC50,5181.8,nM,
CHEMBL3431552,IC50,3020.4,nM,
CHEMBL3431553,IC50,19623.8,nM,
CHEMBL3431554,IC50,8995.9,nM,
CHEMBL3431555,IC50,100000.0,nM,
CHEMBL3431556,IC50,100000.0,nM,
CHEMBL3431557,IC50,100000.0,nM,
CHEMBL3431558,IC50,100000.0,nM,
CHEMBL3431559,IC50,100000.0,nM,
CHEMBL3431560,IC50,100000.0,nM,
CHEMBL3431561,IC50,100000.0,nM,
CHEMBL3431562,IC50,100000.0,nM,
CHEMBL3431563,IC50,100000.0,nM,
CHEMBL3431564,IC50,4380.9,nM,
CHEMBL3431565,IC50,100000.0,nM,
CHEMBL3431566,IC50,100000.0,nM,
CHEMBL3431567,IC50,100000.0,nM,
CHEMBL3431568,IC50,100000.0,nM,
CHEMBL3431569,IC50,100000.0,nM,
CHEMBL3431570,IC50,100000.0,nM,
CHEMBL3431571,IC50,100000.0,nM,
CHEMBL3431572,IC50,100000.0,nM,
CHEMBL3431573,IC50,1799.2,nM,
CHEMBL3431574,IC50,3583.3,nM,
CHEMBL3431575,IC50,82168.5,nM,
CHEMBL3431576,IC50,11773.0,nM,
CHEMBL3431577,IC50,22589.3,nM,
CHEMBL3431578,IC50,100000.0,nM,
CHEMBL3431579,IC50,100000.0,nM,
CHEMBL3431580,IC50,6171.0,nM,
CHEMBL3431581,IC50,100000.0,nM,
CHEMBL3431582,IC50,96967.3,nM,
CHEMBL3431583,IC50,100000.0,nM,
CHEMBL3431584,IC50,100000.0,nM,
CHEMBL3431585,IC50,5493.2,nM,
CHEMBL3431586,IC50,51797.1,nM,
CHEMBL3431587,IC50,2278.7,nM,
CHEMBL3431588,IC50,100000.0,nM,
CHEMBL3431589,IC50,100000.0,nM,
CHEMBL3431590,IC50,100000.0,nM,
CHEMBL3431591,IC50,100000.0,nM,
CHEMBL3431592,IC50,100000.0,nM,
CHEMBL3431593,IC50,39170.1,nM,
CHEMBL3431594,IC50,100000.0,nM,
CHEMBL3431595,IC50,2076.5,nM,
CHEMBL3431596,IC50,14479.7,nM,
CHEMBL3431597,IC50,100000.0,nM,
CHEMBL3431598,IC50,100000.0,nM,
CHEMBL3431599,IC50,100000.0,nM,
CHEMBL3431600,IC50,100000.0,nM,
CHEMBL3431601,IC50,747.9,nM,
CHEMBL3431602,IC50,3679.6,nM,
CHEMBL3431603,IC50,6919.1,nM,
CHEMBL3431604,IC50,2713.5,nM,
CHEMBL3431605,IC50,5460.5,nM,
CHEMBL3431606,IC50,3531.1,nM,
CHEMBL3431607,IC50,100000.0,nM,
CHEMBL3431608,IC50,30617.5,nM,
CHEMBL3431609,IC50,100000.0,nM,
CHEMBL3431610,IC50,6416.0,nM,
CHEMBL3431611,IC50,100000.0,nM,
CHEMBL3431612,IC50,9100.1,nM,
CHEMBL3431613,IC50,3014.1,nM,
CHEMBL3431614,IC50,100000.0,nM,
CHEMBL3431615,IC50,100000.0,nM,
CHEMBL3431616,IC50,100000.0,nM,
CHEMBL3431617,IC50,100000.0,nM,
CHEMBL3431618,IC50,100000.0,nM,
CHEMBL3431619,IC50,100000.0,nM,
CHEMBL3431620,IC50,38987.5,nM,
CHEMBL3431894,IC50,28991.4,nM,
CHEMBL3431895,IC50,17638.9,nM,
CHEMBL3431896,IC50,4933.4,nM,
CHEMBL3431897,IC50,2727.5,nM,
CHEMBL3431898,IC50,1176.5,nM,
CHEMBL3431899,IC50,1310.1,nM,
CHEMBL3431900,IC50,2238.6,nM,
CHEMBL3431901,IC50,45928.5,nM,
CHEMBL3431902,IC50,100000.0,nM,
CHEMBL3431903,IC50,100000.0,nM,
CHEMBL3431904,IC50,100000.0,nM,
CHEMBL3431905,IC50,100000.0,nM,
CHEMBL3431906,IC50,100000.0,nM,
CHEMBL3431907,IC50,2523.8,nM,
CHEMBL3431908,IC50,100000.0,nM,
CHEMBL3431909,IC50,2318.1,nM,
CHEMBL3431910,IC50,100000.0,nM,
CHEMBL3431911,IC50,100000.0,nM,
CHEMBL3431912,IC50,4559.6,nM,
CHEMBL3431913,IC50,5105.2,nM,
CHEMBL3431914,IC50,2610.9,nM,
CHEMBL3431915,IC50,21106.1,nM,
CHEMBL3431916,IC50,35880.4,nM,
CHEMBL3431917,IC50,100000.0,nM,
CHEMBL3431918,IC50,100000.0,nM,
CHEMBL3431919,IC50,527.9,nM,
CHEMBL3431464,IC50,100000.0,nM,
CHEMBL3431465,IC50,100000.0,nM,
CHEMBL3431466,IC50,100000.0,nM,
CHEMBL3431467,IC50,100000.0,nM,
CHEMBL3431468,IC50,100000.0,nM,
CHEMBL3431469,IC50,100000.0,nM,
CHEMBL3431470,IC50,661.2,nM,
CHEMBL3431471,IC50,504.35,nM,
CHEMBL3431472,IC50,100000.0,nM,
CHEMBL3431473,IC50,100000.0,nM,
CHEMBL3431474,IC50,100000.0,nM,
CHEMBL3431475,IC50,100000.0,nM,
CHEMBL3431476,IC50,100000.0,nM,
CHEMBL3431477,IC50,100000.0,nM,
CHEMBL3431478,IC50,1961.7,nM,
CHEMBL3431479,IC50,22663.9,nM,
CHEMBL3431480,IC50,63815.2,nM,
CHEMBL3431481,IC50,100000.0,nM,
CHEMBL3431482,IC50,100000.0,nM,
CHEMBL3431483,IC50,100000.0,nM,
CHEMBL3431484,IC50,100000.0,nM,
CHEMBL3431485,IC50,100000.0,nM,
CHEMBL3431486,IC50,100000.0,nM,
CHEMBL3431487,IC50,100000.0,nM,
CHEMBL3431488,IC50,100000.0,nM,
CHEMBL3431489,IC50,100000.0,nM,
CHEMBL3431490,IC50,100000.0,nM,
CHEMBL3431491,IC50,100000.0,nM,
CHEMBL3431492,IC50,100000.0,nM,
CHEMBL3431493,IC50,100000.0,nM,
CHEMBL3431494,IC50,100000.0,nM,
CHEMBL3431495,IC50,100000.0,nM,
CHEMBL3431496,IC50,100000.0,nM,
CHEMBL3431497,IC50,100000.0,nM,
CHEMBL3431498,IC50,1415.7,nM,
CHEMBL3431499,IC50,6778.2,nM,
CHEMBL3431500,IC50,100000.0,nM,
CHEMBL3431501,IC50,100000.0,nM,
CHEMBL3431502,IC50,100000.0,nM,
CHEMBL3431503,IC50,33143.6,nM,
CHEMBL3431504,IC50,100000.0,nM,
CHEMBL3431505,IC50,100000.0,nM,
CHEMBL3431506,IC50,6239.8,nM,
CHEMBL3431507,IC50,1010.8,nM,
CHEMBL3431508,IC50,100000.0,nM,
CHEMBL3431509,IC50,100000.0,nM,
CHEMBL3431510,IC50,100000.0,nM,
CHEMBL3431511,IC50,750.4,nM,
CHEMBL3431512,IC50,741.3,nM,
CHEMBL3431621,IC50,613.8,nM,
CHEMBL3431622,IC50,552.9,nM,
CHEMBL3431623,IC50,792.4,nM,
CHEMBL3431624,IC50,991.7,nM,
CHEMBL3431625,IC50,32441.2,nM,
CHEMBL3431626,IC50,2126.9,nM,
CHEMBL3431627,IC50,1305.7,nM,
CHEMBL3431628,IC50,2650.2,nM,
CHEMBL3431629,IC50,26498.2,nM,
CHEMBL3431630,IC50,100000.0,nM,
CHEMBL3431631,IC50,100000.0,nM,
CHEMBL3431632,IC50,535.2,nM,
CHEMBL3431633,IC50,2173.9,nM,
CHEMBL3431634,IC50,235.3,nM,
CHEMBL3431461,IC50,202.0,nM,
CHEMBL3431635,IC50,827.2,nM,
CHEMBL3431636,IC50,100000.0,nM,
CHEMBL3431637,IC50,100000.0,nM,
CHEMBL3431638,IC50,423.3,nM,
CHEMBL3431639,IC50,10351.0,nM,
CHEMBL3431640,IC50,43423.1,nM,
CHEMBL3431641,IC50,1132.8,nM,
CHEMBL3431642,IC50,920.0,nM,
CHEMBL3431643,IC50,35530.7,nM,
CHEMBL3431644,IC50,100000.0,nM,
CHEMBL3431645,IC50,100000.0,nM,
CHEMBL3431646,IC50,1723.9,nM,
CHEMBL3431647,IC50,38567.25,nM,
CHEMBL3431648,IC50,3282.1,nM,
CHEMBL3431649,IC50,1378.2,nM,
CHEMBL3431650,IC50,29695.6,nM,
CHEMBL3431651,IC50,72922.8,nM,
CHEMBL3431652,IC50,100000.0,nM,
CHEMBL3431653,IC50,100000.0,nM,
CHEMBL3431654,IC50,78141.5,nM,
CHEMBL3431655,IC50,80804.6,nM,
CHEMBL3431656,IC50,100000.0,nM,
CHEMBL3431657,IC50,100000.0,nM,
CHEMBL3431658,IC50,100000.0,nM,
CHEMBL3431659,IC50,17226.5,nM,
CHEMBL3431660,IC50,100000.0,nM,
CHEMBL3431661,IC50,932.4,nM,
CHEMBL3431662,IC50,9618.6,nM,
CHEMBL3431663,IC50,94175.5,nM,
CHEMBL3431664,IC50,100000.0,nM,
CHEMBL3431665,IC50,100000.0,nM,
CHEMBL3431666,IC50,100000.0,nM,
CHEMBL3431667,IC50,7621.9,nM,
CHEMBL3431668,IC50,1221.7,nM,
CHEMBL3431669,IC50,1871.0,nM,
CHEMBL3431670,IC50,100000.0,nM,
CHEMBL3431671,IC50,2327.3,nM,
CHEMBL3431672,IC50,100000.0,nM,
CHEMBL3431673,IC50,100000.0,nM,
CHEMBL3431674,IC50,100000.0,nM,
CHEMBL3431675,IC50,100000.0,nM,
CHEMBL3431676,IC50,2146.2,nM,
CHEMBL3431677,IC50,1080.6,nM,
CHEMBL3431678,IC50,618.1,nM,
CHEMBL3431679,IC50,797.3,nM,
CHEMBL3431680,IC50,1824.2,nM,
CHEMBL3431681,IC50,2210.7,nM,
CHEMBL3431682,IC50,1536.4,nM,
CHEMBL3431683,IC50,100000.0,nM,
CHEMBL3431684,IC50,100000.0,nM,
CHEMBL3431685,IC50,438.6,nM,
CHEMBL3431686,IC50,949.7,nM,
CHEMBL3431687,IC50,1347.4,nM,
CHEMBL3431688,IC50,100000.0,nM,
CHEMBL3431689,IC50,2209.9,nM,
CHEMBL3431690,IC50,6789.0,nM,
CHEMBL3431691,IC50,4500.5,nM,
CHEMBL3431692,IC50,100000.0,nM,
CHEMBL3431693,IC50,100000.0,nM,
CHEMBL3431694,IC50,100000.0,nM,
CHEMBL3431695,IC50,100000.0,nM,
CHEMBL3431696,IC50,100000.0,nM,
CHEMBL3431697,IC50,100000.0,nM,
CHEMBL3431698,IC50,100000.0,nM,
CHEMBL3431699,IC50,100000.0,nM,
CHEMBL3431700,IC50,100000.0,nM,
CHEMBL3431701,IC50,100000.0,nM,
CHEMBL3431702,IC50,100000.0,nM,
CHEMBL3431703,IC50,100000.0,nM,
CHEMBL3431704,IC50,27321.8,nM,
CHEMBL3431705,IC50,100000.0,nM,
CHEMBL3431706,IC50,100000.0,nM,
CHEMBL3431707,IC50,100000.0,nM,
CHEMBL3431708,IC50,100000.0,nM,
CHEMBL3431709,IC50,100000.0,nM,
CHEMBL3431710,IC50,9884.3,nM,
CHEMBL3431711,IC50,2414.7,nM,
CHEMBL3431712,IC50,2474.4,nM,
CHEMBL3431713,IC50,100000.0,nM,
CHEMBL3431714,IC50,100000.0,nM,
CHEMBL3431715,IC50,100000.0,nM,
CHEMBL3431716,IC50,100000.0,nM,
CHEMBL3431717,IC50,3652.8,nM,
CHEMBL3431718,IC50,2289.4,nM,
CHEMBL3431719,IC50,3173.9,nM,
CHEMBL3431720,IC50,2327.2,nM,
CHEMBL3431721,IC50,843.7,nM,
CHEMBL3431722,IC50,145.3,nM,
CHEMBL3431723,IC50,7310.2,nM,
CHEMBL3431724,IC50,634.1,nM,
CHEMBL3431725,IC50,27748.3,nM,
CHEMBL3431726,IC50,13009.9,nM,
CHEMBL3431727,IC50,1200.7,nM,
CHEMBL3431728,IC50,490.7,nM,
CHEMBL3431729,IC50,78979.8,nM,
CHEMBL3431730,IC50,100000.0,nM,
CHEMBL3431731,IC50,100000.0,nM,
CHEMBL3431732,IC50,100000.0,nM,
CHEMBL3431733,IC50,100000.0,nM,
CHEMBL3431462,IC50,100000.0,nM,
CHEMBL3431734,IC50,100000.0,nM,
CHEMBL3431735,IC50,100000.0,nM,
CHEMBL3431736,IC50,100000.0,nM,
CHEMBL3431737,IC50,100000.0,nM,
CHEMBL3431738,IC50,100000.0,nM,
CHEMBL3431739,IC50,100000.0,nM,
