molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL202376,Km,200000.0,nM,
CHEMBL386630,Km,20500.0,nM,
CHEMBL386630,Vmax,30.3,nmol/min,
CHEMBL63970,Km,1930.0,nM,
CHEMBL63970,Vmax,1.48,nmol/min,
CHEMBL1630842,Km,377.2,ng/ml,
CHEMBL2152010,Kcat,4.9,/min,
CHEMBL2152011,Kcat,27.9,/min,
CHEMBL2152012,Kcat,8.3,/min,
CHEMBL2152013,Kcat,41.0,/min,
CHEMBL2152014,Kcat,3.1,/min,
CHEMBL2152015,Kcat,13.1,/min,
CHEMBL463976,Kcat,13.7,/min,
CHEMBL2152016,Kcat,7.39,/min,
CHEMBL2152017,Kcat,5.7,/min,
CHEMBL2152018,Kcat,10.5,/min,
CHEMBL513115,Kcat,9.5,/min,
CHEMBL2152019,Kcat,37.4,/min,
CHEMBL2152020,Kcat,5.36,/min,
CHEMBL2152021,Kcat,30.8,/min,
CHEMBL2152022,Kcat,8.9,/min,
CHEMBL2152023,Kcat,26.0,/min,
CHEMBL2152024,Kcat,8.7,/min,
CHEMBL2152025,Kcat,9.6,/min,
CHEMBL2152026,Kcat,10.6,/min,
CHEMBL2151049,Kcat,12.8,/min,
CHEMBL2152010,Kcat,4.2,/min,
CHEMBL2152014,Kcat,1.8,/min,
CHEMBL2152010,Kcat,0.72,/min,
CHEMBL2152011,Kcat,0.0,/min,
CHEMBL2152012,Kcat,3.7,/min,
CHEMBL2152013,Kcat,5.8,/min,
CHEMBL2152011,Kcat,27.9,/min,
CHEMBL2152015,Kcat,13.1,/min,
CHEMBL2152012,Kcat,4.7,/min,
CHEMBL2152014,Kcat,1.3,/min,
CHEMBL2152015,Kcat,0.0,/min,
CHEMBL463976,Kcat,5.9,/min,
CHEMBL2152016,Kcat,1.37,/min,
CHEMBL2152013,Kcat,34.8,/min,
CHEMBL2152016,Kcat,6.0,/min,
CHEMBL463976,Kcat,7.8,/min,
CHEMBL2152010,Km,2200.0,nM,
CHEMBL2152011,Km,2900.0,nM,
CHEMBL2152012,Km,6500.0,nM,
CHEMBL2152013,Km,12000.0,nM,
CHEMBL2152014,Km,700.0,nM,
CHEMBL2152015,Km,1030.0,nM,
CHEMBL463976,Km,1130.0,nM,
CHEMBL2152016,Km,760.0,nM,
CHEMBL2152017,Km,2600.0,nM,
CHEMBL2152018,Km,10500.0,nM,
CHEMBL513115,Km,7100.0,nM,
CHEMBL2152019,Km,13000.0,nM,
CHEMBL2152020,Km,1600.0,nM,
CHEMBL2152021,Km,11100.0,nM,
CHEMBL2152022,Km,3600.0,nM,
CHEMBL2152023,Km,8000.0,nM,
CHEMBL2152024,Km,2600.0,nM,
CHEMBL2152025,Km,2800.0,nM,
CHEMBL2152026,Km,3300.0,nM,
CHEMBL2151049,Km,3200.0,nM,
CHEMBL2152010,Km,2300.0,nM,
