molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL1078442,Ki,20000.0,nM,
CHEMBL163,Ki,120.0,nM,
CHEMBL116,Ki,200.0,nM,
CHEMBL584,Ki,570.0,nM,
CHEMBL1298,Ki,4530.0,nM,
CHEMBL1951321,IC50,60000.0,nM,
CHEMBL1951322,IC50,6100.0,nM,
CHEMBL1951323,IC50,11400.0,nM,
CHEMBL1951324,IC50,52000.0,nM,
CHEMBL1951325,IC50,11400.0,nM,
CHEMBL1951326,IC50,44000.0,nM,
CHEMBL1951328,IC50,31500.0,nM,
CHEMBL1951335,IC50,20300.0,nM,
CHEMBL1951337,IC50,60000.0,nM,
CHEMBL1951338,IC50,8600.0,nM,
CHEMBL1951339,IC50,1600.0,nM,
CHEMBL1951341,IC50,6900.0,nM,
CHEMBL1951342,IC50,5500.0,nM,
CHEMBL1951343,IC50,60000.0,nM,
CHEMBL1951344,IC50,34000.0,nM,
CHEMBL1951346,IC50,60000.0,nM,
CHEMBL1951347,IC50,8100.0,nM,
CHEMBL1951348,IC50,44000.0,nM,
CHEMBL1951443,IC50,980.0,nM,
CHEMBL1951444,IC50,33000.0,nM,
CHEMBL1951445,IC50,21000.0,nM,
CHEMBL1951447,IC50,6800.0,nM,
CHEMBL1951448,IC50,13000.0,nM,
CHEMBL1956397,IC50,139000.0,nM,
CHEMBL1956397,IC50,159000.0,nM,
CHEMBL2043240,IC50,40000.0,nM,
CHEMBL2043240,IC50,32000.0,nM,
CHEMBL3261331,IC50,50000.0,nM,
CHEMBL2386285,IC50,723.0,nM,
CHEMBL3422028,IC50,556.0,nM,
CHEMBL2386285,Ki,829.0,nM,
CHEMBL3422028,Ki,855.0,nM,
CHEMBL3527048,IC50,17000.0,nM,
CHEMBL3527048,IC50,71000.0,nM,
CHEMBL3527048,Ki,2000.0,nM,
CHEMBL3527048,Ki,1200.0,nM,
CHEMBL554,Ki,37600.0,nM,
CHEMBL269732,Ki,2690.0,nM,
CHEMBL269732,IC50,140.0,nM,
CHEMBL269732,IC50,630.0,nM,
CHEMBL3605542,IC50,830.0,nM,
CHEMBL3605557,IC50,20000.0,nM,
CHEMBL3605558,IC50,20000.0,nM,
CHEMBL3623290,IC50,50.0,nM,
CHEMBL157101,IC50,120.0,nM,
CHEMBL4107005,IC50,10500.0,nM,
CHEMBL4106421,IC50,10500.0,nM,
CHEMBL157101,IC50,120.0,nM,
CHEMBL4068611,IC50,4900.0,nM,
CHEMBL4166742,IC50,100000.0,nM,
CHEMBL4210484,IC50,10000.0,nM,
CHEMBL4211012,IC50,10000.0,nM,
CHEMBL4206122,IC50,10000.0,nM,
CHEMBL4206639,IC50,10000.0,nM,
CHEMBL4218366,IC50,10000.0,nM,
