molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL1136,Ki,2.4,nM,
CHEMBL583299,Ki,24.0,nM,
CHEMBL583093,Ki,5.3,nM,
CHEMBL583091,Ki,5.6,nM,
CHEMBL583090,Ki,1.2,nM,
CHEMBL583298,Ki,25.0,nM,
CHEMBL638,IC50,2900.0,nM,
CHEMBL638,Ki,2970.0,nM,
CHEMBL638,Ki,660.0,nM,
CHEMBL1801160,IC50,100000.0,nM,
CHEMBL451887,IC50,17000.0,nM,
CHEMBL451887,IC50,10000.0,nM,
CHEMBL451887,IC50,490.0,nM,
CHEMBL451887,IC50,970.0,nM,
CHEMBL451887,Ki,11000.0,nM,
CHEMBL451887,Ki,11000.0,nM,
CHEMBL3542335,IC50,30000.0,nM,
CHEMBL3542335,IC50,1800.0,nM,
CHEMBL3527048,IC50,160.0,nM,
CHEMBL3527048,IC50,330.0,nM,
CHEMBL3527048,IC50,1400.0,nM,
CHEMBL269732,Ki,360.0,nM,
CHEMBL269732,Ki,610.0,nM,
CHEMBL269732,IC50,740.0,nM,
CHEMBL269732,IC50,940.0,nM,
CHEMBL160,Ki,980.0,nM,
CHEMBL160,IC50,1470.0,nM,
CHEMBL160,IC50,1240.0,nM,
CHEMBL3545367,IC50,20000.0,nM,
CHEMBL3935883,IC50,50000.0,nM,
CHEMBL4289811,IC50,25900.0,nM,
CHEMBL4471264,IC50,36600.0,nM,
CHEMBL4447583,IC50,62200.0,nM,
CHEMBL4447583,IC50,100000.0,nM,
