molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL4435025,IC50,10000.0,nM,
CHEMBL4524830,IC50,10000.0,nM,
CHEMBL4570428,IC50,25000.0,nM,
CHEMBL4554389,IC50,19952.62,nM,
CHEMBL4528928,IC50,25118.86,nM,
CHEMBL4533700,IC50,19952.62,nM,
CHEMBL4554158,IC50,19952.62,nM,
CHEMBL4439190,IC50,10000.0,nM,
CHEMBL4439259,IC50,30000.0,nM,
CHEMBL4577523,IC50,30000.0,nM,
CHEMBL3728620,IC50,40000.0,nM,
CHEMBL4515137,IC50,50000.0,nM,
CHEMBL4580214,IC50,40000.0,nM,
CHEMBL4636169,IC50,20000.0,nM,
CHEMBL4632688,IC50,20000.0,nM,
CHEMBL4647791,IC50,25000.0,nM,
CHEMBL4470860,IC50,25000.0,nM,
CHEMBL4644751,IC50,50000.0,nM,
CHEMBL4634904,IC50,10000.0,nM,
CHEMBL4065122,IC50,10000.0,nM,
CHEMBL347036,IC50,19000.0,nM,
CHEMBL4786690,IC50,15000.0,nM,
CHEMBL4800252,IC50,30000.0,nM,
CHEMBL5079623,IC50,100000.0,nM,
CHEMBL1956285,IC50,10.0,ug.mL-1,
CHEMBL2058833,IC50,6000.0,nM,
CHEMBL4288940,IC50,20000.0,nM,
CHEMBL2130955,IC50,4900.0,nM,
CHEMBL2130955,IC50,2800.0,nM,
CHEMBL2130955,IC50,1900.0,nM,
CHEMBL2130955,IC50,1100.0,nM,
CHEMBL5220590,IC50,100000.0,nM,
CHEMBL5199558,IC50,50000.0,nM,
CHEMBL5270581,IC50,20000.0,nM,
