molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL3360255,IC50,20000.0,nM,
CHEMBL3360256,IC50,20000.0,nM,
CHEMBL188279,IC50,5000.0,nM,
CHEMBL3360257,IC50,20000.0,nM,
CHEMBL3360258,IC50,20000.0,nM,
CHEMBL3360259,IC50,2500.0,nM,
CHEMBL3360260,IC50,20000.0,nM,
CHEMBL3360261,IC50,20000.0,nM,
CHEMBL3360262,IC50,20000.0,nM,
CHEMBL3360263,IC50,20000.0,nM,
CHEMBL3360264,IC50,20000.0,nM,
CHEMBL3360268,IC50,20000.0,nM,
CHEMBL3360267,IC50,5000.0,nM,
CHEMBL185823,IC50,8000.0,nM,
CHEMBL186268,IC50,8000.0,nM,
CHEMBL1530310,IC50,20000.0,nM,
CHEMBL3360266,IC50,20000.0,nM,
CHEMBL3360265,IC50,20000.0,nM,
CHEMBL2322452,IC50,20000.0,nM,
