molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL865,IC50,1100.0,nM,
CHEMBL254418,IC50,40.0,nM,
CHEMBL122,IC50,3000.0,nM,
CHEMBL118,IC50,540.0,nM,
CHEMBL6,IC50,610.0,nM,
CHEMBL4174786,IC50,100000.0,nM,
CHEMBL4166887,IC50,100000.0,nM,
CHEMBL4159654,IC50,100000.0,nM,
CHEMBL23588,IC50,100000.0,nM,
CHEMBL4238142,IC50,100000.0,nM,
CHEMBL4248154,IC50,100000.0,nM,
CHEMBL4245231,IC50,100000.0,nM,
CHEMBL4238730,IC50,100000.0,nM,
CHEMBL4238437,IC50,100000.0,nM,
CHEMBL4249427,IC50,100000.0,nM,
CHEMBL4249650,IC50,100000.0,nM,
CHEMBL4441570,IC50,513.0,nM,
CHEMBL4474644,IC50,915.0,nM,
CHEMBL4448990,IC50,367.0,nM,
CHEMBL118,IC50,293.0,nM,
CHEMBL122,IC50,20.0,nM,
CHEMBL4483707,IC50,66100.0,nM,
CHEMBL4795273,IC50,100000.0,nM,
CHEMBL6,IC50,70.0,nM,
CHEMBL139,IC50,10050.0,nM,
CHEMBL118,IC50,280.0,nM,
CHEMBL4754218,IC50,980.0,nM,
CHEMBL4742170,IC50,6290.0,nM,
CHEMBL4794507,IC50,2100.0,nM,
CHEMBL4779865,IC50,4230.0,nM,
CHEMBL4797337,IC50,8940.0,nM,
CHEMBL4756619,IC50,53470.0,nM,
CHEMBL4750799,IC50,63880.0,nM,
CHEMBL4779734,IC50,20730.0,nM,
CHEMBL4757410,IC50,21260.0,nM,
CHEMBL4777181,IC50,51350.0,nM,
CHEMBL4764720,IC50,39450.0,nM,
CHEMBL4776872,IC50,56580.0,nM,
CHEMBL4792260,IC50,21860.0,nM,
CHEMBL4800127,IC50,56490.0,nM,
CHEMBL4755427,IC50,113440.0,nM,
CHEMBL4746020,IC50,19980.0,nM,
CHEMBL4742772,IC50,45080.0,nM,
CHEMBL242459,IC50,,,
CHEMBL5081862,IC50,10000.0,nM,
CHEMBL5084744,IC50,10000.0,nM,
CHEMBL5093683,IC50,10000.0,nM,
CHEMBL5183049,Ki,94600.0,nM,
CHEMBL5187847,IC50,1400.0,nM,
CHEMBL5209304,IC50,16240.0,nM,
CHEMBL5198879,IC50,30000.0,nM,
CHEMBL5200862,IC50,30000.0,nM,
CHEMBL5208731,IC50,30000.0,nM,
CHEMBL5171583,IC50,30000.0,nM,
CHEMBL5202793,IC50,30000.0,nM,
CHEMBL5206236,IC50,1910.0,nM,
CHEMBL5183580,IC50,30000.0,nM,
CHEMBL5180877,IC50,30000.0,nM,
CHEMBL5189018,IC50,2310.0,nM,
CHEMBL5171524,IC50,3160.0,nM,
CHEMBL5199286,IC50,4370.0,nM,
CHEMBL5183520,IC50,3550.0,nM,
CHEMBL5188131,IC50,7370.0,nM,
CHEMBL5191274,IC50,8300.0,nM,
CHEMBL5206283,IC50,30000.0,nM,
CHEMBL5190248,IC50,30000.0,nM,
CHEMBL5176084,IC50,30000.0,nM,
CHEMBL5199367,IC50,6380.0,nM,
CHEMBL5201631,IC50,30000.0,nM,
CHEMBL121626,IC50,1170.0,nM,
CHEMBL5182136,IC50,8600.0,nM,
CHEMBL5176910,IC50,8600.0,nM,
CHEMBL5202541,IC50,8600.0,nM,
CHEMBL5196941,IC50,8600.0,nM,
CHEMBL5197349,IC50,8600.0,nM,
CHEMBL5185240,IC50,8600.0,nM,
CHEMBL5169638,IC50,8600.0,nM,
CHEMBL5200035,IC50,8600.0,nM,
CHEMBL5173797,IC50,11740.0,nM,
CHEMBL5207774,IC50,2010.0,nM,
CHEMBL5193223,IC50,12640.0,nM,
CHEMBL5179146,IC50,50000.0,nM,
CHEMBL5193981,IC50,490.0,nM,
CHEMBL5184694,IC50,4950.0,nM,
CHEMBL5178874,IC50,3010.0,nM,
CHEMBL5191175,IC50,5800.0,nM,
CHEMBL5173923,IC50,550.0,nM,
CHEMBL5186581,IC50,6790.0,nM,
CHEMBL5208621,IC50,5520.0,nM,
CHEMBL5191029,IC50,560.0,nM,
CHEMBL5199117,IC50,190.0,nM,
CHEMBL5171301,IC50,23090.0,nM,
CHEMBL5200100,IC50,20610.0,nM,
CHEMBL5198346,IC50,50000.0,nM,
CHEMBL5170886,IC50,50000.0,nM,
CHEMBL5192864,IC50,50000.0,nM,
CHEMBL5179343,IC50,9220.0,nM,
CHEMBL5207189,IC50,240.0,nM,
CHEMBL5170447,IC50,930.0,nM,
CHEMBL5087462,IC50,22730.0,nM,
CHEMBL121626,IC50,1410.0,nM,
CHEMBL65,IC50,,,
CHEMBL202132,IC50,,,
CHEMBL5197444,IC50,20700.0,nM,
CHEMBL441414,IC50,390.0,nM,
CHEMBL441414,IC50,300.0,nM,
CHEMBL441414,IC50,26.0,nM,
