molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL178011,Ki,17.0,nM,
CHEMBL178011,Ki,224.0,nM,
CHEMBL1790051,Ki,33.0,nM,
CHEMBL1790051,Ki,314.0,nM,
CHEMBL1790051,IC50,373.0,nM,
CHEMBL370805,Ki,32.0,nM,
CHEMBL370805,Ki,388.0,nM,
CHEMBL370805,IC50,405.0,nM,
CHEMBL611999,Ki,2280.0,nM,
CHEMBL611999,IC50,3890.0,nM,
CHEMBL120633,IC50,470.0,nM,
CHEMBL120633,IC50,717.0,nM,
CHEMBL120633,IC50,1161.0,nM,
CHEMBL333280,Ki,4140.0,nM,
CHEMBL120490,Ki,10.9,nM,
CHEMBL120269,Ki,8190.0,nM,
CHEMBL370805,Ki,231.0,nM,
CHEMBL333476,Ki,10650.0,nM,
CHEMBL120951,Ki,5700.0,nM,
CHEMBL118794,Ki,4350.0,nM,
CHEMBL331334,Ki,3650.0,nM,
CHEMBL435341,IC50,32.0,nM,
CHEMBL311347,Ki,0.48,nM,
CHEMBL174088,Ki,3.47,nM,
CHEMBL72,Ki,0.49,nM,
CHEMBL106939,Ki,1423.0,nM,
CHEMBL814,Ki,1.46,nM,
CHEMBL295467,Ki,30.0,nM,
CHEMBL14370,Ki,60.0,nM,
CHEMBL104673,Ki,2038.0,nM,
CHEMBL107077,Ki,2651.0,nM,
CHEMBL432394,Ki,115.0,nM,
CHEMBL173427,Ki,1.88,nM,
CHEMBL353333,Ki,0.12,nM,
CHEMBL173594,IC50,28.0,nM,
CHEMBL41,Kd,3600.0,nM,
CHEMBL555280,Kd,7260.0,nM,
CHEMBL540333,Kd,4310.0,nM,
CHEMBL623,Kd,360.0,nM,
CHEMBL641,Kd,1080.0,nM,
CHEMBL544633,Kd,42000.0,nM,
CHEMBL637,Kd,9300.0,nM,
CHEMBL539050,Kd,70.0,nM,
CHEMBL490,Kd,490.0,nM,
CHEMBL809,Kd,25.0,nM,
CHEMBL543925,Kd,340.0,nM,
CHEMBL542501,Kd,21400.0,nM,
CHEMBL539054,Kd,340.0,nM,
CHEMBL556025,Kd,12000.0,nM,
CHEMBL539564,Kd,140.0,nM,
CHEMBL306700,Kd,155.0,nM,
CHEMBL538053,Kd,3500.0,nM,
CHEMBL542746,Kd,24000.0,nM,
CHEMBL545557,Kd,27000.0,nM,
CHEMBL28376,IC50,377.0,nM,
CHEMBL28376,IC50,1190.0,nM,
CHEMBL28394,IC50,0.99,nM,
CHEMBL28394,IC50,0.36,nM,
CHEMBL28394,Ki,0.88,nM,
CHEMBL28394,Ki,0.22,nM,
CHEMBL27336,IC50,2.6,nM,
