molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL464810,Ki,15.96,nM,
CHEMBL473492,Ki,13.79,nM,
CHEMBL292374,Ki,99.49,nM,
CHEMBL512162,Ki,3.88,nM,
CHEMBL475103,Ki,134.23,nM,
CHEMBL517945,Ki,11.21,nM,
CHEMBL418509,Ki,0.7,nM,
CHEMBL475104,Ki,20.54,nM,
CHEMBL932,Ki,8.79,nM,
CHEMBL430946,Ki,9.98,nM,
CHEMBL60735,Ki,19.87,nM,
CHEMBL418496,Ki,9.02,nM,
CHEMBL61387,Ki,14.23,nM,
CHEMBL516202,Ki,16.13,nM,
CHEMBL261227,Ki,15.0,nM,
CHEMBL260570,Ki,0.45,nM,
CHEMBL261226,Ki,300.0,nM,
CHEMBL429511,Ki,150.0,nM,
CHEMBL408670,Ki,250.0,nM,
CHEMBL418509,Ki,0.7,nM,
CHEMBL68738,Ki,1100.0,nM,
CHEMBL2113438,Ki,97.0,nM,
CHEMBL60662,Ki,53.0,nM,
CHEMBL609662,Ki,28.0,nM,
CHEMBL609377,Ki,9.5,nM,
CHEMBL609378,Ki,5.3,nM,
CHEMBL608794,Ki,5.4,nM,
CHEMBL610047,Ki,2.3,nM,
CHEMBL610235,Ki,3.7,nM,
CHEMBL610236,Ki,3.6,nM,
CHEMBL607955,Ki,3.0,nM,
CHEMBL610234,Ki,0.64,nM,
CHEMBL608795,Ki,0.94,nM,
CHEMBL609376,Ki,410.0,nM,
CHEMBL609365,Ki,744.0,nM,
CHEMBL610237,Ki,33.0,%,
CHEMBL362047,Ki,135.0,nM,
CHEMBL369726,Ki,29.0,nM,
CHEMBL178224,Ki,55.0,nM,
CHEMBL361332,Ki,1519.0,nM,
CHEMBL361422,Ki,51.0,nM,
CHEMBL362047,Ki,135.0,nM,
CHEMBL362511,Ki,2200.0,nM,
CHEMBL188590,Ki,488.0,nM,
CHEMBL185832,Ki,2709.0,nM,
CHEMBL185657,Ki,2165.0,nM,
CHEMBL188996,Ki,361.0,nM,
CHEMBL364556,Ki,3340.0,nM,
CHEMBL360841,Ki,4877.0,nM,
CHEMBL188896,Ki,1637.0,nM,
CHEMBL364415,Ki,653.0,nM,
CHEMBL187691,Ki,1544.0,nM,
CHEMBL365666,Ki,212.0,nM,
CHEMBL441851,Ki,236.0,nM,
CHEMBL366142,Ki,130.0,nM,
CHEMBL187355,Ki,110.0,nM,
CHEMBL363111,Ki,264.0,nM,
CHEMBL188889,Ki,563.0,nM,
CHEMBL188630,Ki,422.0,nM,
CHEMBL425719,Ki,281.0,nM,
CHEMBL425901,Ki,2165.0,nM,
CHEMBL190711,Ki,711.0,nM,
CHEMBL427341,Ki,200.0,nM,
CHEMBL364363,Ki,39.0,nM,
CHEMBL186284,Ki,153.0,nM,
CHEMBL189499,Ki,124.0,nM,
CHEMBL188915,Ki,111.0,nM,
CHEMBL188884,Ki,93.0,nM,
CHEMBL184288,Ki,86.0,nM,
CHEMBL365723,Ki,39.0,nM,
CHEMBL187763,Ki,225.0,nM,
CHEMBL187143,Ki,221.0,nM,
CHEMBL185628,Ki,104.0,nM,
CHEMBL188023,Ki,129.0,nM,
CHEMBL187276,Ki,89.0,nM,
CHEMBL363278,Ki,126.0,nM,
CHEMBL188604,Ki,196.0,nM,
CHEMBL371196,Ki,196.0,nM,
CHEMBL365194,Ki,154.0,nM,
CHEMBL418509,IC50,0.3,nM,
CHEMBL418509,IC50,7.6,nM,
CHEMBL418509,Ki,0.43,nM,
CHEMBL242869,IC50,,,
CHEMBL242869,Ki,,,
CHEMBL245256,IC50,,,
CHEMBL245256,Ki,,,
CHEMBL277508,IC50,,,
CHEMBL277508,Ki,,,
CHEMBL394817,IC50,,,
CHEMBL394817,Ki,,,
CHEMBL183415,IC50,,,
CHEMBL183415,Ki,,,
CHEMBL154849,IC50,,,
CHEMBL154849,Ki,,,
CHEMBL442097,IC50,,,
CHEMBL442097,Ki,,,
CHEMBL396741,IC50,,,
CHEMBL396741,Ki,,,
CHEMBL242448,IC50,,,
CHEMBL242448,Ki,,,
CHEMBL242231,IC50,,,
CHEMBL242231,Ki,,,
CHEMBL242228,IC50,,,
CHEMBL242228,Ki,,,
CHEMBL243526,IC50,,,
CHEMBL243526,Ki,,,
CHEMBL389127,IC50,,,
CHEMBL389127,Ki,,,
CHEMBL242278,IC50,,,
CHEMBL242278,Ki,,,
CHEMBL243329,IC50,,,
CHEMBL243329,Ki,,,
CHEMBL243328,IC50,,,
CHEMBL243328,Ki,,,
CHEMBL243118,IC50,,,
CHEMBL243118,Ki,,,
CHEMBL397454,IC50,,,
CHEMBL397454,Ki,,,
CHEMBL242680,IC50,,,
CHEMBL242680,Ki,,,
CHEMBL242677,IC50,,,
CHEMBL242677,Ki,,,
CHEMBL242465,IC50,,,
CHEMBL242465,Ki,,,
CHEMBL395740,IC50,,,
CHEMBL395740,Ki,,,
CHEMBL242463,IC50,,,
CHEMBL242463,Ki,,,
CHEMBL242250,IC50,,,
CHEMBL242250,Ki,,,
CHEMBL388874,IC50,,,
CHEMBL388874,Ki,,,
CHEMBL387999,IC50,,,
CHEMBL387999,Ki,,,
CHEMBL242249,IC50,,,
CHEMBL242249,Ki,,,
CHEMBL242227,IC50,,,
CHEMBL242227,Ki,,,
CHEMBL395739,IC50,,,
CHEMBL395739,Ki,,,
CHEMBL397280,IC50,,,
CHEMBL397280,Ki,,,
CHEMBL389528,IC50,,,
CHEMBL389528,Ki,,,
CHEMBL397279,IC50,,,
CHEMBL397279,Ki,,,
CHEMBL444103,IC50,,,
CHEMBL444103,Ki,,,
CHEMBL397278,IC50,,,
CHEMBL397278,Ki,,,
CHEMBL396966,IC50,,,
CHEMBL396966,Ki,,,
CHEMBL396556,IC50,,,
CHEMBL396556,Ki,,,
CHEMBL245244,IC50,,,
CHEMBL245244,Ki,,,
CHEMBL245020,IC50,,,
CHEMBL245020,Ki,,,
CHEMBL242010,IC50,,,
CHEMBL242010,Ki,,,
CHEMBL245240,IC50,,,
CHEMBL245240,Ki,,,
CHEMBL242444,IC50,,,
CHEMBL242444,Ki,,,
CHEMBL242008,IC50,,,
CHEMBL242008,Ki,,,
CHEMBL430003,IC50,,,
CHEMBL430003,Ki,,,
CHEMBL394768,IC50,,,
CHEMBL394768,Ki,,,
CHEMBL243095,IC50,,,
CHEMBL243095,Ki,,,
CHEMBL243094,IC50,,,
CHEMBL243094,Ki,,,
CHEMBL243577,IC50,,,
CHEMBL243577,Ki,,,
CHEMBL394522,IC50,,,
CHEMBL394522,Ki,,,
CHEMBL242870,IC50,,,
CHEMBL242870,Ki,,,
CHEMBL242027,IC50,76.0,nM,
CHEMBL242027,Ki,4.3,nM,
CHEMBL183236,IC50,1621.0,nM,
CHEMBL183236,Ki,91.6,nM,
CHEMBL388875,IC50,302.0,nM,
CHEMBL388875,Ki,17.1,nM,
CHEMBL442098,IC50,145.0,nM,
CHEMBL442098,Ki,8.2,nM,
CHEMBL182365,IC50,5746.0,nM,
CHEMBL182365,Ki,325.2,nM,
CHEMBL395264,IC50,940.0,nM,
CHEMBL395264,Ki,53.1,nM,
CHEMBL396717,IC50,279.7,nM,
CHEMBL396717,Ki,15.8,nM,
CHEMBL242445,IC50,1838.0,nM,
CHEMBL242445,Ki,104.1,nM,
CHEMBL242647,IC50,7554.0,nM,
CHEMBL242647,Ki,427.6,nM,
CHEMBL389137,IC50,260.0,nM,
CHEMBL389137,Ki,14.7,nM,
CHEMBL243548,IC50,2136.0,nM,
CHEMBL243548,Ki,120.7,nM,
CHEMBL395530,IC50,2476.0,nM,
CHEMBL395530,Ki,139.9,nM,
CHEMBL395529,IC50,297.0,nM,
CHEMBL395529,Ki,16.8,nM,
CHEMBL243119,IC50,673.0,nM,
CHEMBL243119,Ki,38.0,nM,
CHEMBL395528,IC50,8655.0,nM,
CHEMBL395528,Ki,489.0,nM,
CHEMBL242893,IC50,2407.0,nM,
CHEMBL242893,Ki,136.0,nM,
CHEMBL242890,IC50,3381.0,nM,
CHEMBL242890,Ki,191.0,nM,
CHEMBL397453,IC50,5310.0,nM,
CHEMBL397453,Ki,300.0,nM,
CHEMBL242009,IC50,3831.0,nM,
CHEMBL242009,Ki,216.4,nM,
CHEMBL396716,IC50,3828.0,nM,
CHEMBL396716,Ki,216.7,nM,
CHEMBL243524,IC50,3416.0,nM,
CHEMBL243524,Ki,193.0,nM,
CHEMBL429101,IC50,672.0,nM,
CHEMBL429101,Ki,38.0,nM,
CHEMBL242657,IC50,13.6,nM,
CHEMBL242657,Ki,0.77,nM,
CHEMBL437946,IC50,375.0,nM,
CHEMBL437946,Ki,21.2,nM,
CHEMBL243304,IC50,8.67,nM,
CHEMBL243304,Ki,0.49,nM,
CHEMBL243096,IC50,15.2,nM,
CHEMBL243096,Ki,0.86,nM,
CHEMBL398221,IC50,7947.0,nM,
CHEMBL398221,Ki,449.0,nM,
CHEMBL388703,IC50,6956.0,nM,
CHEMBL388703,Ki,393.0,nM,
CHEMBL242868,IC50,1764.0,nM,
CHEMBL242868,Ki,99.7,nM,
CHEMBL242656,IC50,12229.0,nM,
CHEMBL242656,Ki,690.9,nM,
CHEMBL932,IC50,144.8,nM,
CHEMBL932,Ki,8.18,nM,
CHEMBL92870,IC50,4954.0,nM,
CHEMBL92870,Ki,279.9,nM,
CHEMBL418509,Ki,0.7,nM,
CHEMBL240102,Ki,315.0,nM,
CHEMBL240101,Ki,34.0,nM,
CHEMBL393342,Ki,11.0,nM,
CHEMBL239889,Ki,11.0,nM,
CHEMBL239670,Ki,11.0,nM,
CHEMBL239888,Ki,243.0,nM,
CHEMBL239887,Ki,86.0,nM,
CHEMBL428031,Ki,394.0,nM,
CHEMBL391651,Ki,247.0,nM,
CHEMBL239669,Ki,400.0,nM,
CHEMBL393322,Ki,125.0,nM,
CHEMBL239455,Ki,357.0,nM,
CHEMBL239454,Ki,33.0,nM,
CHEMBL393120,Ki,325.0,nM,
CHEMBL391838,Ki,25.0,nM,
CHEMBL239248,Ki,193.0,nM,
CHEMBL394012,Ki,24.0,nM,
CHEMBL239451,Ki,429.0,nM,
CHEMBL391730,Ki,24.0,nM,
CHEMBL239246,Ki,2.1,nM,
CHEMBL394171,Ki,1.1,nM,
CHEMBL418509,IC50,8.511,nM,
CHEMBL260055,IC50,21.88,nM,
CHEMBL411899,IC50,107.15,nM,
CHEMBL259188,IC50,4168.69,nM,
CHEMBL261793,IC50,181.97,nM,
CHEMBL225786,IC50,114815.36,nM,
CHEMBL261327,IC50,707.95,nM,
CHEMBL265440,IC50,1174.9,nM,
CHEMBL410084,IC50,977.24,nM,
CHEMBL258627,IC50,87.1,nM,
CHEMBL258946,IC50,1288.25,nM,
CHEMBL265688,IC50,46773.51,nM,
CHEMBL265689,IC50,15.85,nM,
CHEMBL261664,IC50,346.74,nM,
CHEMBL412078,IC50,426.58,nM,
CHEMBL410278,IC50,31.62,nM,
CHEMBL258660,IC50,331131.12,nM,
CHEMBL261887,IC50,616.6,nM,
CHEMBL410465,IC50,123.03,nM,
CHEMBL260645,IC50,69.18,nM,
CHEMBL265930,IC50,158.49,nM,
CHEMBL411710,IC50,251.19,nM,
CHEMBL408449,IC50,812.83,nM,
CHEMBL408710,IC50,81.28,nM,
CHEMBL411065,IC50,177.83,nM,
CHEMBL259866,IC50,4.786,nM,
CHEMBL259301,IC50,245.47,nM,
CHEMBL259303,IC50,199.53,nM,
CHEMBL259189,IC50,281.84,nM,
CHEMBL412113,IC50,331.13,nM,
CHEMBL411687,IC50,363.08,nM,
CHEMBL259759,IC50,223.87,nM,
CHEMBL261528,IC50,281.84,nM,
CHEMBL261530,IC50,354.81,nM,
CHEMBL258626,IC50,1778.28,nM,
CHEMBL260348,IC50,1513.56,nM,
CHEMBL411306,IC50,2398.83,nM,
CHEMBL409320,IC50,77.62,nM,
CHEMBL258947,IC50,33113.11,nM,
CHEMBL439437,IC50,389045.14,nM,
CHEMBL262874,IC50,194984.46,nM,
CHEMBL403715,IC50,338844.16,nM,
CHEMBL328824,IC50,77624.71,nM,
CHEMBL258982,IC50,114815.36,nM,
CHEMBL410476,IC50,5248.07,nM,
CHEMBL99203,IC50,229086.77,nM,
CHEMBL265928,IC50,100000.0,nM,
CHEMBL405374,IC50,234422.88,nM,
CHEMBL258662,IC50,14454.4,nM,
CHEMBL258879,IC50,446683.59,nM,
CHEMBL440414,IC50,14791.08,nM,
CHEMBL408715,IC50,34673.69,nM,
CHEMBL260646,IC50,32359.37,nM,
CHEMBL405642,IC50,91201.08,nM,
CHEMBL262072,IC50,16218.1,nM,
CHEMBL263651,IC50,177.83,nM,
CHEMBL407963,IC50,4570.88,nM,
CHEMBL259960,IC50,204173.79,nM,
CHEMBL260406,IC50,11481536.21,nM,
CHEMBL408942,IC50,575439.94,nM,
CHEMBL405093,IC50,41686.94,nM,
CHEMBL408943,IC50,190546.07,nM,
CHEMBL407471,IC50,144543.98,nM,
CHEMBL259961,IC50,8709.64,nM,
CHEMBL408881,IC50,63095.73,nM,
CHEMBL429510,IC50,81283.05,nM,
CHEMBL260688,IC50,2.754,nM,
CHEMBL260497,IC50,1148.15,nM,
CHEMBL260689,IC50,4786.3,nM,
CHEMBL408045,IC50,162181.01,nM,
CHEMBL261796,IC50,13489.63,nM,
CHEMBL261797,IC50,63095.73,nM,
CHEMBL411688,IC50,12022.64,nM,
CHEMBL261798,IC50,52480.75,nM,
CHEMBL259986,IC50,218776.16,nM,
CHEMBL259774,IC50,120226.44,nM,
CHEMBL409354,IC50,812.83,nM,
CHEMBL411114,IC50,2884.03,nM,
CHEMBL407159,IC50,5248.07,nM,
CHEMBL294755,IC50,457.09,nM,
CHEMBL59168,IC50,12022.64,nM,
CHEMBL540448,IC50,6309.57,nM,
CHEMBL263131,IC50,91201.08,nM,
CHEMBL410665,IC50,1348.96,nM,
CHEMBL258880,IC50,275422.87,nM,
CHEMBL388931,IC50,229086.77,nM,
CHEMBL410477,IC50,114815.36,nM,
CHEMBL412274,IC50,4786.3,nM,
CHEMBL260882,IC50,33.11,nM,
CHEMBL406191,IC50,57543.99,nM,
CHEMBL259044,IC50,21379.62,nM,
CHEMBL411438,IC50,6309.57,nM,
CHEMBL259045,IC50,1548.82,nM,
CHEMBL60662,IC50,1698.24,nM,
CHEMBL260407,IC50,13803.84,nM,
CHEMBL259868,IC50,2089.3,nM,
CHEMBL406643,IC50,17782.79,nM,
CHEMBL262083,IC50,32359.37,nM,
CHEMBL260166,IC50,27.54,nM,
CHEMBL427558,IC50,309.03,nM,
CHEMBL260167,IC50,257039.58,nM,
CHEMBL411066,IC50,36307.81,nM,
CHEMBL260057,IC50,912010.84,nM,
CHEMBL388757,IC50,10715.19,nM,
CHEMBL404779,IC50,13489.63,nM,
CHEMBL394171,IC50,21.38,nM,
