molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL320290,IC50,430000.0,nM,
CHEMBL321164,IC50,300000.0,nM,
CHEMBL104208,IC50,490000.0,nM,
CHEMBL13378,IC50,1000000.0,nM,
CHEMBL317234,IC50,240000.0,nM,
CHEMBL104197,IC50,1000000.0,nM,
CHEMBL104065,IC50,1000000.0,nM,
CHEMBL102612,IC50,1000000.0,nM,
CHEMBL107160,IC50,1000000.0,nM,
CHEMBL323289,IC50,1000000.0,nM,
CHEMBL104039,IC50,1000000.0,nM,
CHEMBL1790042,IC50,1300.0,nM,
CHEMBL1790043,IC50,2200.0,nM,
CHEMBL475341,IC50,7000.0,nM,
CHEMBL79140,IC50,221000.0,nM,
CHEMBL79140,IC50,64000.0,nM,
CHEMBL1790044,IC50,2000.0,nM,
CHEMBL79140,IC50,3800.0,nM,
CHEMBL79140,IC50,164000.0,nM,
CHEMBL2113110,IC50,100.0,nM,
CHEMBL424838,IC50,200.0,nM,
CHEMBL2113111,IC50,600.0,nM,
CHEMBL2113112,IC50,100.0,nM,
CHEMBL2113113,IC50,200.0,nM,
CHEMBL373283,IC50,500.0,nM,
CHEMBL2113114,IC50,700.0,nM,
CHEMBL2113114,IC50,67000.0,nM,
CHEMBL2113115,IC50,80.0,nM,
CHEMBL2113116,IC50,100.0,nM,
CHEMBL2113117,IC50,200.0,nM,
CHEMBL2113118,IC50,300.0,nM,
CHEMBL2113119,IC50,100.0,nM,
CHEMBL2113120,IC50,500.0,nM,
CHEMBL425569,IC50,300.0,nM,
CHEMBL2113121,IC50,130.0,nM,
CHEMBL1628669,IC50,80.0,nM,
CHEMBL1628669,IC50,130.0,nM,
CHEMBL198315,IC50,700.0,nM,
CHEMBL2113122,IC50,60.0,nM,
CHEMBL2113122,IC50,10.0,nM,
CHEMBL2113123,IC50,400.0,nM,
CHEMBL2113124,IC50,300.0,nM,
CHEMBL2113125,IC50,200.0,nM,
CHEMBL2113126,IC50,100.0,nM,
CHEMBL2113127,IC50,1000.0,nM,
CHEMBL2113128,IC50,300.0,nM,
CHEMBL2113129,IC50,1000.0,nM,
CHEMBL1628570,IC50,700.0,nM,
CHEMBL2113130,IC50,13000.0,nM,
CHEMBL288166,Ki,13000.0,nM,
CHEMBL288166,Ki,11748.98,nM,
CHEMBL198618,Ki,36000.0,nM,
CHEMBL198618,Ki,32359.37,nM,
CHEMBL197176,Ki,26000.0,nM,
CHEMBL197176,Ki,21877.62,nM,
CHEMBL199617,Ki,22000.0,nM,
CHEMBL199617,Ki,21877.62,nM,
CHEMBL199564,Ki,19000.0,nM,
CHEMBL199564,Ki,16218.1,nM,
CHEMBL58027,Ki,77000.0,nM,
CHEMBL58027,Ki,67608.3,nM,
CHEMBL381004,Ki,42000.0,nM,
CHEMBL381004,Ki,38018.94,nM,
CHEMBL61997,Ki,22000.0,nM,
CHEMBL61997,Ki,20892.96,nM,
CHEMBL372124,Ki,14000.0,nM,
CHEMBL372124,Ki,10715.19,nM,
CHEMBL371301,Ki,52000.0,nM,
CHEMBL199331,Ki,400000.0,nM,
CHEMBL2373300,Ki,110000.0,nM,
CHEMBL2373300,Ki,125892.54,nM,
CHEMBL384474,Ki,6600.0,nM,
CHEMBL384474,Ki,6309.57,nM,
CHEMBL217407,Ki,22000.0,nM,
CHEMBL217407,Ki,19952.62,nM,
CHEMBL512573,IC50,100000.0,nM,
CHEMBL512573,IC50,100000.0,nM,
CHEMBL474063,IC50,316227.77,nM,
CHEMBL474131,IC50,100000.0,nM,
CHEMBL474131,IC50,100000.0,nM,
CHEMBL473323,IC50,100000.0,nM,
CHEMBL473323,IC50,100000.0,nM,
CHEMBL516194,IC50,300000.0,nM,
CHEMBL516194,IC50,316227.77,nM,
CHEMBL504467,IC50,300000.0,nM,
CHEMBL504467,IC50,316227.77,nM,
CHEMBL472723,IC50,300000.0,nM,
CHEMBL472723,IC50,316227.77,nM,
CHEMBL474333,IC50,300000.0,nM,
CHEMBL474333,IC50,316227.77,nM,
CHEMBL474133,IC50,300000.0,nM,
CHEMBL474133,IC50,316227.77,nM,
CHEMBL516213,IC50,300000.0,nM,
CHEMBL516213,IC50,316227.77,nM,
CHEMBL474132,IC50,300000.0,nM,
CHEMBL474132,IC50,316227.77,nM,
CHEMBL515704,IC50,100000.0,nM,
CHEMBL515704,IC50,100000.0,nM,
CHEMBL473530,IC50,100000.0,nM,
CHEMBL473530,IC50,100000.0,nM,
CHEMBL515558,IC50,100000.0,nM,
CHEMBL515558,IC50,100000.0,nM,
CHEMBL473328,IC50,100000.0,nM,
CHEMBL473328,IC50,100000.0,nM,
CHEMBL517413,IC50,100000.0,nM,
CHEMBL517413,IC50,100000.0,nM,
CHEMBL460701,IC50,100000.0,nM,
CHEMBL460701,IC50,100000.0,nM,
CHEMBL460700,IC50,100000.0,nM,
CHEMBL460700,IC50,100000.0,nM,
CHEMBL516954,IC50,300000.0,nM,
CHEMBL516954,IC50,316227.77,nM,
CHEMBL461930,IC50,100000.0,nM,
CHEMBL461930,IC50,100000.0,nM,
CHEMBL451114,IC50,100000.0,nM,
CHEMBL451114,IC50,100000.0,nM,
CHEMBL462632,IC50,100000.0,nM,
CHEMBL462632,IC50,100000.0,nM,
CHEMBL474063,IC50,300000.0,nM,
CHEMBL514796,IC50,300000.0,nM,
CHEMBL514796,IC50,316227.77,nM,
CHEMBL474330,IC50,300000.0,nM,
CHEMBL474330,IC50,316227.77,nM,
CHEMBL473867,IC50,300000.0,nM,
CHEMBL473867,IC50,316227.77,nM,
CHEMBL500448,IC50,300000.0,nM,
CHEMBL500448,IC50,316227.77,nM,
CHEMBL475341,IC50,2200.0,nM,
CHEMBL475341,IC50,1995.26,nM,
CHEMBL279561,IC50,89000.0,nM,
CHEMBL279561,IC50,79432.82,nM,
CHEMBL480169,IC50,75000.0,nM,
CHEMBL480169,IC50,79432.82,nM,
CHEMBL518313,IC50,300000.0,nM,
CHEMBL518313,IC50,316227.77,nM,
CHEMBL494878,IC50,3000000.0,nM,
CHEMBL494878,IC50,3162277.66,nM,
CHEMBL500042,IC50,1000000.0,nM,
