molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL209173,IC50,,,
CHEMBL377744,IC50,3400.0,nM,
CHEMBL212106,IC50,,,
CHEMBL209153,IC50,,,
CHEMBL210362,IC50,,,
CHEMBL378974,IC50,30000.0,nM,
CHEMBL385139,IC50,,,
CHEMBL384913,IC50,30000.0,nM,
CHEMBL212739,IC50,30000.0,nM,
CHEMBL212738,IC50,30000.0,nM,
CHEMBL211537,IC50,30000.0,nM,
CHEMBL212511,IC50,30000.0,nM,
CHEMBL210290,IC50,8000.0,nM,
CHEMBL445399,IC50,16000.0,nM,
CHEMBL211951,IC50,30000.0,nM,
CHEMBL377167,IC50,30000.0,nM,
CHEMBL212149,IC50,600.0,nM,
CHEMBL211656,IC50,1000.0,nM,
CHEMBL212361,IC50,1100.0,nM,
CHEMBL376963,IC50,12700.0,nM,
CHEMBL211057,IC50,5000.0,nM,
CHEMBL209284,IC50,26000.0,nM,
CHEMBL209249,IC50,1400.0,nM,
CHEMBL211182,IC50,1000.0,nM,
CHEMBL208649,IC50,1000.0,nM,
CHEMBL439325,IC50,8000.0,nM,
CHEMBL209337,IC50,4500.0,nM,
CHEMBL208941,IC50,30000.0,nM,
CHEMBL208914,IC50,30000.0,nM,
CHEMBL212524,IC50,30000.0,nM,
CHEMBL380014,IC50,2400.0,nM,
CHEMBL211612,IC50,150.0,nM,
CHEMBL437303,IC50,500.0,nM,
CHEMBL209178,IC50,25000.0,nM,
CHEMBL211941,IC50,200.0,nM,
CHEMBL436931,IC50,1200.0,nM,
CHEMBL211864,IC50,250.0,nM,
CHEMBL211547,IC50,1200.0,nM,
CHEMBL426323,IC50,180.0,nM,
CHEMBL212012,IC50,700.0,nM,
CHEMBL209855,IC50,90.0,nM,
CHEMBL211117,IC50,260.0,nM,
CHEMBL378290,IC50,640.0,nM,
CHEMBL211772,IC50,650.0,nM,
CHEMBL211116,IC50,1500.0,nM,
CHEMBL378241,IC50,30000.0,nM,
CHEMBL377528,IC50,9500.0,nM,
CHEMBL212413,IC50,30000.0,nM,
CHEMBL209702,IC50,1200.0,nM,
CHEMBL212048,IC50,30000.0,nM,
CHEMBL377780,IC50,30000.0,nM,
CHEMBL380109,IC50,2000.0,nM,
CHEMBL211075,IC50,30000.0,nM,
