molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL34259,Ki,3500.0,nM,
CHEMBL390990,Ki,280.0,nM,
CHEMBL388501,Ki,530.0,nM,
CHEMBL224946,Ki,1100.0,nM,
CHEMBL225071,IC50,6.3,nM,
CHEMBL225072,IC50,138.0,nM,
CHEMBL34259,IC50,12.0,nM,
CHEMBL3335607,IC50,1000.0,nM,
CHEMBL3335606,IC50,1000.0,nM,
CHEMBL3335605,IC50,1000.0,nM,
CHEMBL3335604,IC50,1000.0,nM,
CHEMBL3335603,IC50,1000.0,nM,
CHEMBL1834488,IC50,101.0,nM,
CHEMBL590740,IC50,1000.0,nM,
CHEMBL2426245,IC50,1000.0,nM,
CHEMBL3407519,IC50,59.8,nM,
CHEMBL3409334,IC50,116.0,nM,
CHEMBL3409335,IC50,38.3,nM,
CHEMBL3409336,IC50,243.2,nM,
CHEMBL3409337,IC50,1000.0,nM,
CHEMBL225072,IC50,138.0,nM,
CHEMBL1834488,IC50,101.0,nM,
CHEMBL3628344,IC50,197.0,nM,
CHEMBL3628345,IC50,54.0,nM,
CHEMBL3628346,IC50,189.0,nM,
CHEMBL3628347,IC50,1000.0,nM,
CHEMBL365307,IC50,1000.0,nM,
CHEMBL4205344,IC50,1000.0,nM,
CHEMBL4214638,IC50,1000.0,nM,
CHEMBL4209721,IC50,1000.0,nM,
CHEMBL4218109,IC50,1000.0,nM,
CHEMBL4213181,IC50,1000.0,nM,
CHEMBL4205885,IC50,1000.0,nM,
CHEMBL34259,IC50,12.0,nM,
CHEMBL225072,IC50,138.0,nM,
CHEMBL225071,IC50,6.3,nM,
CHEMBL1201746,IC50,0.69,nM,
CHEMBL1834488,IC50,106.0,nM,
CHEMBL365307,IC50,1000.0,nM,
CHEMBL192632,IC50,304.0,nM,
CHEMBL4214638,IC50,1000.0,nM,
CHEMBL2158681,IC50,1000.0,nM,
CHEMBL3628344,IC50,197.0,nM,
CHEMBL4540298,IC50,1000.0,nM,
CHEMBL4538151,IC50,62.0,nM,
CHEMBL4557278,IC50,468.0,nM,
CHEMBL4465095,IC50,1000.0,nM,
CHEMBL4445651,IC50,20.1,nM,
CHEMBL225072,IC50,26.2,nM,
CHEMBL1834488,IC50,444.0,nM,
CHEMBL365307,IC50,1000.0,nM,
CHEMBL192632,IC50,1000.0,nM,
CHEMBL4214638,IC50,634.0,nM,
CHEMBL2158681,IC50,1000.0,nM,
CHEMBL3628344,IC50,62.9,nM,
CHEMBL4540298,IC50,1000.0,nM,
CHEMBL4538151,IC50,507.0,nM,
CHEMBL4557278,IC50,1000.0,nM,
CHEMBL4465095,IC50,213.0,nM,
CHEMBL4445651,IC50,66.2,nM,
CHEMBL225072,IC50,23.8,nM,
CHEMBL4435608,IC50,1000.0,nM,
CHEMBL4562619,IC50,1000.0,nM,
CHEMBL4548681,IC50,1000.0,nM,
CHEMBL4515056,IC50,1000.0,nM,
CHEMBL4456590,IC50,1000.0,nM,
CHEMBL4476555,IC50,1000.0,nM,
CHEMBL4437824,IC50,510.0,nM,
CHEMBL4471269,IC50,642.0,nM,
CHEMBL4444011,IC50,808.0,nM,
CHEMBL4553188,IC50,783.0,nM,
CHEMBL4447805,IC50,641.0,nM,
CHEMBL4467936,IC50,1000.0,nM,
CHEMBL4783397,IC50,1000.0,nM,
CHEMBL4755197,IC50,1000.0,nM,
CHEMBL4741259,IC50,1000.0,nM,
CHEMBL4789686,IC50,1000.0,nM,
CHEMBL4790375,IC50,1000.0,nM,
CHEMBL4759798,IC50,1000.0,nM,
CHEMBL4761741,IC50,1000.0,nM,
CHEMBL491104,IC50,1000.0,nM,
