molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL2093978,IC50,632000.0,nM,
CHEMBL2094022,IC50,270000.0,nM,
CHEMBL2093977,IC50,809000.0,nM,
CHEMBL38686,IC50,130.0,nM,
CHEMBL2094024,IC50,270000.0,nM,
CHEMBL419823,IC50,439000.0,nM,
CHEMBL72499,IC50,19000.0,nM,
CHEMBL77575,IC50,5900.0,nM,
CHEMBL77484,IC50,116000.0,nM,
CHEMBL78166,IC50,43000.0,nM,
CHEMBL77626,IC50,130.0,nM,
CHEMBL269439,IC50,122000.0,nM,
CHEMBL308528,IC50,43000.0,nM,
CHEMBL277498,IC50,8000.0,nM,
CHEMBL75035,IC50,388000.0,nM,
CHEMBL76868,IC50,3000.0,nM,
CHEMBL76768,IC50,14000.0,nM,
CHEMBL77166,IC50,73000.0,nM,
CHEMBL77287,IC50,260.0,nM,
CHEMBL77423,IC50,58000.0,nM,
CHEMBL308391,IC50,121000.0,nM,
CHEMBL74138,IC50,10000.0,nM,
CHEMBL310236,IC50,142000.0,nM,
CHEMBL77111,IC50,6900.0,nM,
CHEMBL74854,IC50,5000.0,nM,
CHEMBL307361,IC50,78000.0,nM,
CHEMBL405620,IC50,268000.0,nM,
CHEMBL1027,IC50,70.0,nM,
CHEMBL309357,IC50,26000.0,nM,
CHEMBL96,IC50,5000.0,nM,
CHEMBL432737,IC50,233000.0,nM,
CHEMBL76966,IC50,1400.0,nM,
CHEMBL75800,IC50,133000.0,nM,
CHEMBL277498,IC50,10.1,nM,
CHEMBL1027,IC50,280.0,nM,
CHEMBL77575,IC50,81500.0,nM,
CHEMBL537862,IC50,100000.0,nM,
CHEMBL553630,IC50,4340.0,nM,
CHEMBL558563,IC50,1500.0,nM,
CHEMBL537641,IC50,1240.0,nM,
CHEMBL540623,IC50,100000.0,nM,
CHEMBL537861,IC50,100000.0,nM,
CHEMBL536501,IC50,100000.0,nM,
CHEMBL538322,IC50,66300.0,nM,
CHEMBL534481,IC50,840.0,nM,
CHEMBL556819,IC50,340.0,nM,
CHEMBL536277,IC50,680.0,nM,
CHEMBL538830,IC50,7100.0,nM,
CHEMBL535829,IC50,2800.0,nM,
CHEMBL558000,IC50,100000.0,nM,
CHEMBL553629,IC50,27600.0,nM,
CHEMBL559211,IC50,650.0,nM,
CHEMBL557786,IC50,940.0,nM,
CHEMBL534487,IC50,100000.0,nM,
CHEMBL556993,IC50,12300.0,nM,
CHEMBL553557,IC50,1360.0,nM,
CHEMBL1164505,Ki,27000.0,nM,
CHEMBL103623,IC50,200.0,nM,
CHEMBL38686,IC50,200.0,nM,
CHEMBL1027,Ki,16.98,nM,
CHEMBL77626,Ki,72.44,nM,
CHEMBL1642363,Ki,371.54,nM,
CHEMBL1642364,Ki,165.96,nM,
CHEMBL1642365,Ki,199.53,nM,
CHEMBL1642366,Ki,1905.46,nM,
CHEMBL1642367,Ki,93.33,nM,
CHEMBL1642368,Ki,102.33,nM,
CHEMBL1642369,Ki,676.08,nM,
CHEMBL1642370,Ki,371.54,nM,
CHEMBL1642371,Ki,645.65,nM,
CHEMBL1642372,Ki,691.83,nM,
CHEMBL1642373,Ki,380.19,nM,
CHEMBL1642374,Ki,69.18,nM,
CHEMBL1642375,Ki,40.74,nM,
CHEMBL1642376,Ki,28.84,nM,
CHEMBL1642377,Ki,93.33,nM,
CHEMBL1642378,Ki,20.42,nM,
CHEMBL1642379,Ki,29.51,nM,
CHEMBL1642380,Ki,1071.52,nM,
CHEMBL1642381,Ki,56.23,nM,
CHEMBL1642382,Ki,58.88,nM,
CHEMBL1642383,Ki,331.13,nM,
CHEMBL1642384,Ki,33.88,nM,
CHEMBL1642385,Ki,77.62,nM,
CHEMBL1642386,Ki,72.44,nM,
CHEMBL1642387,Ki,89.13,nM,
CHEMBL1642388,Ki,46.77,nM,
CHEMBL1642389,Ki,158.49,nM,
CHEMBL1642390,Ki,354.81,nM,
CHEMBL1641613,Ki,14.79,nM,
CHEMBL1642391,Ki,61.66,nM,
CHEMBL1642392,Ki,380.19,nM,
CHEMBL1642393,Ki,70.79,nM,
CHEMBL1642394,Ki,41.69,nM,
CHEMBL1642395,Ki,38.02,nM,
CHEMBL1642396,Ki,18.2,nM,
CHEMBL1642397,Ki,21.88,nM,
CHEMBL1642398,Ki,52.48,nM,
CHEMBL1642399,Ki,53.7,nM,
CHEMBL1642400,Ki,19.05,nM,
CHEMBL1642401,Ki,38.9,nM,
CHEMBL1642402,Ki,138.04,nM,
CHEMBL1642403,Ki,831.76,nM,
CHEMBL1642404,Ki,2754.23,nM,
CHEMBL1642405,Ki,10000.0,nM,
CHEMBL1642406,Ki,10000.0,nM,
CHEMBL1642407,Ki,10000.0,nM,
CHEMBL1642408,Ki,10000.0,nM,
CHEMBL1642409,Ki,10000.0,nM,
CHEMBL1642410,Ki,10000.0,nM,
CHEMBL1642411,Ki,10000.0,nM,
CHEMBL75800,IC50,132000.0,nM,
CHEMBL75035,IC50,389045.14,nM,
CHEMBL1190271,IC50,309.03,nM,
CHEMBL1196076,IC50,645.65,nM,
CHEMBL1189315,IC50,39810.72,nM,
CHEMBL77484,IC50,116000.0,nM,
CHEMBL77575,IC50,5900.0,nM,
CHEMBL75035,IC50,170000.0,nM,
CHEMBL1695,IC50,49.0,nM,
CHEMBL2415009,IC50,100000.0,nM,
CHEMBL242011,IC50,20600.0,nM,
CHEMBL1446457,IC50,11400.0,nM,
CHEMBL75035,IC50,100000.0,nM,
CHEMBL3326391,IC50,100000.0,nM,
CHEMBL3040189,IC50,100000.0,nM,
CHEMBL1027,IC50,380.19,nM,
CHEMBL1027,Ki,47.86,nM,
CHEMBL3398498,IC50,13803.84,nM,
CHEMBL3398498,Ki,3981.07,nM,
CHEMBL3398500,IC50,4168.69,nM,
CHEMBL3398500,Ki,1096.48,nM,
CHEMBL3398506,Ki,20417.38,nM,
CHEMBL3398499,IC50,1905.46,nM,
CHEMBL3398499,Ki,213.8,nM,
CHEMBL3398501,IC50,724.44,nM,
CHEMBL3398501,Ki,66.07,nM,
CHEMBL3398507,Ki,19054.61,nM,
CHEMBL75800,IC50,133000.0,nM,
CHEMBL1882801,Ki,100000.0,nM,
CHEMBL4068983,Ki,100000.0,nM,
CHEMBL228972,Ki,100000.0,nM,
CHEMBL4066152,IC50,1000000.0,nM,
CHEMBL4072452,IC50,1000000.0,nM,
CHEMBL4101561,IC50,1000000.0,nM,
CHEMBL4075423,IC50,1000000.0,nM,
CHEMBL4077212,IC50,1000000.0,nM,
CHEMBL4076258,IC50,1000000.0,nM,
CHEMBL4075865,IC50,1000000.0,nM,
CHEMBL4075412,IC50,1000000.0,nM,
CHEMBL4072002,IC50,1000000.0,nM,
CHEMBL4102978,IC50,100000.0,nM,
