molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL235587,IC50,100000.0,nM,
CHEMBL236656,IC50,50000.0,nM,
CHEMBL236455,IC50,20000.0,nM,
CHEMBL391290,IC50,5000.0,nM,
CHEMBL237509,IC50,20000.0,nM,
CHEMBL237508,IC50,2500.0,nM,
CHEMBL237297,IC50,2500.0,nM,
CHEMBL394076,IC50,50000.0,nM,
CHEMBL235796,IC50,50000.0,nM,
CHEMBL235795,IC50,12500.0,nM,
CHEMBL396071,IC50,200000.0,nM,
CHEMBL238371,IC50,5.0,nM,
CHEMBL236247,IC50,3.0,nM,
CHEMBL284616,IC50,226000.0,nM,
CHEMBL32476,IC50,2500.0,nM,
CHEMBL3218302,IC50,210.0,nM,
CHEMBL236247,IC50,2.0,nM,
CHEMBL3218303,IC50,330.0,nM,
CHEMBL3218304,IC50,1600.0,nM,
CHEMBL3218305,IC50,80.0,nM,
CHEMBL3218306,IC50,130.0,nM,
CHEMBL2337339,IC50,200000.0,nM,
CHEMBL284616,Ki,260000.0,nM,
CHEMBL45068,IC50,340000.0,nM,
