molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL327142,Kd,1100.0,nM,
CHEMBL111425,Kd,800.0,nM,
CHEMBL326703,Kd,100000.0,nM,
CHEMBL324659,Kd,400.0,nM,
CHEMBL91909,Kd,28000.0,nM,
CHEMBL52606,Kd,5000.0,nM,
CHEMBL328561,Kd,100000.0,nM,
CHEMBL92719,Kd,100000.0,nM,
CHEMBL107566,Kd,1300.0,nM,
CHEMBL324463,Kd,100000.0,nM,
CHEMBL111514,Kd,17000.0,nM,
CHEMBL327672,Kd,240.0,nM,
CHEMBL326463,Kd,2800.0,nM,
CHEMBL110686,Kd,500.0,nM,
CHEMBL107985,Kd,300.0,nM,
CHEMBL322952,Kd,100000.0,nM,
CHEMBL111738,Kd,100.0,nM,
CHEMBL248915,Ki,500000.0,nM,
CHEMBL249476,Ki,400000.0,nM,
CHEMBL204300,Ki,98000.0,nM,
CHEMBL2057965,IC50,5000.0,nM,
CHEMBL2058262,IC50,2000.0,nM,
CHEMBL479638,IC50,10600.0,nM,
CHEMBL479837,IC50,15500.0,nM,
CHEMBL480612,IC50,23400.0,nM,
CHEMBL449451,IC50,8500.0,nM,
CHEMBL3092944,IC50,10900.0,nM,
CHEMBL45068,IC50,21400.0,nM,
CHEMBL537087,IC50,11013.0,nM,
CHEMBL601041,IC50,6745.0,nM,
CHEMBL589723,IC50,12000.0,nM,
CHEMBL592044,IC50,12000.0,nM,
CHEMBL591395,IC50,12000.0,nM,
CHEMBL592550,IC50,12000.0,nM,
CHEMBL592332,IC50,12000.0,nM,
CHEMBL602234,IC50,12000.0,nM,
CHEMBL590933,IC50,6745.0,nM,
CHEMBL124006,IC50,1558.0,nM,
CHEMBL584240,IC50,12000.0,nM,
CHEMBL590201,IC50,12000.0,nM,
CHEMBL589205,IC50,12000.0,nM,
CHEMBL590686,IC50,12000.0,nM,
CHEMBL602127,IC50,12000.0,nM,
CHEMBL601580,IC50,6745.0,nM,
CHEMBL590674,IC50,12000.0,nM,
CHEMBL591623,IC50,12000.0,nM,
CHEMBL590914,IC50,12000.0,nM,
CHEMBL592808,IC50,12000.0,nM,
CHEMBL591641,IC50,12000.0,nM,
CHEMBL601743,IC50,12000.0,nM,
CHEMBL602946,IC50,11682.0,nM,
CHEMBL578952,IC50,12000.0,nM,
CHEMBL590182,IC50,12000.0,nM,
CHEMBL592344,IC50,12000.0,nM,
CHEMBL605281,IC50,12000.0,nM,
CHEMBL589422,IC50,12000.0,nM,
CHEMBL582478,IC50,6745.0,nM,
CHEMBL547266,IC50,11682.0,nM,
CHEMBL532141,IC50,12000.0,nM,
CHEMBL600235,IC50,6384.0,nM,
CHEMBL592123,IC50,7554.0,nM,
CHEMBL591183,IC50,6745.0,nM,
CHEMBL600374,IC50,12000.0,nM,
CHEMBL590212,IC50,12000.0,nM,
CHEMBL590944,IC50,12000.0,nM,
CHEMBL600174,IC50,12000.0,nM,
CHEMBL598279,IC50,4477.0,nM,
CHEMBL589224,IC50,12000.0,nM,
CHEMBL609036,IC50,12000.0,nM,
CHEMBL602413,IC50,5012.0,nM,
CHEMBL581860,IC50,6745.0,nM,
CHEMBL589946,IC50,12000.0,nM,
CHEMBL589920,IC50,9940.0,nM,
CHEMBL602552,IC50,12000.0,nM,
CHEMBL601492,IC50,12000.0,nM,
CHEMBL591637,IC50,10551.0,nM,
CHEMBL591890,IC50,12000.0,nM,
CHEMBL459199,IC50,12000.0,nM,
CHEMBL590159,IC50,12000.0,nM,
CHEMBL317364,IC50,12000.0,nM,
CHEMBL597248,IC50,12000.0,nM,
CHEMBL106525,IC50,5816.0,nM,
CHEMBL527131,IC50,12000.0,nM,
CHEMBL494669,IC50,12000.0,nM,
CHEMBL586178,IC50,12000.0,nM,
CHEMBL529773,IC50,12000.0,nM,
CHEMBL577874,IC50,12000.0,nM,
CHEMBL534190,IC50,12000.0,nM,
CHEMBL579105,IC50,4398.0,nM,
CHEMBL586000,IC50,11560.0,nM,
CHEMBL585264,IC50,12000.0,nM,
CHEMBL586704,IC50,12000.0,nM,
CHEMBL547476,IC50,12000.0,nM,
CHEMBL597855,IC50,12000.0,nM,
CHEMBL585622,IC50,6745.0,nM,
CHEMBL601122,IC50,8089.0,nM,
CHEMBL585243,IC50,12000.0,nM,
CHEMBL597857,IC50,12000.0,nM,
CHEMBL606159,IC50,12000.0,nM,
CHEMBL49055,IC50,7118.0,nM,
CHEMBL602211,IC50,12000.0,nM,
CHEMBL599886,IC50,12000.0,nM,
CHEMBL601814,IC50,12000.0,nM,
CHEMBL530149,IC50,12000.0,nM,
CHEMBL584235,IC50,12000.0,nM,
CHEMBL601158,IC50,12000.0,nM,
CHEMBL578294,IC50,5521.0,nM,
CHEMBL582666,IC50,7694.0,nM,
CHEMBL584829,IC50,12000.0,nM,
CHEMBL607975,IC50,12000.0,nM,
CHEMBL580381,IC50,12000.0,nM,
CHEMBL581475,IC50,12000.0,nM,
CHEMBL578030,IC50,12000.0,nM,
CHEMBL596856,IC50,12000.0,nM,
CHEMBL533855,IC50,12000.0,nM,
CHEMBL2021322,IC50,12000.0,nM,
CHEMBL206540,IC50,12000.0,nM,
CHEMBL601378,IC50,6745.0,nM,
CHEMBL601771,IC50,12000.0,nM,
CHEMBL577014,IC50,12000.0,nM,
CHEMBL603686,IC50,12000.0,nM,
CHEMBL598881,IC50,12000.0,nM,
CHEMBL537778,IC50,12000.0,nM,
CHEMBL599885,IC50,12000.0,nM,
CHEMBL578933,IC50,12000.0,nM,
CHEMBL600706,IC50,12000.0,nM,
CHEMBL597444,IC50,12000.0,nM,
CHEMBL601528,IC50,12000.0,nM,
CHEMBL603943,IC50,12000.0,nM,
CHEMBL596852,IC50,6745.0,nM,
CHEMBL582286,IC50,12000.0,nM,
CHEMBL596652,IC50,12000.0,nM,
CHEMBL601534,IC50,12000.0,nM,
CHEMBL600549,IC50,12000.0,nM,
CHEMBL588732,IC50,12000.0,nM,
CHEMBL577011,IC50,12000.0,nM,
CHEMBL585839,IC50,12000.0,nM,
CHEMBL586078,IC50,12000.0,nM,
CHEMBL584015,IC50,6745.0,nM,
CHEMBL581349,IC50,12000.0,nM,
CHEMBL601786,IC50,12000.0,nM,
CHEMBL601348,IC50,12000.0,nM,
CHEMBL600305,IC50,12000.0,nM,
CHEMBL609628,IC50,9012.0,nM,
CHEMBL585431,IC50,12000.0,nM,
CHEMBL582070,IC50,12000.0,nM,
CHEMBL579459,IC50,12000.0,nM,
CHEMBL528533,IC50,9249.0,nM,
CHEMBL611070,IC50,12000.0,nM,
CHEMBL602764,IC50,12000.0,nM,
CHEMBL470514,IC50,12000.0,nM,
CHEMBL596643,IC50,12000.0,nM,
CHEMBL601825,IC50,12000.0,nM,
CHEMBL577440,IC50,12000.0,nM,
CHEMBL527593,IC50,12000.0,nM,
CHEMBL584237,IC50,12000.0,nM,
CHEMBL586026,IC50,12000.0,nM,
CHEMBL601806,IC50,12000.0,nM,
CHEMBL529984,IC50,12000.0,nM,
CHEMBL600904,IC50,12000.0,nM,
CHEMBL604323,IC50,12000.0,nM,
CHEMBL601957,IC50,12000.0,nM,
CHEMBL584655,IC50,12000.0,nM,
CHEMBL606252,IC50,12000.0,nM,
CHEMBL604982,IC50,12000.0,nM,
CHEMBL532987,IC50,12000.0,nM,
CHEMBL319952,IC50,12000.0,nM,
CHEMBL584676,IC50,12000.0,nM,
CHEMBL546162,IC50,10825.0,nM,
CHEMBL581225,IC50,12000.0,nM,
CHEMBL604389,IC50,12000.0,nM,
CHEMBL582495,IC50,12000.0,nM,
CHEMBL475813,IC50,12000.0,nM,
CHEMBL598369,IC50,12000.0,nM,
CHEMBL2028042,IC50,12000.0,nM,
CHEMBL608855,IC50,12000.0,nM,
CHEMBL530308,IC50,12000.0,nM,
CHEMBL587892,IC50,12000.0,nM,
CHEMBL548399,IC50,12000.0,nM,
CHEMBL601612,IC50,12000.0,nM,
CHEMBL534288,IC50,12000.0,nM,
CHEMBL579331,IC50,12000.0,nM,
CHEMBL582072,IC50,12000.0,nM,
CHEMBL525826,IC50,12000.0,nM,
CHEMBL586468,IC50,12000.0,nM,
CHEMBL527730,IC50,12000.0,nM,
CHEMBL586962,IC50,12000.0,nM,
CHEMBL587288,IC50,12000.0,nM,
