molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL348213,IC50,5000.0,nM,
CHEMBL153154,IC50,1200.0,nM,
CHEMBL150505,IC50,370.0,nM,
CHEMBL150786,IC50,10000.0,nM,
CHEMBL150972,IC50,1600.0,nM,
CHEMBL155273,IC50,43.0,nM,
CHEMBL153151,IC50,10000.0,nM,
CHEMBL153139,IC50,86.0,nM,
CHEMBL153717,IC50,24.0,nM,
CHEMBL149571,IC50,130.0,nM,
CHEMBL150954,IC50,140.0,nM,
CHEMBL153521,IC50,330.0,nM,
CHEMBL357936,IC50,89.0,nM,
CHEMBL153731,IC50,30.0,nM,
CHEMBL150377,IC50,67.0,nM,
CHEMBL150722,IC50,5000.0,nM,
CHEMBL348211,IC50,120.0,nM,
CHEMBL153331,IC50,170.0,nM,
CHEMBL150901,IC50,130.0,nM,
CHEMBL153075,IC50,81.0,nM,
CHEMBL153148,IC50,140.0,nM,
CHEMBL150560,IC50,58.0,nM,
CHEMBL150409,IC50,2400.0,nM,
CHEMBL433739,IC50,300.0,nM,
CHEMBL152937,IC50,1800.0,nM,
CHEMBL155222,IC50,5000.0,nM,
CHEMBL153630,IC50,56.0,nM,
CHEMBL149515,IC50,4400.0,nM,
CHEMBL150796,IC50,130.0,nM,
CHEMBL356187,IC50,1100.0,nM,
CHEMBL348200,IC50,77.0,nM,
CHEMBL150522,IC50,320.0,nM,
CHEMBL150836,IC50,670.0,nM,
CHEMBL152979,IC50,3400.0,nM,
CHEMBL153410,IC50,99.0,nM,
CHEMBL153680,IC50,1600.0,nM,
CHEMBL358473,IC50,33.0,nM,
CHEMBL153591,IC50,1200.0,nM,
CHEMBL153670,IC50,5000.0,nM,
CHEMBL150502,IC50,4000.0,nM,
CHEMBL153296,IC50,1900.0,nM,
CHEMBL151644,IC50,10000.0,nM,
CHEMBL153124,IC50,5000.0,nM,
CHEMBL421793,IC50,4100.0,nM,
CHEMBL153355,IC50,3400.0,nM,
CHEMBL2112891,IC50,1400.0,nM,
