molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL1242923,Ki,1000.0,nM,
CHEMBL1242950,Ki,1000.0,nM,
CHEMBL1734714,IC50,13182.57,nM,
CHEMBL1542029,IC50,13803.84,nM,
CHEMBL1444507,IC50,4786.3,nM,
CHEMBL1506372,IC50,15848.93,nM,
CHEMBL1975120,IC50,9120.11,nM,
CHEMBL1572248,IC50,7136.59,nM,
CHEMBL1498691,IC50,2625.79,nM,
CHEMBL1465952,IC50,10471.29,nM,
CHEMBL1559038,IC50,7923.35,nM,
CHEMBL1705476,IC50,13182.57,nM,
CHEMBL3189407,IC50,13182.57,nM,
CHEMBL1588522,IC50,12885.91,nM,
CHEMBL1489370,IC50,13182.57,nM,
CHEMBL1571540,IC50,15135.61,nM,
CHEMBL1380867,IC50,9354.82,nM,
CHEMBL1519307,IC50,2884.03,nM,
CHEMBL11909,IC50,587.72,nM,
CHEMBL156383,IC50,470.27,nM,
CHEMBL1459286,IC50,9620.35,nM,
CHEMBL1535851,IC50,10471.29,nM,
CHEMBL1411837,IC50,20892.96,nM,
CHEMBL1896540,IC50,9774.96,nM,
CHEMBL3189752,IC50,8580.07,nM,
CHEMBL1504481,IC50,14454.4,nM,
CHEMBL1300090,IC50,12305.95,nM,
CHEMBL1555572,IC50,19054.61,nM,
CHEMBL1896815,IC50,13182.57,nM,
CHEMBL1698020,IC50,11777.02,nM,
CHEMBL3189995,IC50,12022.64,nM,
CHEMBL1707563,IC50,794.33,nM,
CHEMBL1998184,IC50,9024.12,nM,
CHEMBL1322563,IC50,11493.71,nM,
CHEMBL1366428,IC50,13818.48,nM,
CHEMBL551842,IC50,10964.78,nM,
CHEMBL1887357,IC50,1323.85,nM,
CHEMBL1442111,IC50,13182.57,nM,
CHEMBL1330729,IC50,28.79,nM,
CHEMBL1483224,IC50,4570.88,nM,
CHEMBL1715090,IC50,8718.87,nM,
CHEMBL1491246,IC50,9084.5,nM,
CHEMBL1724607,IC50,6590.35,nM,
CHEMBL1492246,IC50,15848.93,nM,
CHEMBL1320710,IC50,11461.98,nM,
CHEMBL1437181,IC50,9028.53,nM,
CHEMBL1491084,IC50,14454.4,nM,
CHEMBL1610385,IC50,4100.83,nM,
CHEMBL1500445,IC50,1971.13,nM,
CHEMBL1456512,IC50,13050.2,nM,
CHEMBL1537068,IC50,13818.48,nM,
CHEMBL1418191,IC50,5819.61,nM,
CHEMBL1879798,IC50,15135.61,nM,
CHEMBL1715069,IC50,2090.16,nM,
CHEMBL1794109,IC50,15590.93,nM,
CHEMBL1496620,IC50,19054.61,nM,
CHEMBL1542944,IC50,12709.59,nM,
CHEMBL1430926,IC50,11366.25,nM,
CHEMBL1491064,IC50,12885.91,nM,
CHEMBL1378136,IC50,14454.4,nM,
CHEMBL1502187,IC50,5011.87,nM,
CHEMBL1503961,IC50,10694.81,nM,
