molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL524487,IC50,125000.0,nM,
CHEMBL508564,IC50,1400.0,nM,
CHEMBL508411,IC50,36000.0,nM,
CHEMBL508411,Kd,5700.0,nM,
CHEMBL508411,Kd,45000.0,nM,
CHEMBL505689,IC50,87000.0,nM,
CHEMBL524509,IC50,31000.0,nM,
CHEMBL503730,IC50,34000.0,nM,
CHEMBL526683,IC50,67000.0,nM,
CHEMBL207341,IC50,24000.0,nM,
CHEMBL498954,IC50,250000.0,nM,
CHEMBL444514,IC50,110000.0,nM,
CHEMBL451944,IC50,27000.0,nM,
CHEMBL525216,IC50,239000.0,nM,
CHEMBL506507,IC50,40000.0,nM,
CHEMBL509774,IC50,33000.0,nM,
CHEMBL501558,IC50,49000.0,nM,
CHEMBL503219,IC50,64000.0,nM,
CHEMBL499790,IC50,33000.0,nM,
CHEMBL505689,Kd,10000.0,nM,
CHEMBL524509,Kd,6100.0,nM,
CHEMBL503730,Kd,4600.0,nM,
CHEMBL526683,Kd,11000.0,nM,
CHEMBL207341,Kd,2900.0,nM,
CHEMBL498954,Kd,250000.0,nM,
CHEMBL444514,Kd,20000.0,nM,
CHEMBL451944,Kd,4200.0,nM,
CHEMBL525216,Kd,34000.0,nM,
CHEMBL506507,Kd,5100.0,nM,
CHEMBL509774,Kd,9400.0,nM,
CHEMBL501558,Kd,8800.0,nM,
CHEMBL503219,Kd,22000.0,nM,
CHEMBL499790,Kd,5200.0,nM,
CHEMBL509774,Kd,93000.0,nM,
CHEMBL501558,Kd,76000.0,nM,
CHEMBL503219,Kd,78000.0,nM,
CHEMBL499790,Kd,35000.0,nM,
CHEMBL508702,IC50,125000.0,nM,
CHEMBL499664,IC50,69000.0,nM,
CHEMBL499402,IC50,57000.0,nM,
CHEMBL506644,IC50,48000.0,nM,
CHEMBL500533,IC50,125000.0,nM,
CHEMBL525265,IC50,420.0,nM,
CHEMBL503983,IC50,1000.0,nM,
CHEMBL504423,IC50,2100.0,nM,
CHEMBL525782,IC50,125000.0,nM,
CHEMBL525614,IC50,1600.0,nM,
CHEMBL505899,IC50,900.0,nM,
CHEMBL511030,IC50,27000.0,nM,
CHEMBL525587,IC50,125000.0,nM,
CHEMBL444490,IC50,250000.0,nM,
CHEMBL524825,IC50,125000.0,nM,
CHEMBL502310,IC50,169000.0,nM,
CHEMBL446284,IC50,2000.0,nM,
CHEMBL510716,IC50,1700.0,nM,
CHEMBL504919,IC50,16000.0,nM,
CHEMBL499766,IC50,2000.0,nM,
CHEMBL524659,IC50,2000.0,nM,
CHEMBL526861,IC50,18000.0,nM,
CHEMBL506647,IC50,2000.0,nM,
CHEMBL503890,IC50,500000.0,nM,
CHEMBL507344,IC50,125000.0,nM,
CHEMBL525605,IC50,125000.0,nM,
CHEMBL504226,IC50,20000.0,nM,
CHEMBL507004,IC50,21000.0,nM,
CHEMBL525060,IC50,30000.0,nM,
CHEMBL524483,IC50,96000.0,nM,
CHEMBL524301,IC50,125000.0,nM,
CHEMBL527054,IC50,107000.0,nM,
CHEMBL500525,IC50,125000.0,nM,
CHEMBL504968,IC50,125000.0,nM,
CHEMBL526348,IC50,125000.0,nM,
CHEMBL501035,IC50,125000.0,nM,
CHEMBL524711,IC50,125000.0,nM,
CHEMBL510017,IC50,30000.0,nM,
CHEMBL504145,IC50,95000.0,nM,
CHEMBL508486,IC50,23000.0,nM,
CHEMBL508702,Kd,250000.0,nM,
CHEMBL499664,Kd,22000.0,nM,
CHEMBL499402,Kd,12000.0,nM,
CHEMBL506644,Kd,10000.0,nM,
CHEMBL500533,Kd,250000.0,nM,
CHEMBL525265,Kd,46.0,nM,
CHEMBL503983,Kd,58.0,nM,
CHEMBL504423,Kd,59.0,nM,
CHEMBL525782,Kd,92000.0,nM,
CHEMBL525614,Kd,86.0,nM,
CHEMBL505899,Kd,110.0,nM,
CHEMBL511030,Kd,2000.0,nM,
CHEMBL525587,Kd,250000.0,nM,
CHEMBL444490,Kd,,,
CHEMBL524825,Kd,88000.0,nM,
CHEMBL502310,Kd,18000.0,nM,
CHEMBL446284,Kd,170.0,nM,
CHEMBL510716,Kd,310.0,nM,
CHEMBL504919,Kd,2100.0,nM,
CHEMBL499766,Kd,310.0,nM,
CHEMBL524659,Kd,370.0,nM,
CHEMBL526861,Kd,2700.0,nM,
CHEMBL506647,Kd,250.0,nM,
CHEMBL503890,Kd,200000.0,nM,
CHEMBL507344,Kd,31000.0,nM,
CHEMBL525605,Kd,150000.0,nM,
CHEMBL504226,Kd,3800.0,nM,
CHEMBL507004,Kd,3900.0,nM,
CHEMBL525060,Kd,8000.0,nM,
CHEMBL524483,Kd,14000.0,nM,
CHEMBL524301,Kd,250000.0,nM,
