molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL17614,IC50,2800.0,nM,
CHEMBL17966,IC50,770.0,nM,
CHEMBL18219,IC50,63000.0,nM,
CHEMBL17687,IC50,1070.0,nM,
CHEMBL18380,IC50,185000.0,nM,
CHEMBL17879,IC50,890.0,nM,
CHEMBL332974,IC50,1.6,nM,
CHEMBL123319,IC50,580.0,nM,
CHEMBL122745,IC50,44.0,nM,
CHEMBL123444,IC50,690.0,nM,
CHEMBL332370,IC50,48.0,nM,
CHEMBL340291,IC50,22.0,nM,
CHEMBL125997,IC50,26.0,nM,
CHEMBL332606,IC50,2500.0,nM,
CHEMBL434814,IC50,200.0,nM,
CHEMBL124715,IC50,570.0,nM,
CHEMBL333922,IC50,1000.0,nM,
CHEMBL124239,IC50,970.0,nM,
CHEMBL332973,IC50,3.0,nM,
CHEMBL331235,IC50,1200.0,nM,
CHEMBL331631,IC50,320.0,nM,
CHEMBL331910,IC50,310.0,nM,
CHEMBL123542,IC50,1200.0,nM,
CHEMBL341104,IC50,8.0,nM,
CHEMBL122229,IC50,83.0,nM,
CHEMBL341082,IC50,35.0,nM,
CHEMBL122498,IC50,6.0,nM,
CHEMBL331015,IC50,320.0,nM,
CHEMBL96648,IC50,4400.0,nM,
CHEMBL96642,IC50,7100.0,nM,
CHEMBL96145,IC50,13300.0,nM,
CHEMBL96360,IC50,49000.0,nM,
CHEMBL94418,IC50,3500.0,nM,
CHEMBL96612,IC50,9200.0,nM,
CHEMBL96555,IC50,10800.0,nM,
CHEMBL18380,IC50,2550.0,nM,
CHEMBL185179,IC50,60000.0,nM,
CHEMBL182301,IC50,1600.0,nM,
CHEMBL185033,IC50,300000.0,nM,
CHEMBL184982,IC50,22000.0,nM,
CHEMBL367757,IC50,900.0,nM,
CHEMBL182671,IC50,1500.0,nM,
CHEMBL179911,IC50,300000.0,nM,
CHEMBL182965,IC50,300000.0,nM,
CHEMBL362668,IC50,300000.0,nM,
CHEMBL182697,IC50,32000.0,nM,
CHEMBL197152,IC50,13.0,nM,
CHEMBL194461,IC50,2.2,nM,
CHEMBL18219,IC50,6.8,nM,
CHEMBL196159,IC50,42.0,nM,
CHEMBL194785,IC50,1000.0,nM,
CHEMBL364658,IC50,41.0,nM,
CHEMBL382063,IC50,320.0,nM,
CHEMBL196658,IC50,11.0,nM,
CHEMBL383368,IC50,930.0,nM,
CHEMBL371033,IC50,7.3,nM,
CHEMBL197271,IC50,11.0,nM,
CHEMBL196443,IC50,7.0,nM,
CHEMBL197311,IC50,4.5,nM,
CHEMBL370886,IC50,47.0,nM,
CHEMBL197508,IC50,2.0,nM,
