molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL3809645,IC50,9100.0,nM,
CHEMBL58129,IC50,6600.0,nM,
CHEMBL3809112,IC50,7300.0,nM,
CHEMBL4243343,IC50,160000.0,nM,
CHEMBL4242404,IC50,69000.0,nM,
CHEMBL4249170,IC50,100000.0,nM,
CHEMBL4241017,IC50,95000.0,nM,
CHEMBL4248655,IC50,680000.0,nM,
CHEMBL383208,IC50,200000.0,nM,
CHEMBL441123,IC50,260000.0,nM,
CHEMBL3809112,IC50,7300.0,nM,
CHEMBL58129,IC50,6600.0,nM,
CHEMBL1232501,IC50,130000.0,nM,
CHEMBL4240267,IC50,170000.0,nM,
CHEMBL1233327,IC50,190000.0,nM,
CHEMBL104875,IC50,460000.0,nM,
CHEMBL17962,IC50,20000.0,nM,
CHEMBL292303,IC50,380000.0,nM,
CHEMBL54976,IC50,160000.0,nM,
CHEMBL1076637,IC50,380000.0,nM,
CHEMBL925,IC50,68000.0,nM,
CHEMBL379630,IC50,46000.0,nM,
CHEMBL301523,IC50,69000.0,nM,
CHEMBL4247184,IC50,101000.0,nM,
CHEMBL4251478,IC50,83000.0,nM,
CHEMBL4244201,IC50,470000.0,nM,
CHEMBL4248453,IC50,110000.0,nM,
CHEMBL4240451,IC50,96000.0,nM,
CHEMBL4239335,IC50,92000.0,nM,
CHEMBL4241703,IC50,36000.0,nM,
CHEMBL4244666,IC50,150000.0,nM,
CHEMBL4242607,IC50,76000.0,nM,
CHEMBL4248463,IC50,17000.0,nM,
CHEMBL4244215,IC50,29000.0,nM,
CHEMBL4238000,IC50,130000.0,nM,
CHEMBL4245490,IC50,260000.0,nM,
CHEMBL4249392,IC50,130000.0,nM,
CHEMBL4250045,IC50,810000.0,nM,
CHEMBL4247580,IC50,240000.0,nM,
CHEMBL291962,IC50,85000.0,nM,
CHEMBL1232258,IC50,220000.0,nM,
CHEMBL1233584,IC50,140000.0,nM,
CHEMBL4239366,IC50,3000000.0,nM,
CHEMBL42336,IC50,170000.0,nM,
CHEMBL1234268,IC50,120000.0,nM,
CHEMBL43068,IC50,68000.0,nM,
CHEMBL1232398,IC50,50000000.0,nM,
CHEMBL1009,IC50,100000.0,nM,
CHEMBL4239455,IC50,27700.0,nM,
CHEMBL4242544,IC50,32380.0,nM,
CHEMBL4464816,IC50,160000.0,nM,
CHEMBL4448346,IC50,1000000.0,nM,
CHEMBL4569744,IC50,1000000.0,nM,
CHEMBL4586342,IC50,440000.0,nM,
CHEMBL4587818,IC50,1000000.0,nM,
CHEMBL4457506,IC50,,,
CHEMBL4570233,IC50,,,
CHEMBL17962,IC50,110000.0,nM,
CHEMBL1233327,IC50,190000.0,nM,
CHEMBL4240267,IC50,170000.0,nM,
CHEMBL301523,IC50,69000.0,nM,
CHEMBL4243343,IC50,160000.0,nM,
CHEMBL4242404,IC50,69000.0,nM,
CHEMBL4249170,IC50,100000.0,nM,
CHEMBL54976,IC50,160000.0,nM,
CHEMBL4559029,IC50,340000.0,nM,
CHEMBL4526588,IC50,980.0,nM,
CHEMBL2074957,IC50,112000.0,nM,
CHEMBL4522605,IC50,18200.0,nM,
CHEMBL4538666,IC50,790.0,nM,
CHEMBL4538666,IC50,60.0,nM,
CHEMBL4642431,IC50,3480.0,nM,
CHEMBL4760569,IC50,200000.0,nM,
CHEMBL4757756,IC50,200000.0,nM,
CHEMBL216796,IC50,200000.0,nM,
CHEMBL4749347,IC50,200000.0,nM,
CHEMBL4755600,IC50,200000.0,nM,
CHEMBL4742824,IC50,200000.0,nM,
CHEMBL42336,IC50,180000.0,nM,
CHEMBL1233584,IC50,150000.0,nM,
CHEMBL291962,IC50,87000.0,nM,
CHEMBL773,IC50,200000.0,nM,
CHEMBL5219332,IC50,18200.0,nM,
CHEMBL5220432,Ki,2100000.0,nM,
