molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL2058359,IC50,100.0,nM,
CHEMBL2058358,IC50,360.0,nM,
CHEMBL2058357,IC50,1000.0,nM,
CHEMBL2058356,IC50,1000.0,nM,
CHEMBL2058355,IC50,1000.0,nM,
CHEMBL2058354,IC50,1000.0,nM,
CHEMBL2058353,IC50,1000.0,nM,
CHEMBL2058352,IC50,1000.0,nM,
CHEMBL2058351,IC50,1000.0,nM,
CHEMBL2058350,IC50,1000.0,nM,
CHEMBL2058349,IC50,260.0,nM,
CHEMBL2058348,IC50,1000.0,nM,
CHEMBL2058347,IC50,1670.0,nM,
CHEMBL2058346,IC50,600.0,nM,
CHEMBL2058345,IC50,900.0,nM,
CHEMBL2058344,IC50,680.0,nM,
CHEMBL2058343,IC50,190.0,nM,
CHEMBL2058342,IC50,1000.0,nM,
CHEMBL2058341,IC50,1000.0,nM,
CHEMBL2058340,IC50,1000.0,nM,
CHEMBL2057220,IC50,580.0,nM,
CHEMBL2058339,IC50,400.0,nM,
CHEMBL2058093,IC50,1000.0,nM,
CHEMBL2058092,IC50,230.0,nM,
CHEMBL2058091,IC50,400.0,nM,
CHEMBL2058090,IC50,1000.0,nM,
CHEMBL2058089,IC50,1000.0,nM,
CHEMBL2058088,IC50,1000.0,nM,
CHEMBL2058087,IC50,1000.0,nM,
CHEMBL2058086,IC50,1000.0,nM,
CHEMBL2058085,IC50,1000.0,nM,
CHEMBL2058084,IC50,1000.0,nM,
CHEMBL2058083,IC50,1000.0,nM,
CHEMBL2058082,IC50,1000.0,nM,
CHEMBL2058081,IC50,1000.0,nM,
CHEMBL2058080,IC50,1000.0,nM,
CHEMBL2058079,IC50,1000.0,nM,
CHEMBL2058078,IC50,540.0,nM,
CHEMBL2058077,IC50,1000.0,nM,
CHEMBL2058076,IC50,330.0,nM,
CHEMBL2058075,IC50,7600.0,nM,
CHEMBL2058074,IC50,6600.0,nM,
CHEMBL2377611,IC50,100.0,nM,
CHEMBL2377610,IC50,190.0,nM,
CHEMBL2377612,IC50,470.0,nM,
CHEMBL2377613,IC50,1000.0,nM,
CHEMBL2377614,IC50,330.0,nM,
CHEMBL2377616,IC50,1000.0,nM,
CHEMBL2377615,IC50,1000.0,nM,
CHEMBL2377617,IC50,130.0,nM,
CHEMBL2377619,IC50,430.0,nM,
CHEMBL2377618,IC50,780.0,nM,
CHEMBL2377620,IC50,41.0,nM,
CHEMBL2377622,IC50,100.0,nM,
CHEMBL2377621,IC50,46.0,nM,
CHEMBL2377623,IC50,520.0,nM,
CHEMBL2377754,IC50,1000.0,nM,
CHEMBL2377753,IC50,1000.0,nM,
CHEMBL2377755,IC50,1000.0,nM,
CHEMBL2377757,IC50,200.0,nM,
CHEMBL2377756,IC50,1000.0,nM,
CHEMBL2377758,IC50,1000.0,nM,
CHEMBL2377759,IC50,1000.0,nM,
CHEMBL2377761,IC50,250.0,nM,
CHEMBL2377760,IC50,280.0,nM,
CHEMBL2377763,IC50,120.0,nM,
CHEMBL2377762,IC50,490.0,nM,
CHEMBL2377764,IC50,180.0,nM,
CHEMBL2377765,IC50,490.0,nM,
CHEMBL1711675,IC50,1000.0,nM,
CHEMBL2377767,IC50,430.0,nM,
CHEMBL2377766,IC50,77.0,nM,
CHEMBL2377768,IC50,3000.0,nM,
CHEMBL2377769,IC50,26.0,nM,
CHEMBL2058359,IC50,100.0,nM,
