molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL1770249,IC50,89.9,nM,
CHEMBL1770248,IC50,0.877,nM,
CHEMBL1770247,IC50,43.1,nM,
CHEMBL1770246,IC50,0.882,nM,
CHEMBL1770245,IC50,1.11,nM,
CHEMBL1770244,IC50,1.07,nM,
CHEMBL1090058,IC50,6.98,nM,
CHEMBL429910,IC50,1.35,nM,
CHEMBL1778657,IC50,59.5,nM,
CHEMBL1778658,IC50,89.6,nM,
CHEMBL1778659,IC50,103.0,nM,
CHEMBL1778794,IC50,81.9,nM,
CHEMBL1778795,IC50,99.7,nM,
CHEMBL245067,IC50,16.0,nM,
CHEMBL450044,IC50,260.0,nM,
CHEMBL270766,IC50,4.8,nM,
CHEMBL1819484,IC50,690.0,nM,
CHEMBL1819485,IC50,59.0,nM,
CHEMBL1819486,IC50,28.0,nM,
CHEMBL1819487,IC50,120.0,nM,
CHEMBL1819488,IC50,150.0,nM,
CHEMBL1819489,IC50,11.0,nM,
CHEMBL1819490,IC50,29.0,nM,
CHEMBL1819491,IC50,42.0,nM,
CHEMBL1817688,IC50,110.0,nM,
CHEMBL1819492,IC50,19.0,nM,
CHEMBL1819493,IC50,290.0,nM,
CHEMBL1819494,IC50,630.0,nM,
CHEMBL1819495,IC50,150.0,nM,
CHEMBL1819496,IC50,120.0,nM,
