molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL1909428,IC50,21000.0,nM,
CHEMBL1256759,IC50,240000.0,nM,
CHEMBL45068,IC50,41000.0,nM,
CHEMBL275084,IC50,970000.0,nM,
CHEMBL76602,IC50,991000.0,nM,
CHEMBL76602,IC50,10700.0,nM,
CHEMBL2442511,IC50,30000.0,nM,
CHEMBL2442507,IC50,30000.0,nM,
CHEMBL2442506,IC50,30000.0,nM,
CHEMBL2442505,IC50,30000.0,nM,
CHEMBL2442504,IC50,30000.0,nM,
CHEMBL2442503,IC50,30000.0,nM,
CHEMBL2442517,IC50,30000.0,nM,
CHEMBL2442516,IC50,30000.0,nM,
CHEMBL1303766,IC50,250.0,nM,
CHEMBL76602,IC50,43500.0,nM,
CHEMBL2442509,IC50,10.0,nM,
CHEMBL2442508,IC50,7900.0,nM,
CHEMBL2442514,IC50,2400.0,nM,
CHEMBL1830821,IC50,2300.0,nM,
CHEMBL2442513,IC50,1900.0,nM,
CHEMBL2442510,IC50,1400.0,nM,
CHEMBL2442515,IC50,1250.0,nM,
CHEMBL1303766,IC50,860.0,nM,
CHEMBL2442512,IC50,730.0,nM,
CHEMBL2442509,IC50,59.0,nM,
CHEMBL4802043,Ki,11.0,nM,
CHEMBL4802043,IC50,1.0,nM,
CHEMBL4802046,IC50,506.0,nM,
CHEMBL5219543,IC50,1.0,nM,
CHEMBL1616099,IC50,1.0,nM,
CHEMBL1399124,IC50,1.0,nM,
CHEMBL5219543,IC50,1.0,nM,
CHEMBL1616099,IC50,1.0,nM,
CHEMBL1399124,IC50,1.0,nM,
CHEMBL76602,IC50,150000.0,nM,
CHEMBL3582419,IC50,14.0,nM,
CHEMBL3582420,IC50,17.0,nM,
CHEMBL3582421,IC50,85.0,nM,
CHEMBL3892299,IC50,32.0,nM,
CHEMBL3582501,IC50,58.0,nM,
CHEMBL3582500,IC50,53.0,nM,
CHEMBL3582422,IC50,23.0,nM,
CHEMBL5268154,IC50,0.3,nM,
CHEMBL5270910,IC50,0.57,nM,
CHEMBL5267318,IC50,0.36,nM,
CHEMBL2107549,Ki,30200.0,nM,
CHEMBL5280178,IC50,600.0,nM,
CHEMBL5289665,IC50,500.0,nM,
CHEMBL5284747,IC50,2100.0,nM,
CHEMBL5268331,IC50,50000.0,nM,
CHEMBL5278728,IC50,16000.0,nM,
CHEMBL5270138,IC50,24000.0,nM,
CHEMBL5286299,IC50,4100.0,nM,
CHEMBL5275512,IC50,50000.0,nM,
CHEMBL5284813,IC50,50000.0,nM,
CHEMBL5272224,IC50,15000.0,nM,
CHEMBL5278885,IC50,7400.0,nM,
CHEMBL5281759,IC50,1800.0,nM,
CHEMBL5286769,IC50,1100.0,nM,
CHEMBL5268499,IC50,50000.0,nM,
CHEMBL5289668,IC50,3000.0,nM,
CHEMBL5287021,IC50,3400.0,nM,
CHEMBL5286036,IC50,1400.0,nM,
CHEMBL5281536,IC50,50000.0,nM,
CHEMBL5288528,IC50,100000.0,nM,
CHEMBL5272951,IC50,1200.0,nM,
CHEMBL5268038,IC50,50000.0,nM,
CHEMBL5279664,IC50,8700.0,nM,
CHEMBL5284913,IC50,100.0,nM,
CHEMBL5285385,IC50,800.0,nM,
CHEMBL5289504,IC50,300.0,nM,
CHEMBL5277120,IC50,21000.0,nM,
CHEMBL5289345,IC50,1200.0,nM,
CHEMBL5282166,IC50,16000.0,nM,
CHEMBL5268966,IC50,177000.0,nM,
CHEMBL5266104,IC50,245000.0,nM,
CHEMBL5287351,IC50,153000.0,nM,
CHEMBL5287780,IC50,209000.0,nM,
CHEMBL5271816,IC50,283000.0,nM,
CHEMBL5288904,IC50,234000.0,nM,
CHEMBL5267752,IC50,34000.0,nM,
CHEMBL5265956,IC50,34000.0,nM,
CHEMBL5282741,IC50,91000.0,nM,
CHEMBL5276884,IC50,29000.0,nM,
CHEMBL5279064,IC50,17000.0,nM,
CHEMBL5267349,IC50,3000.0,nM,
CHEMBL4802043,IC50,1000.0,nM,
CHEMBL5281492,IC50,3000.0,nM,
CHEMBL5271238,IC50,900.0,nM,
CHEMBL5280173,IC50,2700.0,nM,
CHEMBL5281178,IC50,1800.0,nM,
CHEMBL5282855,IC50,2700.0,nM,
CHEMBL5266771,IC50,4900.0,nM,
CHEMBL5280833,IC50,23000.0,nM,
CHEMBL5266150,IC50,600.0,nM,
CHEMBL5281466,IC50,600.0,nM,
CHEMBL5291036,IC50,400.0,nM,
CHEMBL5280358,IC50,200.0,nM,
CHEMBL5280269,IC50,800.0,nM,
CHEMBL5282350,IC50,700.0,nM,
CHEMBL5278014,IC50,200.0,nM,
CHEMBL5290111,IC50,50.0,nM,
CHEMBL5287835,IC50,100.0,nM,
CHEMBL5291399,IC50,100.0,nM,
CHEMBL5274725,IC50,300.0,nM,
CHEMBL5272725,IC50,1000.0,nM,
CHEMBL5267892,IC50,3800.0,nM,
CHEMBL5290121,IC50,50000.0,nM,
CHEMBL5285939,IC50,3700.0,nM,
CHEMBL5278508,IC50,9200.0,nM,
CHEMBL5272506,IC50,30000.0,nM,
CHEMBL5272899,IC50,3700.0,nM,
CHEMBL5286392,IC50,2900.0,nM,
CHEMBL5280923,IC50,40.0,nM,
CHEMBL5268302,IC50,240.0,nM,
CHEMBL5284412,IC50,570.0,nM,
CHEMBL5279333,IC50,960.0,nM,
CHEMBL5268233,IC50,25000.0,nM,
CHEMBL5282978,IC50,8800.0,nM,
CHEMBL5268966,IC50,215.0,nM,
CHEMBL5268966,Ki,37.0,nM,
CHEMBL5266104,IC50,579.0,nM,
CHEMBL5266104,Ki,99.0,nM,
CHEMBL5287351,IC50,139.0,nM,
CHEMBL5287351,Ki,29.0,nM,
CHEMBL5287780,IC50,154.0,nM,
CHEMBL5287780,Ki,32.0,nM,
CHEMBL5271816,IC50,1020.0,nM,
CHEMBL5271816,Ki,222.0,nM,
CHEMBL5288904,IC50,243.0,nM,
CHEMBL5288904,Ki,51.0,nM,
CHEMBL5267752,IC50,79.0,nM,
CHEMBL5267752,Ki,17.0,nM,
CHEMBL5265956,IC50,490.0,nM,
CHEMBL5265956,Ki,56.0,nM,
CHEMBL5276884,IC50,99.0,nM,
CHEMBL5276884,Ki,11.0,nM,
CHEMBL5279064,IC50,92.0,nM,
CHEMBL5279064,Ki,16.0,nM,
CHEMBL5267349,IC50,80.0,nM,
CHEMBL5267349,Ki,17.0,nM,
CHEMBL4802043,IC50,77.0,nM,
CHEMBL4802043,Ki,11.0,nM,
CHEMBL5281492,IC50,62.0,nM,
CHEMBL5281492,Ki,17.0,nM,
CHEMBL5267752,IC50,18.0,nM,
CHEMBL5282741,IC50,13.0,nM,
CHEMBL5287835,IC50,21.0,nM,
CHEMBL3335793,IC50,30000.0,nM,
CHEMBL375166,IC50,30000.0,nM,
CHEMBL5267752,IC50,13000.0,nM,
CHEMBL5282741,IC50,8200.0,nM,
CHEMBL5287835,IC50,2700.0,nM,
CHEMBL3335793,IC50,7.1,nM,
CHEMBL375166,IC50,2.5,nM,
CHEMBL5267752,IC50,50000.0,nM,
CHEMBL5282741,IC50,10000.0,nM,
