molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL517,IC50,66000.0,nM,
CHEMBL932,IC50,26000.0,nM,
CHEMBL11,IC50,10000.0,nM,
CHEMBL95,IC50,1100.0,nM,
CHEMBL900,IC50,65000.0,nM,
CHEMBL46,IC50,150.0,nM,
CHEMBL30,IC50,5700.0,nM,
CHEMBL55,IC50,410.0,nM,
CHEMBL1502,IC50,2800.0,nM,
CHEMBL360861,IC50,650.0,nM,
CHEMBL46,IC50,10.0,nM,
CHEMBL58,IC50,190.0,nM,
CHEMBL941,IC50,40.0,nM,
CHEMBL115,IC50,1900.0,nM,
CHEMBL163,IC50,2100.0,nM,
CHEMBL481,IC50,4300.0,nM,
CHEMBL55,IC50,2000.0,nM,
CHEMBL1502,IC50,2800.0,nM,
CHEMBL360861,IC50,1100.0,nM,
CHEMBL46,IC50,30.0,nM,
CHEMBL58,IC50,400.0,nM,
CHEMBL941,IC50,50.0,nM,
CHEMBL115,IC50,1700.0,nM,
CHEMBL163,IC50,80.0,nM,
CHEMBL481,IC50,2100.0,nM,
CHEMBL48361,IC50,8100.0,nM,
CHEMBL1431,IC50,250000.0,nM,
CHEMBL30,IC50,1200.0,nM,
CHEMBL55,IC50,2700.0,nM,
CHEMBL1502,IC50,43200.0,nM,
CHEMBL360861,IC50,6500.0,nM,
CHEMBL46,IC50,160.0,nM,
CHEMBL902,IC50,760.0,nM,
CHEMBL58,IC50,530.0,nM,
CHEMBL941,IC50,350.0,nM,
CHEMBL115,IC50,7800.0,nM,
CHEMBL163,IC50,4400.0,nM,
CHEMBL1201187,IC50,17300.0,nM,
CHEMBL85,IC50,1600.0,nM,
CHEMBL1112,IC50,130000.0,nM,
CHEMBL1423,IC50,500000.0,nM,
CHEMBL128,IC50,6700.0,nM,
CHEMBL1499,IC50,21400.0,nM,
CHEMBL134,IC50,33300.0,nM,
CHEMBL1294,IC50,11200.0,nM,
CHEMBL5315124,IC50,17900.0,nM,
CHEMBL1393,IC50,18600.0,nM,
CHEMBL191,IC50,250000.0,nM,
CHEMBL1513,IC50,500000.0,nM,
CHEMBL384467,IC50,500000.0,nM,
CHEMBL532,IC50,500000.0,nM,
CHEMBL35,IC50,500000.0,nM,
CHEMBL79,IC50,500000.0,nM,
CHEMBL6,IC50,500000.0,nM,
CHEMBL139,IC50,500000.0,nM,
CHEMBL1000,IC50,500000.0,nM,
CHEMBL578,IC50,500000.0,nM,
CHEMBL625,IC50,500000.0,nM,
CHEMBL573,IC50,500000.0,nM,
CHEMBL16073,IC50,500000.0,nM,
CHEMBL455,IC50,500000.0,nM,
CHEMBL1413,IC50,500000.0,nM,
CHEMBL1489,IC50,500000.0,nM,
CHEMBL1790041,IC50,8300.0,nM,
CHEMBL660,IC50,37800.0,nM,
CHEMBL364713,IC50,34500.0,nM,
CHEMBL296419,IC50,26400.0,nM,
CHEMBL1017,IC50,17900.0,nM,
CHEMBL1201356,IC50,250000.0,nM,
CHEMBL723,IC50,92400.0,nM,
CHEMBL481,IC50,7900.0,nM,
CHEMBL84,IC50,1300.0,nM,
CHEMBL603,IC50,1300.0,nM,
CHEMBL691,IC50,21100.0,nM,
CHEMBL219916,IC50,2300.0,nM,
CHEMBL289469,IC50,5000.0,nM,
CHEMBL49,IC50,1700.0,nM,
CHEMBL1732,IC50,2800.0,nM,
CHEMBL2,IC50,1600.0,nM,
CHEMBL959,IC50,7300.0,nM,
CHEMBL590799,IC50,2900.0,nM,
CHEMBL1200629,IC50,1900.0,nM,
CHEMBL790,IC50,700.0,nM,
CHEMBL290106,IC50,5200.0,nM,
CHEMBL339427,IC50,9400.0,nM,
CHEMBL87563,IC50,500.0,nM,
CHEMBL1106,IC50,1100.0,nM,
CHEMBL4550375,IC50,10000.0,nM,
CHEMBL30,IC50,2200.0,nM,
CHEMBL5194558,IC50,2000.0,nM,
CHEMBL2261341,IC50,100000.0,nM,
CHEMBL5199918,IC50,100000.0,nM,
CHEMBL5182787,IC50,100000.0,nM,
