molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL495936,Km,97.0,nM,
CHEMBL508538,Km,320.0,nM,
CHEMBL1543,Km,5000000.0,nM,
CHEMBL509919,Km,12000.0,nM,
CHEMBL1372,Km,93000.0,nM,
CHEMBL2074718,Km,50.0,nM,
CHEMBL495936,Km,97.0,nM,
CHEMBL495936,Km,98.0,nM,
CHEMBL495936,Km,125.0,nM,
CHEMBL495936,Km,135.0,nM,
CHEMBL2074719,Km,189.0,nM,
CHEMBL2074751,Km,370.0,nM,
CHEMBL494753,Km,730.0,nM,
CHEMBL2074753,Km,750.0,nM,
CHEMBL2074754,Km,,,
CHEMBL2074755,Km,1140.0,nM,
CHEMBL213947,Km,1200.0,nM,
CHEMBL178,Km,1400.0,nM,
CHEMBL2074756,Km,1400.0,nM,
CHEMBL1697724,Km,1500.0,nM,
CHEMBL2074757,Km,1600.0,nM,
CHEMBL509919,Km,12000.0,nM,
CHEMBL2074786,Km,155000.0,nM,
CHEMBL1697724,Km,2500.0,nM,
CHEMBL34259,Km,2150000.0,nM,
CHEMBL1973733,Km,268000.0,nM,
CHEMBL213947,Km,3600.0,nM,
CHEMBL463,Km,372000.0,nM,
CHEMBL2074826,Km,39000.0,nM,
CHEMBL1697724,Km,4800.0,nM,
CHEMBL2074781,Km,43000.0,nM,
CHEMBL259898,Km,5000.0,nM,
CHEMBL2074782,Km,5000.0,nM,
CHEMBL34259,Km,930000.0,nM,
CHEMBL2074781,Km,93000.0,nM,
CHEMBL1644,Km,3900000.0,nM,
CHEMBL1644,Vmax,12.4,nmol/min,
