molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL1927145,Ki,590.0,nM,
CHEMBL1927146,Ki,360.0,nM,
CHEMBL1926690,Ki,1425.0,nM,
CHEMBL1927147,Ki,414.0,nM,
CHEMBL1927148,Ki,670.0,nM,
CHEMBL1927149,Ki,615.0,nM,
CHEMBL1927150,Ki,475.0,nM,
CHEMBL1927151,Ki,585.0,nM,
CHEMBL1927152,Ki,740.0,nM,
CHEMBL1927153,Ki,730.0,nM,
CHEMBL1927154,Ki,690.0,nM,
CHEMBL1927155,Ki,955.0,nM,
CHEMBL1927156,Ki,1150.0,nM,
CHEMBL1927157,Ki,543.0,nM,
CHEMBL1927158,Ki,610.0,nM,
CHEMBL1927159,Ki,690.0,nM,
CHEMBL1927160,Ki,490.0,nM,
CHEMBL3347584,IC50,100000.0,nM,
CHEMBL3347583,IC50,100000.0,nM,
CHEMBL3347567,IC50,100000.0,nM,
CHEMBL3347566,IC50,100000.0,nM,
CHEMBL3347555,IC50,,,
CHEMBL3347554,IC50,14000.0,nM,
CHEMBL3347551,IC50,100000.0,nM,
CHEMBL3347550,IC50,100000.0,nM,
CHEMBL3347549,IC50,79000.0,nM,
CHEMBL3347543,IC50,31000.0,nM,
CHEMBL3347542,IC50,100000.0,nM,
CHEMBL3347525,IC50,100000.0,nM,
CHEMBL3347524,IC50,100000.0,nM,
CHEMBL3347503,IC50,50000.0,nM,
CHEMBL3347502,IC50,18000.0,nM,
CHEMBL3347501,IC50,100000.0,nM,
CHEMBL3347492,IC50,36000.0,nM,
CHEMBL3347491,IC50,20000.0,nM,
CHEMBL3347491,IC50,20000.0,nM,
CHEMBL3347501,IC50,100000.0,nM,
CHEMBL3347492,IC50,36000.0,nM,
CHEMBL3347502,IC50,18000.0,nM,
CHEMBL3347503,IC50,50000.0,nM,
CHEMBL3347524,IC50,100000.0,nM,
CHEMBL3347525,IC50,100000.0,nM,
CHEMBL3347542,IC50,100000.0,nM,
CHEMBL3347543,IC50,31000.0,nM,
CHEMBL3347549,IC50,79000.0,nM,
CHEMBL3347550,IC50,100000.0,nM,
CHEMBL3733336,IC50,100000.0,nM,
CHEMBL3347554,IC50,14000.0,nM,
CHEMBL3347566,IC50,100000.0,nM,
CHEMBL3347567,IC50,100000.0,nM,
CHEMBL3347555,IC50,100000.0,nM,
CHEMBL3347583,IC50,100000.0,nM,
CHEMBL3347584,IC50,100000.0,nM,
CHEMBL5218591,IC50,570.0,nM,
