molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL2058360,IC50,10000.0,nM,
CHEMBL2058361,IC50,10000.0,nM,
CHEMBL2058362,IC50,10000.0,nM,
CHEMBL2058363,IC50,10000.0,nM,
CHEMBL2058364,IC50,10000.0,nM,
CHEMBL2058365,IC50,10000.0,nM,
CHEMBL2058607,IC50,10000.0,nM,
CHEMBL2058608,IC50,10000.0,nM,
CHEMBL2058609,IC50,10000.0,nM,
CHEMBL2058610,IC50,10000.0,nM,
CHEMBL2058611,IC50,10000.0,nM,
CHEMBL2058612,IC50,10000.0,nM,
CHEMBL2058613,IC50,10000.0,nM,
CHEMBL2058614,IC50,10000.0,nM,
CHEMBL2058615,IC50,10000.0,nM,
CHEMBL2058616,IC50,10000.0,nM,
CHEMBL2058617,IC50,10000.0,nM,
CHEMBL2058618,IC50,10000.0,nM,
CHEMBL2058619,IC50,10000.0,nM,
CHEMBL2058620,IC50,10000.0,nM,
CHEMBL2058621,IC50,10000.0,nM,
CHEMBL2058622,IC50,10000.0,nM,
CHEMBL2058623,IC50,10000.0,nM,
CHEMBL2058624,IC50,10000.0,nM,
CHEMBL2058625,IC50,10000.0,nM,
CHEMBL2058626,IC50,10000.0,nM,
CHEMBL2058627,IC50,10000.0,nM,
CHEMBL2058628,IC50,10000.0,nM,
CHEMBL2058629,IC50,10000.0,nM,
CHEMBL2058630,IC50,10000.0,nM,
CHEMBL2058876,IC50,10000.0,nM,
CHEMBL2058877,IC50,10000.0,nM,
CHEMBL2058878,IC50,10000.0,nM,
CHEMBL2058879,IC50,10000.0,nM,
CHEMBL2058880,IC50,10000.0,nM,
CHEMBL2058881,IC50,10000.0,nM,
CHEMBL2058882,IC50,10000.0,nM,
CHEMBL2058883,IC50,10000.0,nM,
CHEMBL2058884,IC50,10000.0,nM,
CHEMBL2058885,IC50,10000.0,nM,
CHEMBL2058886,IC50,10000.0,nM,
CHEMBL2058887,IC50,10000.0,nM,
CHEMBL2058888,IC50,10000.0,nM,
CHEMBL2058889,IC50,10000.0,nM,
CHEMBL2058890,IC50,10000.0,nM,
CHEMBL2058891,IC50,10000.0,nM,
CHEMBL2058892,IC50,10000.0,nM,
CHEMBL2058893,IC50,10000.0,nM,
