molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL352418,IC50,188000.0,nM,
CHEMBL54922,IC50,2139000.0,nM,
CHEMBL285123,IC50,3937000.0,nM,
CHEMBL11298,IC50,292000.0,nM,
CHEMBL383715,IC50,3000000.0,nM,
CHEMBL4088806,IC50,377000.0,nM,
CHEMBL1232077,IC50,1322000.0,nM,
CHEMBL58832,IC50,656000.0,nM,
CHEMBL6251,IC50,10000000.0,nM,
CHEMBL930,IC50,3373000.0,nM,
CHEMBL378605,IC50,1217000.0,nM,
CHEMBL4091914,IC50,948000.0,nM,
CHEMBL378605,IC50,2000000.0,nM,
CHEMBL6251,IC50,2000000.0,nM,
CHEMBL1232077,IC50,2000000.0,nM,
CHEMBL4088806,IC50,2000000.0,nM,
CHEMBL352418,IC50,2000000.0,nM,
CHEMBL4064924,IC50,2000000.0,nM,
