molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL3576944,IC50,697000.0,nM,
CHEMBL3576943,IC50,677000.0,nM,
CHEMBL3576942,IC50,,,
CHEMBL3576941,IC50,,,
CHEMBL3576940,IC50,832000.0,nM,
CHEMBL3576939,IC50,,,
CHEMBL3576938,IC50,,,
CHEMBL3576937,IC50,,,
CHEMBL3576936,IC50,776000.0,nM,
CHEMBL3576935,IC50,,,
CHEMBL3576934,IC50,,,
CHEMBL3576933,IC50,,,
CHEMBL3576932,IC50,,,
CHEMBL3576931,IC50,,,
CHEMBL3576930,IC50,,,
CHEMBL3576929,IC50,312000.0,nM,
CHEMBL3576928,IC50,436000.0,nM,
CHEMBL3576927,IC50,664000.0,nM,
CHEMBL3576926,IC50,,,
CHEMBL6251,IC50,954000.0,nM,
CHEMBL6251,IC50,1200000.0,nM,
CHEMBL3753379,IC50,3700.0,nM,
CHEMBL3576945,IC50,30000.0,nM,
CHEMBL3576929,IC50,312000.0,nM,
CHEMBL6251,IC50,1000000.0,nM,
CHEMBL3753869,IC50,57200.0,nM,
CHEMBL3753592,IC50,11900.0,nM,
CHEMBL3752943,IC50,26000.0,nM,
CHEMBL3752249,IC50,33800.0,nM,
CHEMBL3752483,IC50,11500.0,nM,
CHEMBL3752700,IC50,141700.0,nM,
CHEMBL3752494,IC50,59600.0,nM,
CHEMBL3754498,IC50,7200.0,nM,
CHEMBL3752316,IC50,40100.0,nM,
CHEMBL3753808,IC50,50800.0,nM,
CHEMBL3754369,IC50,33700.0,nM,
CHEMBL3753173,IC50,25600.0,nM,
CHEMBL3754053,IC50,9600.0,nM,
CHEMBL3753993,IC50,17500.0,nM,
CHEMBL3752210,IC50,7900.0,nM,
CHEMBL3754059,IC50,13700.0,nM,
CHEMBL3752103,IC50,48300.0,nM,
CHEMBL3754415,IC50,69100.0,nM,
CHEMBL3753404,IC50,17600.0,nM,
CHEMBL352418,IC50,3475000.0,nM,
CHEMBL54922,IC50,10000000.0,nM,
CHEMBL285123,IC50,4913000.0,nM,
CHEMBL11298,IC50,822000.0,nM,
CHEMBL383715,IC50,3000000.0,nM,
CHEMBL4088806,IC50,437000.0,nM,
CHEMBL1232077,IC50,1728000.0,nM,
CHEMBL58832,IC50,674000.0,nM,
CHEMBL6251,IC50,1133000.0,nM,
CHEMBL930,IC50,541000.0,nM,
CHEMBL378605,IC50,945000.0,nM,
CHEMBL4091914,IC50,428000.0,nM,
CHEMBL378605,IC50,2000000.0,nM,
CHEMBL6251,IC50,2000000.0,nM,
CHEMBL1232077,IC50,2000000.0,nM,
CHEMBL4088806,IC50,2000000.0,nM,
CHEMBL352418,IC50,2000000.0,nM,
CHEMBL4064924,IC50,2000000.0,nM,
CHEMBL6251,IC50,1200000.0,nM,
CHEMBL3754053,IC50,9600.0,nM,
CHEMBL4867768,IC50,8100.0,nM,
