molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL321017,IC50,300.0,nM,
CHEMBL321017,IC50,300.0,nM,
CHEMBL504066,IC50,7.0,nM,
CHEMBL504066,IC50,20.0,nM,
CHEMBL466849,IC50,660.0,nM,
CHEMBL466849,IC50,5300.0,nM,
CHEMBL468523,IC50,2500.0,nM,
CHEMBL468523,IC50,10000.0,nM,
CHEMBL466245,IC50,390.0,nM,
CHEMBL468522,IC50,4600.0,nM,
CHEMBL466440,IC50,81000.0,nM,
CHEMBL506719,IC50,79000.0,nM,
CHEMBL506754,IC50,7400.0,nM,
CHEMBL513310,IC50,4400.0,nM,
CHEMBL578400,IC50,4.0,nM,
CHEMBL578400,IC50,4.0,nM,
CHEMBL578401,IC50,150.0,nM,
CHEMBL578401,IC50,200.0,nM,
CHEMBL1632089,IC50,9500.0,nM,
CHEMBL1632090,IC50,3800.0,nM,
CHEMBL1632091,IC50,3100.0,nM,
CHEMBL1632092,IC50,900.0,nM,
CHEMBL1632093,IC50,8200.0,nM,
CHEMBL1632094,IC50,4200.0,nM,
CHEMBL1632095,IC50,8700.0,nM,
CHEMBL1632096,IC50,3300.0,nM,
CHEMBL1632097,IC50,16900.0,nM,
CHEMBL1632098,IC50,3100.0,nM,
CHEMBL1629904,IC50,1300.0,nM,
CHEMBL1629905,IC50,600.0,nM,
CHEMBL1629906,IC50,6400.0,nM,
CHEMBL1629899,IC50,,,
CHEMBL1629900,IC50,4600.0,nM,
CHEMBL1629901,IC50,,,
CHEMBL1629902,IC50,2500.0,nM,
CHEMBL1629903,IC50,,,
CHEMBL1629907,IC50,5400.0,nM,
CHEMBL1629908,IC50,,,
CHEMBL1629878,IC50,16600.0,nM,
CHEMBL1629879,IC50,,,
CHEMBL1629880,IC50,,,
CHEMBL1629881,IC50,,,
CHEMBL1629882,IC50,,,
CHEMBL1629883,IC50,,,
CHEMBL1629884,IC50,11400.0,nM,
CHEMBL1629886,IC50,,,
CHEMBL1629888,IC50,,,
CHEMBL1629889,IC50,,,
CHEMBL1629891,IC50,,,
CHEMBL1629892,IC50,1000.0,nM,
CHEMBL1629893,IC50,23600.0,nM,
CHEMBL1629894,IC50,19200.0,nM,
CHEMBL1629895,IC50,9400.0,nM,
CHEMBL1629896,IC50,59000.0,nM,
CHEMBL1629897,IC50,10900.0,nM,
CHEMBL1629898,IC50,4500.0,nM,
CHEMBL1631029,IC50,,,
CHEMBL1631030,IC50,13700.0,nM,
CHEMBL1631032,IC50,26500.0,nM,
CHEMBL1631033,IC50,7000.0,nM,
CHEMBL1631034,IC50,4200.0,nM,
CHEMBL1631035,IC50,14500.0,nM,
CHEMBL1631036,IC50,7700.0,nM,
CHEMBL1631027,IC50,3200.0,nM,
CHEMBL1631028,IC50,49000.0,nM,
CHEMBL1631037,IC50,10400.0,nM,
CHEMBL1631038,IC50,4500.0,nM,
CHEMBL1631039,IC50,5500.0,nM,
CHEMBL1631040,IC50,3700.0,nM,
CHEMBL1631041,IC50,12900.0,nM,
CHEMBL1631042,IC50,2500.0,nM,
CHEMBL1631043,IC50,,,
CHEMBL1631044,IC50,,,
CHEMBL1631050,IC50,8300.0,nM,
CHEMBL1631051,IC50,2000.0,nM,
CHEMBL1631049,IC50,14000.0,nM,
CHEMBL1631048,IC50,10300.0,nM,
CHEMBL1631047,IC50,,,
CHEMBL1631046,IC50,1700.0,nM,
CHEMBL1631045,IC50,5500.0,nM,
CHEMBL1631052,IC50,6000.0,nM,
CHEMBL1631053,IC50,4600.0,nM,
CHEMBL1631054,IC50,,,
CHEMBL1631055,IC50,,,
CHEMBL1631056,IC50,3800.0,nM,
CHEMBL1631057,IC50,3100.0,nM,
CHEMBL1631058,IC50,,,
CHEMBL1631059,IC50,,,
CHEMBL1631060,IC50,,,
CHEMBL1631061,IC50,2100.0,nM,
CHEMBL1629728,IC50,3800.0,nM,
CHEMBL1631062,IC50,,,
CHEMBL1631063,IC50,,,
CHEMBL1631064,IC50,1000.0,nM,
CHEMBL1631065,IC50,3500.0,nM,
CHEMBL1631066,IC50,22000.0,nM,
CHEMBL1631067,IC50,6500.0,nM,
CHEMBL1631068,IC50,19000.0,nM,
CHEMBL1631069,IC50,6300.0,nM,
CHEMBL1631070,IC50,15000.0,nM,
CHEMBL1631071,IC50,14200.0,nM,
CHEMBL1631075,IC50,,,
CHEMBL1632073,IC50,4800.0,nM,
CHEMBL468523,IC50,2500.0,nM,
CHEMBL1632074,IC50,1100.0,nM,
CHEMBL1631074,IC50,12000.0,nM,
CHEMBL1631076,IC50,3600.0,nM,
CHEMBL1631073,IC50,3900.0,nM,
CHEMBL1631072,IC50,2600.0,nM,
CHEMBL1632075,IC50,4000.0,nM,
CHEMBL1632076,IC50,1100.0,nM,
CHEMBL1632077,IC50,2600.0,nM,
CHEMBL1632072,IC50,,,
CHEMBL1629869,IC50,11800.0,nM,
CHEMBL1632078,IC50,,,
CHEMBL1632079,IC50,6100.0,nM,
CHEMBL1632080,IC50,,,
CHEMBL1632081,IC50,8200.0,nM,
CHEMBL1632082,IC50,,,
CHEMBL1632083,IC50,12200.0,nM,
CHEMBL1632084,IC50,,,
CHEMBL1632085,IC50,4700.0,nM,
CHEMBL1632086,IC50,,,
CHEMBL1629885,IC50,8300.0,nM,
CHEMBL1629887,IC50,4800.0,nM,
CHEMBL1631031,IC50,4200.0,nM,
CHEMBL1629890,IC50,4400.0,nM,
CHEMBL1632087,IC50,4200.0,nM,
CHEMBL1632088,IC50,2500.0,nM,
CHEMBL3311502,EC50,86.0,nM,
CHEMBL3311372,EC50,150.0,nM,
CHEMBL3311373,EC50,290.0,nM,
CHEMBL3311374,EC50,360.0,nM,
CHEMBL3311500,EC50,360.0,nM,
CHEMBL3311498,EC50,370.0,nM,
CHEMBL3311379,EC50,560.0,nM,
CHEMBL3311378,EC50,840.0,nM,
