molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL2418982,EC50,1600.0,nM,
CHEMBL4092121,EC50,3600.0,nM,
CHEMBL4070472,EC50,3000.0,nM,
CHEMBL4081569,EC50,3000.0,nM,
CHEMBL4076151,EC50,4200.0,nM,
CHEMBL4070989,EC50,19000.0,nM,
CHEMBL4091833,EC50,30000.0,nM,
CHEMBL4075527,EC50,30000.0,nM,
CHEMBL3298091,EC50,13000.0,nM,
CHEMBL4087738,EC50,30000.0,nM,
CHEMBL4085267,EC50,14000.0,nM,
CHEMBL4075007,EC50,14000.0,nM,
CHEMBL3297906,EC50,11000.0,nM,
CHEMBL3297907,EC50,30000.0,nM,
CHEMBL3297908,EC50,30000.0,nM,
CHEMBL3297912,EC50,30000.0,nM,
CHEMBL1091524,EC50,30000.0,nM,
CHEMBL1088982,EC50,30000.0,nM,
CHEMBL1088840,EC50,30000.0,nM,
CHEMBL1092220,EC50,30000.0,nM,
CHEMBL3311372,EC50,150.0,nM,
CHEMBL4097145,EC50,16000.0,nM,
CHEMBL4088731,EC50,30000.0,nM,
CHEMBL4104163,EC50,,,
CHEMBL4098889,EC50,,,
CHEMBL4080856,EC50,,,
CHEMBL4060496,EC50,,,
CHEMBL4069943,EC50,,,
CHEMBL4079926,EC50,,,
