molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL311347,Ki,1.4,nM,
CHEMBL174088,Ki,24.0,nM,
CHEMBL106939,Ki,1350.0,nM,
CHEMBL104673,Ki,1205.0,nM,
CHEMBL107077,Ki,1992.0,nM,
CHEMBL432394,Ki,230.0,nM,
CHEMBL173427,Ki,32.0,nM,
CHEMBL41,Kd,240.0,nM,
CHEMBL555280,Kd,47900.0,nM,
CHEMBL540333,Kd,1540.0,nM,
CHEMBL623,Kd,360.0,nM,
CHEMBL641,Kd,2.03,nM,
CHEMBL544633,Kd,35800.0,nM,
CHEMBL637,Kd,1060.0,nM,
CHEMBL539050,Kd,44.0,nM,
CHEMBL490,Kd,40.0,nM,
CHEMBL809,Kd,420.0,nM,
CHEMBL543925,Kd,29.9,nM,
CHEMBL542501,Kd,3430.0,nM,
CHEMBL539054,Kd,22500.0,nM,
CHEMBL556025,Kd,2250.0,nM,
CHEMBL539564,Kd,21.0,nM,
CHEMBL306700,Kd,155.0,nM,
CHEMBL538053,Kd,1800.0,nM,
CHEMBL542746,Kd,12500.0,nM,
CHEMBL545557,Kd,55.0,nM,
CHEMBL342055,Ki,393.0,nM,
CHEMBL357322,Ki,10000.0,nM,
CHEMBL347772,Ki,5530.0,nM,
CHEMBL150045,Ki,3460.0,nM,
CHEMBL149246,Ki,7320.0,nM,
CHEMBL357312,Ki,10000.0,nM,
CHEMBL149878,Ki,10000.0,nM,
CHEMBL370805,Ki,108.0,nM,
CHEMBL132683,Ki,3060.0,nM,
CHEMBL132683,IC50,173.0,nM,
CHEMBL544370,Ki,8.8,nM,
CHEMBL544370,IC50,0.62,nM,
CHEMBL417049,Ki,29.0,nM,
CHEMBL417049,IC50,200.0,nM,
CHEMBL26320,Ki,630.0,nM,
CHEMBL26320,IC50,165.0,nM,
CHEMBL370805,Ki,1940.0,nM,
CHEMBL370805,IC50,233.0,nM,
CHEMBL336100,Ki,0.9,nM,
CHEMBL336100,IC50,5.0,nM,
CHEMBL781,Ki,18.0,nM,
CHEMBL781,IC50,4.9,nM,
CHEMBL133070,Ki,10000.0,nM,
CHEMBL67024,Ki,79.0,nM,
CHEMBL67024,IC50,170.0,nM,
CHEMBL130668,Ki,380.0,nM,
CHEMBL130668,IC50,1.9,nM,
CHEMBL443797,Ki,42.0,nM,
