molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL2371155,Ki,130000.0,nM,
CHEMBL1221620,Ki,330000.0,nM,
CHEMBL1161352,Ki,340000.0,nM,
CHEMBL1161360,Ki,3100000.0,nM,
CHEMBL191532,Ki,5400000.0,nM,
CHEMBL2372648,Ki,8300000.0,nM,
CHEMBL56351,Ki,380000.0,nM,
CHEMBL186269,Ki,2700000.0,nM,
CHEMBL357606,Ki,6300000.0,nM,
CHEMBL1161341,Ki,11000000.0,nM,
CHEMBL157332,Ki,7300000.0,nM,
CHEMBL439762,Ki,60000.0,nM,
CHEMBL1161365,Ki,290000.0,nM,
CHEMBL318725,Ki,14100000.0,nM,
CHEMBL2371151,Ki,1800000.0,nM,
CHEMBL1161355,Ki,330000.0,nM,
CHEMBL292467,Ki,1000000.0,nM,
CHEMBL2111209,Ki,1400000.0,nM,
CHEMBL1161346,Ki,2300000.0,nM,
CHEMBL299420,Ki,30000000.0,nM,
CHEMBL91392,Ki,350000.0,nM,
CHEMBL380047,Ki,260000.0,nM,
CHEMBL2371146,Ki,60000.0,nM,
CHEMBL2371153,Ki,130000.0,nM,
CHEMBL429950,Ki,110000.0,nM,
CHEMBL347510,Ki,330000.0,nM,
CHEMBL1807686,Ki,130000.0,nM,
CHEMBL94016,Ki,150000.0,nM,
CHEMBL2371142,Ki,30000000.0,nM,
CHEMBL601,Ki,790000.0,nM,
CHEMBL2371842,Ki,980000.0,nM,
CHEMBL425551,Ki,4900000.0,nM,
CHEMBL425551,Ki,15100000.0,nM,
CHEMBL293555,Ki,9500000.0,nM,
CHEMBL2371160,Ki,1200000.0,nM,
CHEMBL1161345,Ki,2900000.0,nM,
CHEMBL157008,Ki,9100000.0,nM,
CHEMBL17171,Ki,410000.0,nM,
CHEMBL2371154,Ki,140000.0,nM,
CHEMBL1161351,Ki,6900000.0,nM,
CHEMBL1161356,Ki,5400000.0,nM,
CHEMBL1161363,Ki,1500000.0,nM,
CHEMBL59426,Ki,22000000.0,nM,
CHEMBL2371149,Ki,480000.0,nM,
CHEMBL2372590,Ki,140000.0,nM,
CHEMBL2371157,Ki,250000.0,nM,
CHEMBL156844,Ki,10000.0,nM,
CHEMBL316103,Ki,90000.0,nM,
CHEMBL1161361,Ki,460000.0,nM,
CHEMBL2372591,Ki,5600000.0,nM,
CHEMBL154626,Ki,1200000.0,nM,
CHEMBL153975,Ki,30000000.0,nM,
CHEMBL2372592,Ki,30000000.0,nM,
CHEMBL1814491,Ki,2000000.0,nM,
CHEMBL90074,Ki,250000.0,nM,
CHEMBL209083,Ki,14000000.0,nM,
CHEMBL2371156,Ki,160000.0,nM,
CHEMBL190179,Ki,140000.0,nM,
CHEMBL1161340,Ki,12900000.0,nM,
CHEMBL175737,Ki,830000.0,nM,
CHEMBL1161368,Ki,1100000.0,nM,
CHEMBL189210,Ki,110000.0,nM,
CHEMBL1161347,Ki,7800000.0,nM,
CHEMBL90069,Ki,100000.0,nM,
CHEMBL447844,Ki,90000.0,nM,
CHEMBL93507,Ki,5620000.0,nM,
CHEMBL1807689,Ki,160000.0,nM,
CHEMBL1161364,Ki,400000.0,nM,
CHEMBL55868,Ki,110000.0,nM,
CHEMBL154156,Ki,4800000.0,nM,
CHEMBL365196,Ki,30000000.0,nM,
CHEMBL371579,Ki,200000.0,nM,
CHEMBL2371152,Ki,120000.0,nM,
CHEMBL2371838,Ki,7100000.0,nM,
CHEMBL8486,Ki,50000.0,nM,
CHEMBL1814488,Ki,90000.0,nM,
CHEMBL192867,Ki,140000.0,nM,
CHEMBL94250,Ki,140000.0,nM,
CHEMBL56119,Ki,160000.0,nM,
CHEMBL17503,Ki,320000.0,nM,
CHEMBL1161359,Ki,890000.0,nM,
CHEMBL346341,Ki,32000000.0,nM,
CHEMBL293494,Ki,470000.0,nM,
CHEMBL2371159,Ki,210000.0,nM,
CHEMBL55523,Ki,90000.0,nM,
CHEMBL190869,Ki,20000.0,nM,
CHEMBL414828,Ki,150000.0,nM,
CHEMBL2371139,Ki,1600000.0,nM,
CHEMBL284116,Ki,17400000.0,nM,
CHEMBL2371158,Ki,160000.0,nM,
CHEMBL541207,Ki,120000.0,nM,
CHEMBL52461,Ki,120000.0,nM,
CHEMBL2074938,Ki,320000.0,nM,
CHEMBL1814487,Ki,4200000.0,nM,
CHEMBL1161339,Ki,16600000.0,nM,
CHEMBL190027,Ki,20000000.0,nM,
CHEMBL52922,Ki,1900000.0,nM,
CHEMBL298979,Ki,730000.0,nM,
CHEMBL2371148,Ki,20000.0,nM,
CHEMBL80548,Ki,300000.0,nM,
CHEMBL2371145,Ki,70000.0,nM,
CHEMBL152123,Ki,310000.0,nM,
CHEMBL1161354,Ki,410000.0,nM,
CHEMBL157386,Ki,2800000.0,nM,
CHEMBL93127,Ki,1000000.0,nM,
CHEMBL417979,IC50,200.0,nM,
CHEMBL417979,Ki,200.0,nM,
CHEMBL274764,IC50,40500.0,nM,
CHEMBL274764,Ki,39800.0,nM,
CHEMBL10717,IC50,26800.0,nM,
CHEMBL10717,Ki,26400.0,nM,
CHEMBL10650,IC50,400.0,nM,
CHEMBL10650,Ki,400.0,nM,
CHEMBL429950,IC50,180.0,nM,
CHEMBL429950,Ki,180.0,nM,
CHEMBL2093921,IC50,447000.0,nM,
CHEMBL607668,IC50,166000.0,nM,
CHEMBL609093,IC50,342000.0,nM,
CHEMBL1791442,IC50,121000.0,nM,
CHEMBL608238,IC50,218000.0,nM,
CHEMBL609379,IC50,282000.0,nM,
CHEMBL607948,IC50,142000.0,nM,
CHEMBL607680,IC50,300000.0,nM,
CHEMBL608788,IC50,96000.0,nM,
CHEMBL610518,IC50,260000.0,nM,
CHEMBL607962,IC50,421000.0,nM,
CHEMBL608509,IC50,537000.0,nM,
CHEMBL607956,IC50,477000.0,nM,
CHEMBL1349,IC50,431000.0,nM,
CHEMBL187172,IC50,915000.0,nM,
CHEMBL187172,Ki,905000.0,nM,
CHEMBL189248,IC50,134000.0,nM,
CHEMBL189248,Ki,133000.0,nM,
CHEMBL189777,IC50,69000.0,nM,
CHEMBL189777,Ki,68000.0,nM,
CHEMBL188947,IC50,19000.0,nM,
CHEMBL188947,Ki,19000.0,nM,
CHEMBL434541,IC50,422000.0,nM,
CHEMBL434541,Ki,417000.0,nM,
CHEMBL190869,Ki,10000.0,nM,
CHEMBL2371834,Ki,20000.0,nM,
CHEMBL8486,Ki,50000.0,nM,
CHEMBL2371146,Ki,60000.0,nM,
CHEMBL190327,Ki,90000.0,nM,
CHEMBL316103,Ki,90000.0,nM,
CHEMBL191493,Ki,90000.0,nM,
CHEMBL190728,Ki,90000.0,nM,
CHEMBL361278,Ki,100000.0,nM,
CHEMBL190272,Ki,100000.0,nM,
CHEMBL190414,Ki,100000.0,nM,
CHEMBL90069,Ki,100000.0,nM,
CHEMBL187898,Ki,110000.0,nM,
CHEMBL190897,Ki,110000.0,nM,
CHEMBL188159,Ki,110000.0,nM,
CHEMBL429950,Ki,110000.0,nM,
CHEMBL55868,Ki,110000.0,nM,
CHEMBL190179,Ki,140000.0,nM,
CHEMBL447844,Ki,140000.0,nM,
CHEMBL189887,Ki,140000.0,nM,
CHEMBL427343,Ki,170000.0,nM,
CHEMBL434535,Ki,170000.0,nM,
CHEMBL189368,Ki,180000.0,nM,
CHEMBL189210,Ki,180000.0,nM,
CHEMBL371579,Ki,200000.0,nM,
CHEMBL363341,Ki,200000.0,nM,
CHEMBL188747,Ki,200000.0,nM,
CHEMBL364928,Ki,240000.0,nM,
CHEMBL90074,Ki,250000.0,nM,
CHEMBL190994,Ki,280000.0,nM,
CHEMBL80548,Ki,300000.0,nM,
CHEMBL188695,Ki,300000.0,nM,
CHEMBL188696,Ki,330000.0,nM,
CHEMBL191422,Ki,350000.0,nM,
CHEMBL297722,Ki,390000.0,nM,
CHEMBL17171,Ki,410000.0,nM,
CHEMBL190361,Ki,510000.0,nM,
CHEMBL66839,Ki,860000.0,nM,
CHEMBL2371842,Ki,970000.0,nM,
CHEMBL292467,Ki,1000000.0,nM,
CHEMBL93127,Ki,1000000.0,nM,
CHEMBL363832,Ki,1100000.0,nM,
CHEMBL371194,Ki,1200000.0,nM,
CHEMBL365790,Ki,1300000.0,nM,
CHEMBL190668,Ki,1400000.0,nM,
CHEMBL190085,Ki,1500000.0,nM,
CHEMBL17697,Ki,2100000.0,nM,
CHEMBL190549,Ki,2500000.0,nM,
CHEMBL186269,Ki,2700000.0,nM,
CHEMBL190126,Ki,2900000.0,nM,
CHEMBL190809,Ki,3100000.0,nM,
CHEMBL93127,Ki,4100000.0,nM,
CHEMBL1814487,Ki,4200000.0,nM,
CHEMBL362955,Ki,4300000.0,nM,
CHEMBL189696,Ki,4800000.0,nM,
CHEMBL425551,Ki,5000000.0,nM,
CHEMBL191532,Ki,5400000.0,nM,
CHEMBL191212,Ki,6400000.0,nM,
CHEMBL364484,Ki,7000000.0,nM,
CHEMBL2371838,Ki,7000000.0,nM,
CHEMBL94250,Ki,7300000.0,nM,
CHEMBL364278,Ki,7900000.0,nM,
CHEMBL189476,Ki,8300000.0,nM,
