molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL486028,Km,21400000.0,nM,
CHEMBL485830,Km,4200000.0,nM,
CHEMBL2074761,Km,118000.0,nM,
CHEMBL1349,Km,1640000.0,nM,
CHEMBL2074804,Km,21900.0,nM,
CHEMBL175737,Km,2100000.0,nM,
CHEMBL1349,Km,2200000.0,nM,
CHEMBL1349,Km,2700000.0,nM,
CHEMBL175737,Km,290000.0,nM,
CHEMBL1349,Km,292000.0,nM,
CHEMBL175737,Km,3130000.0,nM,
CHEMBL175737,Km,450000.0,nM,
CHEMBL175737,Km,500000.0,nM,
CHEMBL175737,Km,510000.0,nM,
CHEMBL1349,Km,5400000.0,nM,
CHEMBL1349,Km,5940000.0,nM,
CHEMBL2074827,Km,62900.0,nM,
CHEMBL1349,Km,6600000.0,nM,
CHEMBL175737,Km,700000.0,nM,
CHEMBL1349,Km,7400000.0,nM,
CHEMBL175737,Km,830000.0,nM,
CHEMBL2074841,Km,90900.0,nM,
CHEMBL175737,Km,290000.0,nM,
CHEMBL3707141,Km,860000.0,nM,
CHEMBL3707141,Vmax,24.7,pmol/OD/min,
CHEMBL1201110,Km,2200000.0,nM,
CHEMBL1201110,Km,7400000.0,nM,
CHEMBL1201110,Km,3800000.0,nM,
CHEMBL1201110,Km,5900000.0,nM,
CHEMBL2229108,Km,2530000.0,nM,
CHEMBL4540326,Km,860000.0,nM,
CHEMBL4460144,Km,650000.0,nM,
