molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL2372464,IC50,11100.0,nM,
CHEMBL2372489,IC50,15000.0,nM,
CHEMBL2372477,IC50,16100.0,nM,
CHEMBL2372501,IC50,1500.0,nM,
CHEMBL2372475,IC50,2700.0,nM,
CHEMBL2372507,IC50,1600.0,nM,
CHEMBL2372481,IC50,8000.0,nM,
CHEMBL2372467,IC50,,nM,
CHEMBL2372490,IC50,100000.0,nM,
CHEMBL2372499,IC50,1500.0,nM,
CHEMBL2372496,IC50,23000.0,nM,
CHEMBL2372469,IC50,100000.0,nM,
CHEMBL2372486,IC50,4300.0,nM,
CHEMBL2370885,IC50,2300.0,nM,
CHEMBL2372480,IC50,2200.0,nM,
CHEMBL2369933,IC50,5200.0,nM,
CHEMBL2372465,IC50,30000.0,nM,
CHEMBL2372478,IC50,100000.0,nM,
CHEMBL2372468,IC50,8800.0,nM,
CHEMBL2372497,IC50,3400.0,nM,
CHEMBL2372492,IC50,14100.0,nM,
CHEMBL2372505,IC50,6000.0,nM,
CHEMBL2372483,IC50,4600.0,nM,
CHEMBL2372461,IC50,8400.0,nM,
CHEMBL2370884,IC50,2100.0,nM,
CHEMBL2372460,IC50,8800.0,nM,
CHEMBL2021596,IC50,15500.0,nM,
CHEMBL2372471,IC50,4700.0,nM,
CHEMBL2372502,IC50,5100.0,nM,
CHEMBL2372476,IC50,8100.0,nM,
CHEMBL2372472,IC50,50000.0,nM,
CHEMBL2372457,IC50,5600.0,nM,
CHEMBL2372456,IC50,1300.0,nM,
CHEMBL2372494,IC50,3400.0,nM,
CHEMBL2372470,IC50,2000.0,nM,
CHEMBL2372466,IC50,6400.0,nM,
CHEMBL2372473,IC50,130000.0,nM,
CHEMBL2372491,IC50,42000.0,nM,
CHEMBL2372485,IC50,5700.0,nM,
CHEMBL160,IC50,3400.0,nM,
CHEMBL2372482,IC50,50000.0,nM,
CHEMBL2372504,IC50,2100.0,nM,
CHEMBL2372487,IC50,1600.0,nM,
CHEMBL2372500,IC50,4000.0,nM,
CHEMBL2372503,IC50,1900.0,nM,
CHEMBL2370883,IC50,17000.0,nM,
CHEMBL2372493,IC50,100000.0,nM,
CHEMBL2372508,IC50,30000.0,nM,
CHEMBL2372459,IC50,13100.0,nM,
CHEMBL2372484,IC50,2400.0,nM,
CHEMBL2372462,IC50,2000.0,nM,
CHEMBL2372488,IC50,4000.0,nM,
CHEMBL2369932,IC50,3500.0,nM,
CHEMBL2372474,IC50,3000.0,nM,
CHEMBL2372479,IC50,19000.0,nM,
CHEMBL2372458,IC50,7000.0,nM,
CHEMBL2372463,IC50,54000.0,nM,
CHEMBL2372498,IC50,15800.0,nM,
CHEMBL2372506,IC50,56000.0,nM,
CHEMBL2372495,IC50,100000.0,nM,
CHEMBL6966,IC50,3100.0,nM,
CHEMBL6966,IC50,53000.0,nM,
CHEMBL290432,IC50,5700.0,nM,
CHEMBL290432,IC50,42200.0,nM,
CHEMBL8097,IC50,6200.0,nM,
CHEMBL8097,IC50,27100.0,nM,
CHEMBL288124,IC50,5500.0,nM,
CHEMBL288124,IC50,41500.0,nM,
CHEMBL269137,IC50,4800.0,nM,
CHEMBL269137,IC50,14800.0,nM,
CHEMBL290049,IC50,5800.0,nM,
CHEMBL290049,IC50,22500.0,nM,
CHEMBL40037,IC50,5600.0,nM,
CHEMBL40037,IC50,20000.0,nM,
CHEMBL38248,IC50,42700.0,nM,
CHEMBL38248,IC50,100000.0,nM,
CHEMBL39858,IC50,2300.0,nM,
CHEMBL39858,IC50,15100.0,nM,
CHEMBL2311090,IC50,5800.0,nM,
CHEMBL2311090,IC50,31300.0,nM,
CHEMBL40333,IC50,6100.0,nM,
CHEMBL40333,IC50,34900.0,nM,
CHEMBL39957,IC50,100000.0,nM,
CHEMBL39957,IC50,100000.0,nM,
CHEMBL288124,IC50,5400.0,nM,
CHEMBL288124,IC50,33700.0,nM,
CHEMBL38854,IC50,100000.0,nM,
CHEMBL38854,IC50,100000.0,nM,
CHEMBL35924,IC50,6200.0,nM,
CHEMBL35924,IC50,24000.0,nM,
CHEMBL290635,IC50,4300.0,nM,
