molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL365363,Km,4000.0,nM,
CHEMBL365363,Vmax,41.0,uM,
CHEMBL195059,Km,50000.0,nM,
CHEMBL195059,Vmax,48.0,uM,
CHEMBL372266,Km,8000.0,nM,
CHEMBL372266,Vmax,45.0,uM,
CHEMBL370277,Km,12000.0,nM,
CHEMBL370277,Vmax,47.0,uM,
CHEMBL365103,Km,35000.0,nM,
CHEMBL365103,Vmax,39.0,uM,
CHEMBL428647,Km,700.0,nM,
CHEMBL428647,Vmax,35.0,uM,
CHEMBL6966,Km,2000.0,nM,
CHEMBL6966,Vmax,65.0,uM,
CHEMBL195269,Km,40000.0,nM,
CHEMBL195269,Vmax,23.0,uM,
CHEMBL192446,Km,11000.0,nM,
CHEMBL192446,Vmax,35.0,uM,
CHEMBL192186,Km,28000.0,nM,
CHEMBL192186,Vmax,40.0,uM,
CHEMBL363157,Km,20000.0,nM,
CHEMBL363157,Vmax,23.0,uM,
CHEMBL450642,Km,87.0,nM,
CHEMBL492602,Km,350.0,nM,
CHEMBL495469,Km,360.0,nM,
CHEMBL522826,Km,410.0,nM,
CHEMBL457061,Km,680.0,nM,
CHEMBL523281,Km,1300.0,nM,
CHEMBL524107,Km,2000.0,nM,
CHEMBL491775,Km,3200.0,nM,
CHEMBL492131,Km,3200.0,nM,
CHEMBL491763,Km,3300.0,nM,
CHEMBL522469,Km,3400.0,nM,
CHEMBL489729,Km,3500.0,nM,
CHEMBL491100,Km,3900.0,nM,
CHEMBL491301,Km,4400.0,nM,
CHEMBL491942,Km,4900.0,nM,
CHEMBL515874,Km,8300.0,nM,
CHEMBL522593,Km,8300.0,nM,
CHEMBL491113,Km,8300.0,nM,
CHEMBL510624,Km,8500.0,nM,
CHEMBL491576,Km,9000.0,nM,
CHEMBL454113,Km,9100.0,nM,
CHEMBL491551,Km,9300.0,nM,
CHEMBL516219,Km,9600.0,nM,
CHEMBL517239,Km,10000.0,nM,
CHEMBL490549,Km,10100.0,nM,
CHEMBL493641,Km,10400.0,nM,
CHEMBL6966,Km,24000.0,nM,
CHEMBL4298667,Km,32000.0,nM,
CHEMBL522642,Km,56000.0,nM,
CHEMBL491928,Km,89000.0,nM,
CHEMBL491966,Km,111000.0,nM,
CHEMBL491967,Km,140000.0,nM,
CHEMBL490121,Km,,,
CHEMBL491577,Km,,,
CHEMBL522966,Km,,,
CHEMBL1229,Vmax,8.9,pmol/s,
CHEMBL1229,Km,4200000.0,nM,
CHEMBL428647,Km,14.0,nM,
CHEMBL2074718,Km,120.0,nM,
CHEMBL160,Km,170.0,nM,
CHEMBL159,Km,800.0,nM,
CHEMBL39541,Km,900.0,nM,
CHEMBL107,Km,1330.0,nM,
CHEMBL178,Km,1740.0,nM,
CHEMBL1554,Km,10000.0,nM,
CHEMBL170,Km,10000.0,nM,
CHEMBL716,Km,12300.0,nM,
CHEMBL85,Km,12400.0,nM,
CHEMBL841,Km,13800.0,nM,
CHEMBL428647,Km,16500.0,nM,
CHEMBL1294,Km,18200.0,nM,
CHEMBL159,Km,18990.0,nM,
CHEMBL223643,Km,1000.0,nM,
CHEMBL2,Km,20000.0,nM,
CHEMBL191,Km,232000.0,nM,
CHEMBL1751,Km,25900.0,nM,
CHEMBL159,Km,252800.0,nM,
CHEMBL44657,Km,254960.0,nM,
CHEMBL71,Km,27400.0,nM,
CHEMBL2074806,Km,2000.0,nM,
CHEMBL6966,Km,2000.0,nM,
CHEMBL160,Km,3800.0,nM,
CHEMBL5315124,Km,3000000.0,nM,
CHEMBL103,Km,30000.0,nM,
CHEMBL54,Km,33000.0,nM,
CHEMBL319118,Km,34400.0,nM,
CHEMBL329007,Km,36400.0,nM,
CHEMBL53463,Km,3000.0,nM,
CHEMBL6966,Km,4060.0,nM,
CHEMBL191,Km,403200.0,nM,
CHEMBL38874,Km,43000.0,nM,
CHEMBL107,Km,45000.0,nM,
CHEMBL1294,Km,5420.0,nM,
CHEMBL159,Km,5710.0,nM,
CHEMBL103,Km,53600.0,nM,
CHEMBL5315124,Km,5600000.0,nM,
CHEMBL583,Km,580000.0,nM,
CHEMBL42,Km,58000.0,nM,
CHEMBL1697724,Km,62000.0,nM,
CHEMBL50588,Km,6000.0,nM,
CHEMBL12,Km,72400.0,nM,
CHEMBL715,Km,8300.0,nM,
CHEMBL160,Km,8400.0,nM,
CHEMBL159,Km,99400.0,nM,
CHEMBL304784,Km,100000.0,nM,
CHEMBL2074843,Km,100000.0,nM,
CHEMBL191,Km,100000.0,nM,
CHEMBL285518,Km,100000.0,nM,
CHEMBL2074844,Km,80000.0,nM,
CHEMBL2087780,Km,24300.0,nM,
CHEMBL2087778,Km,59000.0,nM,
CHEMBL2087779,Km,,,
CHEMBL2087777,Km,20000.0,nM,
CHEMBL2087776,Km,13700.0,nM,
CHEMBL2087774,Km,24300.0,nM,
CHEMBL2087775,Km,997000.0,nM,
CHEMBL2087773,Km,85000.0,nM,
CHEMBL2087772,Km,101000.0,nM,
CHEMBL2087767,Km,30000.0,nM,
CHEMBL2087771,Km,52000.0,nM,
CHEMBL2087766,Km,17000.0,nM,
CHEMBL2087762,Km,98000.0,nM,
CHEMBL2087765,Km,52000.0,nM,
CHEMBL2087761,Km,86000.0,nM,
CHEMBL2087759,Km,95000.0,nM,
CHEMBL2087760,Km,89000.0,nM,
CHEMBL2087758,Km,56000.0,nM,
CHEMBL229938,Km,13200.0,nM,
CHEMBL2087757,Km,31000.0,nM,
CHEMBL229458,Km,37000.0,nM,
CHEMBL2087756,Km,13200.0,nM,
CHEMBL6966,Km,24000.0,nM,
CHEMBL6966,Km,24000.0,nM,
CHEMBL2205786,Km,6400.0,nM,
CHEMBL2205785,Km,5800.0,nM,
CHEMBL493431,Km,5700.0,nM,
CHEMBL495469,Km,5500.0,nM,
CHEMBL2205787,Km,3600.0,nM,
CHEMBL2205791,Km,3100.0,nM,
CHEMBL450642,Km,2500.0,nM,
CHEMBL2205788,Km,2300.0,nM,
CHEMBL2205790,Km,2200.0,nM,
CHEMBL2205789,Km,1900.0,nM,
CHEMBL2205793,Km,,,
CHEMBL2205792,Km,,,
