molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL3137930,IC50,100000.0,nM,
CHEMBL2093999,IC50,200.0,nM,
CHEMBL3138258,IC50,25000.0,nM,
CHEMBL3137925,IC50,12000.0,nM,
CHEMBL3137924,IC50,6000.0,nM,
CHEMBL149689,IC50,100000.0,nM,
CHEMBL2068917,IC50,350.0,nM,
CHEMBL104027,IC50,120.0,nM,
CHEMBL2068890,IC50,60.0,nM,
CHEMBL323301,IC50,100.0,nM,
CHEMBL2068911,IC50,30.0,nM,
CHEMBL321090,IC50,250.0,nM,
CHEMBL319670,IC50,200.0,nM,
CHEMBL1453,IC50,80.0,nM,
CHEMBL2068987,IC50,5890.0,nM,
CHEMBL318786,IC50,130.0,nM,
CHEMBL168713,IC50,25000.0,nM,
CHEMBL406262,IC50,400000.0,nM,
CHEMBL222863,IC50,200000.0,nM,
