molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL54932,IC50,98000.0,nM,
CHEMBL58203,IC50,100000.0,nM,
CHEMBL433094,IC50,100000.0,nM,
CHEMBL58681,IC50,33000.0,nM,
CHEMBL57148,IC50,24000.0,nM,
CHEMBL1503,IC50,3800.0,nM,
CHEMBL9959,IC50,2511.89,nM,
CHEMBL1502,IC50,1000.0,nM,
CHEMBL9430,IC50,2511.89,nM,
CHEMBL273395,IC50,1000.0,nM,
CHEMBL275945,IC50,1258.93,nM,
CHEMBL9427,IC50,1584.89,nM,
CHEMBL9890,IC50,501.19,nM,
CHEMBL273600,IC50,3162.28,nM,
CHEMBL9786,IC50,31622.78,nM,
CHEMBL10070,IC50,19952.62,nM,
CHEMBL10060,IC50,1584.89,nM,
CHEMBL9768,IC50,63095.73,nM,
CHEMBL9694,IC50,3981.07,nM,
CHEMBL9800,IC50,2511.89,nM,
CHEMBL9658,IC50,15848.93,nM,
CHEMBL9992,IC50,2511.89,nM,
CHEMBL9443,IC50,630.96,nM,
CHEMBL10061,IC50,7943.28,nM,
CHEMBL9845,IC50,7943.28,nM,
CHEMBL480,IC50,398.11,nM,
CHEMBL10075,IC50,1258.93,nM,
CHEMBL9638,IC50,5011.87,nM,
CHEMBL1503,IC50,501.19,nM,
CHEMBL9585,IC50,398.11,nM,
CHEMBL9856,IC50,794.33,nM,
CHEMBL9539,IC50,1000.0,nM,
CHEMBL1744200,IC50,7000.0,nM,
CHEMBL1203526,IC50,1000.0,nM,
CHEMBL1203474,IC50,3100.0,nM,
CHEMBL1202256,IC50,21000.0,nM,
CHEMBL108285,IC50,1200.0,nM,
CHEMBL1203510,IC50,5200.0,nM,
CHEMBL422329,IC50,6000.0,nM,
CHEMBL108610,IC50,450.0,nM,
CHEMBL282272,IC50,13500.0,nM,
CHEMBL20245,IC50,3200.0,nM,
CHEMBL280124,IC50,16000.0,nM,
CHEMBL1203529,IC50,1800.0,nM,
CHEMBL357729,IC50,590.0,nM,
CHEMBL20098,IC50,100000.0,nM,
CHEMBL19703,IC50,25000.0,nM,
CHEMBL277030,IC50,100000.0,nM,
CHEMBL1203488,IC50,7000.0,nM,
CHEMBL1202271,IC50,10000.0,nM,
CHEMBL1202266,IC50,23000.0,nM,
CHEMBL1744198,IC50,6000.0,nM,
CHEMBL1203485,IC50,15000.0,nM,
CHEMBL153465,IC50,7600.0,nM,
CHEMBL150906,IC50,700.0,nM,
CHEMBL20364,IC50,7900.0,nM,
CHEMBL20014,IC50,2700.0,nM,
CHEMBL1203511,IC50,9100.0,nM,
CHEMBL153055,IC50,7000.0,nM,
CHEMBL2448019,IC50,1800.0,nM,
CHEMBL2448019,IC50,700.0,nM,
CHEMBL108536,IC50,460.0,nM,
CHEMBL277468,IC50,8500.0,nM,
CHEMBL20083,IC50,60000.0,nM,
CHEMBL1202261,IC50,32000.0,nM,
CHEMBL2448017,IC50,700.0,nM,
CHEMBL325803,IC50,1700.0,nM,
CHEMBL9861,IC50,130000.0,nM,
CHEMBL1203528,IC50,9000.0,nM,
CHEMBL1203531,IC50,1600.0,nM,
CHEMBL19987,IC50,7400.0,nM,
CHEMBL19851,IC50,6400.0,nM,
CHEMBL1202274,IC50,4200.0,nM,
CHEMBL1203508,IC50,4000.0,nM,
CHEMBL322809,IC50,16600.0,nM,
CHEMBL20090,IC50,1600.0,nM,
CHEMBL1744209,IC50,45000.0,nM,
CHEMBL1203481,IC50,33000.0,nM,
CHEMBL1202286,IC50,20000.0,nM,
