molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL80257,Ki,1200000.0,nM,
CHEMBL20489,Ki,1300000.0,nM,
CHEMBL281593,Ki,1500000.0,nM,
CHEMBL54922,Ki,1600000.0,nM,
CHEMBL1165239,Ki,1800000.0,nM,
CHEMBL95889,Ki,1900000.0,nM,
CHEMBL304383,Ki,1900000.0,nM,
CHEMBL1234201,Ki,2200000.0,nM,
CHEMBL279998,Ki,2300000.0,nM,
CHEMBL297569,Ki,2400000.0,nM,
CHEMBL1231898,Ki,2500000.0,nM,
CHEMBL279597,Ki,2800000.0,nM,
CHEMBL283800,Ki,3200000.0,nM,
CHEMBL1229563,Ki,3300000.0,nM,
CHEMBL96,Ki,4000000.0,nM,
CHEMBL771,Ki,4400000.0,nM,
CHEMBL149082,Ki,7100000.0,nM,
CHEMBL448864,Ki,7400000.0,nM,
CHEMBL1235440,Ki,7900000.0,nM,
CHEMBL352418,Ki,9000000.0,nM,
CHEMBL322883,Ki,11000000.0,nM,
CHEMBL65567,Ki,15000000.0,nM,
CHEMBL72628,Ki,18000000.0,nM,
CHEMBL66693,Ki,19000000.0,nM,
CHEMBL285123,Ki,22000000.0,nM,
CHEMBL1230906,Ki,23000000.0,nM,
CHEMBL1233477,Ki,30000000.0,nM,
CHEMBL1230782,Ki,35000000.0,nM,
CHEMBL1046,Ki,35000000.0,nM,
CHEMBL11298,Ki,35000000.0,nM,
CHEMBL1233466,Ki,37000000.0,nM,
CHEMBL1233584,Ki,37000000.0,nM,
CHEMBL22830,Ki,38000000.0,nM,
CHEMBL1916078,Ki,44000000.0,nM,
CHEMBL55612,Ki,46000000.0,nM,
CHEMBL863,Ki,46000000.0,nM,
CHEMBL15487,Ki,54000000.0,nM,
CHEMBL1342,Ki,65000000.0,nM,
CHEMBL291962,Ki,100000000.0,nM,
CHEMBL1232398,Ki,100000000.0,nM,
CHEMBL1916079,Ki,2200000.0,nM,
CHEMBL1311694,Ki,2700000.0,nM,
CHEMBL1361446,Ki,4800000.0,nM,
CHEMBL773,Ki,5100000.0,nM,
CHEMBL39071,Ki,5800000.0,nM,
CHEMBL239243,Ki,7800000.0,nM,
CHEMBL307782,Ki,12000000.0,nM,
CHEMBL442218,Ki,46000000.0,nM,
CHEMBL1916080,Ki,50000000.0,nM,
CHEMBL1916081,Ki,100000000.0,nM,
