molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL590740,Ki,130.0,nM,
CHEMBL605580,Ki,100.0,nM,
CHEMBL225072,Ki,96.0,nM,
CHEMBL590740,Ki,1950.0,nM,
CHEMBL605580,Ki,2230.0,nM,
CHEMBL225072,Ki,1540.0,nM,
CHEMBL1834488,Ki,130.0,nM,
CHEMBL1834488,Ki,1820.0,nM,
CHEMBL2158682,Ki,30700.0,nM,
CHEMBL2158681,Ki,28100.0,nM,
CHEMBL590740,Ki,7230.0,nM,
CHEMBL2158682,Ki,420.0,nM,
CHEMBL2158681,Ki,390.0,nM,
CHEMBL590740,Ki,230.0,nM,
CHEMBL225072,Ki,2540.0,nM,
CHEMBL225072,Ki,94.0,nM,
CHEMBL1834488,Ki,330.0,nM,
CHEMBL3335605,Ki,1600.0,nM,
CHEMBL225071,IC50,99.5,nM,
CHEMBL225072,IC50,13.2,nM,
CHEMBL34259,IC50,120.5,nM,
CHEMBL3335607,IC50,1000.0,nM,
CHEMBL3335606,IC50,1000.0,nM,
CHEMBL3335605,IC50,1000.0,nM,
CHEMBL3335604,IC50,1000.0,nM,
CHEMBL3335603,IC50,1000.0,nM,
CHEMBL1834488,IC50,3.34,nM,
CHEMBL3335607,Ki,2900.0,nM,
CHEMBL590740,IC50,43.4,nM,
CHEMBL2426245,IC50,1000.0,nM,
CHEMBL3407519,IC50,80.2,nM,
CHEMBL3409334,IC50,312.0,nM,
CHEMBL3409335,IC50,141.0,nM,
CHEMBL3409336,IC50,57.4,nM,
CHEMBL3409337,IC50,1000.0,nM,
CHEMBL225072,IC50,13.2,nM,
CHEMBL1834488,IC50,3.34,nM,
CHEMBL3628344,IC50,5.39,nM,
CHEMBL3628345,IC50,1000.0,nM,
CHEMBL3628346,IC50,6.51,nM,
CHEMBL3628347,IC50,1000.0,nM,
CHEMBL365307,IC50,213.0,nM,
CHEMBL4205344,IC50,1000.0,nM,
CHEMBL4214638,IC50,57.6,nM,
CHEMBL4209721,IC50,1000.0,nM,
CHEMBL4218109,IC50,1000.0,nM,
CHEMBL4213181,IC50,1000.0,nM,
CHEMBL4205885,IC50,1000.0,nM,
CHEMBL34259,IC50,121.0,nM,
CHEMBL225072,IC50,13.2,nM,
CHEMBL225071,IC50,99.5,nM,
CHEMBL1201746,IC50,57.0,nM,
CHEMBL365307,Ki,460.0,nM,
CHEMBL4214638,Ki,332.0,nM,
CHEMBL225072,Ki,259.0,nM,
CHEMBL1834488,IC50,3.3,nM,
CHEMBL365307,IC50,213.0,nM,
CHEMBL192632,IC50,23.0,nM,
CHEMBL4214638,IC50,30.4,nM,
CHEMBL2158681,IC50,41.5,nM,
CHEMBL3628344,IC50,5.4,nM,
CHEMBL4441626,IC50,207.0,nM,
CHEMBL4540298,IC50,23.0,nM,
CHEMBL4538151,IC50,3.82,nM,
CHEMBL4557278,IC50,67.0,nM,
CHEMBL4465095,IC50,6.0,nM,
CHEMBL4445651,IC50,1.5,nM,
CHEMBL225072,IC50,8.3,nM,
CHEMBL1834488,IC50,53.1,nM,
CHEMBL365307,IC50,5.21,nM,
CHEMBL192632,IC50,9.71,nM,
CHEMBL4214638,IC50,8.98,nM,
CHEMBL2158681,IC50,72.6,nM,
CHEMBL3628344,IC50,40.0,nM,
CHEMBL4540298,IC50,4.57,nM,
CHEMBL4538151,IC50,5.54,nM,
CHEMBL4557278,IC50,21.57,nM,
CHEMBL4465095,IC50,5.01,nM,
CHEMBL4445651,IC50,20.4,nM,
CHEMBL225072,IC50,66.8,nM,
CHEMBL1834488,Ki,140.0,nM,
CHEMBL365307,Ki,460.0,nM,
CHEMBL192632,Ki,630.0,nM,
CHEMBL4214638,Ki,240.0,nM,
CHEMBL2158681,Ki,360.0,nM,
CHEMBL3628344,Ki,280.0,nM,
CHEMBL4540298,Ki,170.0,nM,
CHEMBL4538151,Ki,260.0,nM,
CHEMBL4557278,Ki,460.0,nM,
CHEMBL4465095,Ki,250.0,nM,
CHEMBL4445651,Ki,70.0,nM,
CHEMBL225072,Ki,120.0,nM,
CHEMBL4435608,IC50,48.6,nM,
CHEMBL4562619,IC50,747.0,nM,
CHEMBL4548681,IC50,1000.0,nM,
CHEMBL4515056,IC50,1000.0,nM,
CHEMBL4456590,IC50,1000.0,nM,
CHEMBL4476555,IC50,1000.0,nM,
CHEMBL225072,Ki,94.0,nM,
CHEMBL4467936,Ki,1480.0,nM,
CHEMBL4447805,Ki,640.0,nM,
CHEMBL4553188,Ki,800.0,nM,
CHEMBL4444011,Ki,1680.0,nM,
CHEMBL4471269,Ki,730.0,nM,
CHEMBL4437824,Ki,850.0,nM,
CHEMBL192632,Ki,220.0,nM,
CHEMBL4437824,IC50,87.4,nM,
CHEMBL4471269,IC50,88.5,nM,
CHEMBL4444011,IC50,81.7,nM,
CHEMBL4553188,IC50,109.0,nM,
CHEMBL4447805,IC50,57.5,nM,
CHEMBL4467936,IC50,267.0,nM,
CHEMBL4755197,IC50,460.21,nM,
CHEMBL4783397,IC50,1000.0,nM,
CHEMBL4761741,IC50,80.45,nM,
CHEMBL4759798,IC50,107.29,nM,
CHEMBL4790375,IC50,1000.0,nM,
CHEMBL4789686,IC50,1000.0,nM,
CHEMBL4741259,IC50,1000.0,nM,
CHEMBL491104,IC50,1000.0,nM,
