molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL322923,IC50,5160.0,nM,
CHEMBL435341,IC50,1.15,nM,
CHEMBL311347,Ki,0.67,nM,
CHEMBL311347,IC50,4.2,nM,
CHEMBL100941,IC50,33.4,nM,
CHEMBL174088,Ki,0.05,nM,
CHEMBL87031,IC50,27.6,nM,
CHEMBL316342,IC50,6.5,nM,
CHEMBL100941,IC50,180.0,nM,
CHEMBL106939,Ki,1.1,nM,
CHEMBL295467,Ki,1.4,nM,
CHEMBL169429,IC50,1960.0,nM,
CHEMBL87031,IC50,2.5,nM,
CHEMBL14370,Ki,9.0,nM,
CHEMBL367408,IC50,0.32,nM,
CHEMBL88915,IC50,867.0,nM,
CHEMBL316342,IC50,4.7,nM,
CHEMBL104673,Ki,0.33,nM,
CHEMBL107077,Ki,1.89,nM,
CHEMBL316342,IC50,64.5,nM,
CHEMBL432394,Ki,0.27,nM,
CHEMBL173344,IC50,0.16,nM,
CHEMBL173427,Ki,1.15,nM,
CHEMBL353333,IC50,0.36,nM,
CHEMBL169471,IC50,1.24,nM,
CHEMBL316342,IC50,30.3,nM,
CHEMBL173594,IC50,1.3,nM,
CHEMBL370805,IC50,270.0,nM,
CHEMBL169429,IC50,2120.0,nM,
CHEMBL41,Kd,0.81,nM,
CHEMBL555280,Kd,1100.0,nM,
CHEMBL540333,Kd,76.0,nM,
CHEMBL623,Kd,200.0,nM,
CHEMBL641,Kd,8.9,nM,
CHEMBL544633,Kd,8.5,nM,
CHEMBL637,Kd,8.9,nM,
CHEMBL539050,Kd,5.59,nM,
CHEMBL490,Kd,0.13,nM,
CHEMBL809,Kd,0.29,nM,
CHEMBL543925,Kd,1.2,nM,
CHEMBL542501,Kd,40.0,nM,
CHEMBL539054,Kd,118.0,nM,
CHEMBL556025,Kd,48.0,nM,
CHEMBL539564,Kd,6.2,nM,
CHEMBL306700,Kd,17300.0,nM,
CHEMBL538053,Kd,30.0,nM,
CHEMBL542746,Kd,3050.0,nM,
CHEMBL545557,Kd,6.1,nM,
CHEMBL41,Ki,3.17,nM,
CHEMBL490,Ki,0.077,nM,
CHEMBL268258,Ki,3.77,nM,
CHEMBL75342,Ki,92.0,nM,
CHEMBL342055,Ki,910.0,nM,
CHEMBL357322,Ki,10000.0,nM,
CHEMBL347772,Ki,35000.0,nM,
CHEMBL150045,Ki,1160.0,nM,
CHEMBL149246,Ki,12600.0,nM,
CHEMBL357312,Ki,10000.0,nM,
CHEMBL149878,Ki,10000.0,nM,
CHEMBL370805,Ki,155.0,nM,
CHEMBL2079586,IC50,160.0,nM,
CHEMBL1201203,IC50,24100.0,nM,
CHEMBL151894,IC50,1000.0,nM,
CHEMBL607377,IC50,4087.0,nM,
CHEMBL147071,IC50,1000.0,nM,
CHEMBL359447,IC50,4700.0,nM,
CHEMBL151420,IC50,900.0,nM,
CHEMBL443762,IC50,3800.0,nM,
CHEMBL607430,IC50,5500.0,nM,
CHEMBL151695,IC50,1000.0,nM,
CHEMBL607377,IC50,4930.0,nM,
CHEMBL147503,IC50,407.0,nM,
CHEMBL310650,IC50,3530.0,nM,
CHEMBL607377,IC50,9150.0,nM,
CHEMBL281350,IC50,4700.0,nM,
CHEMBL607431,IC50,1830.0,nM,
CHEMBL607377,IC50,1980.0,nM,
CHEMBL146735,IC50,1000.0,nM,
CHEMBL15928,IC50,1000.0,nM,
CHEMBL607430,IC50,1460.0,nM,
CHEMBL422504,IC50,1000.0,nM,
CHEMBL300226,IC50,2.53,nM,
CHEMBL132683,Ki,10000.0,nM,
CHEMBL544370,Ki,25.6,nM,
CHEMBL544370,IC50,83.0,nM,
CHEMBL417049,Ki,1400.0,nM,
CHEMBL417049,IC50,1910.0,nM,
CHEMBL26320,Ki,2090.0,nM,
CHEMBL26320,IC50,3710.0,nM,
CHEMBL370805,Ki,328.0,nM,
CHEMBL370805,IC50,338.0,nM,
CHEMBL336100,Ki,38.1,nM,
CHEMBL336100,IC50,129.0,nM,
CHEMBL544216,IC50,1000.0,nM,
CHEMBL781,Ki,50.0,nM,
CHEMBL781,IC50,94.0,nM,
CHEMBL284004,IC50,1000.0,nM,
CHEMBL133070,Ki,704.0,nM,
CHEMBL67024,Ki,220.0,nM,
CHEMBL67024,IC50,470.0,nM,
CHEMBL130668,Ki,77.0,nM,
CHEMBL130668,IC50,60.0,nM,
CHEMBL443797,Ki,87.0,nM,
CHEMBL443797,IC50,310.0,nM,
CHEMBL335165,Ki,10000.0,nM,
CHEMBL370805,Ki,390.0,nM,
CHEMBL370805,IC50,340.0,nM,
CHEMBL132614,Ki,10000.0,nM,
CHEMBL278080,IC50,170.0,nM,
CHEMBL421867,Ki,55.0,nM,
