molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL426710,IC50,30000.0,nM,
CHEMBL219714,IC50,30000.0,nM,
CHEMBL222517,IC50,30000.0,nM,
CHEMBL223199,IC50,30000.0,nM,
CHEMBL223743,IC50,30000.0,nM,
CHEMBL222720,IC50,30000.0,nM,
CHEMBL223596,IC50,30000.0,nM,
CHEMBL223492,IC50,30000.0,nM,
CHEMBL222899,IC50,30000.0,nM,
CHEMBL220987,IC50,30000.0,nM,
CHEMBL220948,IC50,30000.0,nM,
CHEMBL220179,IC50,30000.0,nM,
CHEMBL373556,IC50,30000.0,nM,
CHEMBL376472,IC50,30000.0,nM,
CHEMBL223491,IC50,30000.0,nM,
CHEMBL223677,IC50,30000.0,nM,
CHEMBL436976,IC50,30000.0,nM,
CHEMBL219929,IC50,30000.0,nM,
CHEMBL221209,IC50,30000.0,nM,
CHEMBL221157,IC50,30000.0,nM,
CHEMBL518686,IC50,30000.0,nM,
CHEMBL463478,IC50,30000.0,nM,
CHEMBL518692,IC50,30000.0,nM,
CHEMBL464830,IC50,30000.0,nM,
CHEMBL465426,IC50,30000.0,nM,
CHEMBL517034,IC50,30000.0,nM,
CHEMBL464420,IC50,30000.0,nM,
CHEMBL464621,IC50,30000.0,nM,
CHEMBL464622,IC50,30000.0,nM,
CHEMBL518340,IC50,30000.0,nM,
CHEMBL464623,IC50,30000.0,nM,
CHEMBL464087,IC50,30000.0,nM,
CHEMBL464088,IC50,30000.0,nM,
CHEMBL464506,IC50,30000.0,nM,
CHEMBL517631,IC50,30000.0,nM,
CHEMBL465427,IC50,30000.0,nM,
CHEMBL465428,IC50,30000.0,nM,
CHEMBL463238,IC50,30000.0,nM,
CHEMBL518070,IC50,30000.0,nM,
CHEMBL464508,IC50,30000.0,nM,
CHEMBL465129,IC50,30000.0,nM,
CHEMBL465333,IC50,30000.0,nM,
CHEMBL463432,IC50,30000.0,nM,
CHEMBL454412,IC50,30000.0,nM,
CHEMBL460537,IC50,30000.0,nM,
CHEMBL517410,IC50,30000.0,nM,
CHEMBL518238,IC50,30000.0,nM,
CHEMBL464416,IC50,30000.0,nM,
CHEMBL464417,IC50,30000.0,nM,
CHEMBL462147,IC50,,,
CHEMBL462148,IC50,,,
CHEMBL462149,IC50,30000.0,nM,
CHEMBL518340,IC50,30000.0,nM,
CHEMBL461108,IC50,,,
CHEMBL461986,IC50,30000.0,nM,
CHEMBL517435,IC50,30000.0,nM,
CHEMBL461987,IC50,30000.0,nM,
CHEMBL463024,IC50,,,
CHEMBL463025,IC50,30000.0,nM,
CHEMBL463029,IC50,,,
CHEMBL463224,IC50,,,
CHEMBL475550,IC50,,,
CHEMBL472756,IC50,,,
CHEMBL239243,EC50,10000.0,nM,
CHEMBL96,EC50,354000.0,nM,
