molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL3357041,IC50,5000.0,nM,
CHEMBL3357042,IC50,10800.0,nM,
CHEMBL3357043,IC50,3400.0,nM,
CHEMBL3357044,IC50,5200.0,nM,
CHEMBL3357045,IC50,5700.0,nM,
CHEMBL338697,IC50,16100.0,nM,
CHEMBL3357046,IC50,26400.0,nM,
CHEMBL316889,IC50,22900.0,nM,
CHEMBL3357047,IC50,18700.0,nM,
CHEMBL3357048,IC50,39100.0,nM,
CHEMBL3357049,IC50,7700.0,nM,
CHEMBL3357040,IC50,41500.0,nM,
CHEMBL116935,IC50,36000.0,nM,
CHEMBL10971,IC50,54800.0,nM,
CHEMBL3357039,IC50,80000.0,nM,
CHEMBL3357038,IC50,80000.0,nM,
CHEMBL3357037,IC50,4900.0,nM,
CHEMBL3357036,IC50,80000.0,nM,
CHEMBL3357035,IC50,7800.0,nM,
CHEMBL3357034,IC50,16800.0,nM,
CHEMBL3357033,IC50,4600.0,nM,
CHEMBL3357032,IC50,19600.0,nM,
CHEMBL91397,IC50,40000.0,nM,
CHEMBL1172,IC50,172000.0,nM,
CHEMBL420316,IC50,80000.0,nM,
CHEMBL3357031,IC50,80000.0,nM,
CHEMBL3357030,IC50,35000.0,nM,
CHEMBL3357027,IC50,12400.0,nM,
CHEMBL3357028,IC50,14800.0,nM,
CHEMBL331603,IC50,4900.0,nM,
CHEMBL3357029,IC50,5300.0,nM,
CHEMBL3357026,IC50,80000.0,nM,
CHEMBL3357025,IC50,80000.0,nM,
CHEMBL3357024,IC50,4500.0,nM,
CHEMBL3357023,IC50,17600.0,nM,
CHEMBL3357022,IC50,18300.0,nM,
CHEMBL3357021,IC50,80000.0,nM,
CHEMBL998,IC50,4000.0,nM,
